genome	group
n_Desulfurococcus amylolyticus Z-533 genomic scaffold scaffold1, whole genome shotgun sequence	Crenarchaeota
n_Nitrosopumilus maritimus SCM1, complete genome	Crenarchaeota
n_Pyrolobus fumarii 1A, complete genome	Crenarchaeota
n_Cyanophage MED4-213, complete genome	Cyanophage
n_Cyanophage NATL1A-7, complete genome	Cyanophage
n_Cyanophage P-RSM6 genomic sequence	Cyanophage
n_Cyanophage P-SSP2, complete genome	Cyanophage
n_Cyanophage P-TIM40, complete genome	Cyanophage
n_Cyanophage S-TIM5, complete genome	Cyanophage
n_Cyanophage Syn5, complete genome	Cyanophage
n_Prochlorococcus phage P-HM1, complete genome	Cyanophage
n_Prochlorococcus phage P-RSM4, complete genome	Cyanophage
n_Prochlorococcus phage P-SSM2, complete genome	Cyanophage
n_Prochlorococcus phage P-SSM4, complete genome	Cyanophage
n_Prochlorococcus phage P-SSP7, complete genome	Cyanophage
n_Prochlorococcus phage P-TIM68, complete genome	Cyanophage
n_Prochlorococcus phage Syn1, complete genome	Cyanophage
n_Prochlorococcus phage Syn33, complete genome	Cyanophage
n_Synechococcus phage metaG-MbCM1, complete genome	Cyanophage
n_Synechococcus phage S-CBS1, complete genome	Cyanophage
n_Synechococcus phage S-CBS3, complete genome	Cyanophage
n_Synechococcus phage S-PM2, complete genome	Cyanophage
n_Synechococcus phage S-RSM4, complete genome	Cyanophage
n_Synechococcus phage S-SM2, complete genome	Cyanophage
n_Synechococcus phage S-SSM7, complete genome	Cyanophage
n_Synechococcus phage Syn19, complete genome	Cyanophage
n_[strain=DSM 4179], whole genome shotgun sequence	Euryarchaeota
n_Ferroglobus placidus DSM 10642, complete genome	Euryarchaeota
n_Haloquadratum walsbyi C23 complete genome	Euryarchaeota
n_Methanobacterium formicicum genome assembly DSM1535, chromosome : chrI	Euryarchaeota
n_Methanoculleus marisnigri JR1, complete genome	Euryarchaeota
n_Thermococcus peptonophilus JCM 9653	Euryarchaeota
n_Halovirus HCTV-1, complete genome	Halovirus
n_Halovirus HCTV-5, complete genome	Halovirus
