,Station,LONGITUDE,LATITUDE,Depth,Protocol Label,Fraction,RUN,Region,ENA-SAMPLE,genome_name,genome_group,variable,val
5,Eilat_gDNA_6,,,5.0,Na,BACT,EG06,RS,Eilat_A_6,"gi|123965234|ref|NC_008817.1| Prochlorococcus marinus_MIT 9515, complete genome",Prochlorococcus,n_count,0.122628343633
16,Eilat_gDNA_6,,,5.0,Na,BACT,EG06,RS,Eilat_A_6,"gi|211594022|ref|NZ_CH724130.1| Candidatus Pelagibacter ubique HTCC1002 scf_1099314759170 genomic scaffold, whole genome shotgun sequence",SAR11,n_count,0.234279636422
22,Eilat_gDNA_6,,,5.0,Na,BACT,EG06,RS,Eilat_A_6,"gi|78183584|ref|NC_007513.1| Synechococcus sp. CC9902, complete genome",Synechococcus,n_count,0.00706420997079
23,Eilat_gDNA_6,,,5.0,Na,BACT,EG06,RS,Eilat_A_6,gi|33860560|ref|NC_005072.1| Prochlorococcus marinus MED4 complete genome,Prochlorococcus,n_count,0.744145079069
53,Eilat_gDNA_6,,,5.0,Na,BACT,EG06,RS,Eilat_A_6,"gi|657650469|ref|NZ_KL370779.1| Candidatus Pelagibacter ubique HTCC7214 genomic scaffold P769DRAFT_scaffold00001.1, whole genome shotgun sequence",SAR11,n_count,0.540932865656
59,Eilat_gDNA_6,,,5.0,Na,BACT,EG06,RS,Eilat_A_6,"gi|71082709|ref|NC_007205.1| Candidatus Pelagibacter ubique HTCC1062, complete genome",SAR11,n_count,0.410042783317
65,Eilat_gDNA_6,,,5.0,Na,BACT,EG06,RS,Eilat_A_6,"gi|657651831|ref|NZ_JNIU01000001.1| Candidatus Pelagibacter ubique HTCC7217 P773DRAFT_scaffold00001.1_C, whole genome shotgun sequence",SAR11,n_count,0.961662287599
78,Eilat_gDNA_6,,,5.0,Na,BACT,EG06,RS,Eilat_A_6,"gi|113952711|ref|NC_008319.1| Synechococcus sp. CC9311, complete genome",Synechococcus,n_count,0.00709145371821
79,Eilat_gDNA_6,,,5.0,Na,BACT,EG06,RS,Eilat_A_6,"gi|560891698|ref|NZ_KI421440.1| Candidatus Pelagibacter ubique HTCC8051 genomic scaffold HTC8051_Contig1.1, whole genome shotgun sequence",SAR11,n_count,1.07317225606
100,Eilat_gDNA_6,,,5.0,Na,BACT,EG06,RS,Eilat_A_6,"gi|162958048|ref|NC_007335.2| Prochlorococcus marinus_NATL2A, complete genome",Prochlorococcus,n_count,0.0532787225378
109,Eilat_gDNA_6,,,5.0,Na,BACT,EG06,RS,Eilat_A_6,gi|159887716|gb|CP000878.1| Prochlorococcus marinus_MIT 9211 genome,Prochlorococcus,n_count,0.0555116935117
117,Eilat_gDNA_6,,,5.0,Na,BACT,EG06,RS,Eilat_A_6,gi|148241099|ref|NC_009482.1| Synechococcus sp. RCC307 genomic DNA sequence,Synechococcus,n_count,0.0899088758325
134,Eilat_gDNA_6,,,5.0,Na,BACT,EG06,RS,Eilat_A_6,gi|148238336|ref|NC_009481.1| Synechococcus WH7803 complete genome sequence,Synechococcus,n_count,0.0132205056708
143,Eilat_gDNA_6,,,5.0,Na,BACT,EG06,RS,Eilat_A_6,"gi|157412338|ref|NC_009840.1| Prochlorococcus marinus_MIT 9215, complete genome",Prochlorococcus,n_count,3.37161078341
144,Eilat_gDNA_6,,,5.0,Na,BACT,EG06,RS,Eilat_A_6,gi|33862273|ref|NC_005071.1| Prochlorococcus marinus MIT9313 complete genome,Prochlorococcus,n_count,0.0162707008386
180,Eilat_gDNA_6,,,5.0,Na,BACT,EG06,RS,Eilat_A_6,"gi|564614004|ref|NZ_AZAL01000001.1| Candidatus Pelagibacter ubique HIMB083 Pelub83DRAFT_scaffold_0.1_C, whole genome shotgun sequence",SAR11,n_count,12.4023963631
195,Eilat_gDNA_6,,,5.0,Na,BACT,EG06,RS,Eilat_A_6,gi|33864539|ref|NC_005070.1| Synechococcus sp. WH 8102 complete genome,Synechococcus,n_count,0.301073288922
210,Eilat_gDNA_6,,,5.0,Na,BACT,EG06,RS,Eilat_A_6,"gi|78211558|ref|NC_007516.1| Synechococcus sp. CC9605, complete genome",Synechococcus,n_count,3.14309139462
220,Eilat_gDNA_6,,,5.0,Na,BACT,EG06,RS,Eilat_A_6,"gi|123967536|ref|NC_008816.1| Prochlorococcus marinus_AS9601, complete genome",Prochlorococcus,n_count,84.8603530822
222,Eilat_gDNA_6,,,5.0,Na,BACT,EG06,RS,Eilat_A_6,"gi|902974237|ref|NZ_LN847356.1| Synechococcus sp. WH 8103 genome assembly WH8103.1, chromosome : 1",Synechococcus,n_count,0.513331966375
227,Eilat_gDNA_6,,,5.0,Na,BACT,EG06,RS,Eilat_A_6,"gi|124024712|ref|NC_008819.1| Prochlorococcus marinus_NATL1A, complete genome",Prochlorococcus,n_count,0.185523363509
229,Eilat_gDNA_6,,,5.0,Na,BACT,EG06,RS,Eilat_A_6,"gi|124021714|ref|NC_008820.1| Prochlorococcus marinus_MIT 9303, complete genome",Prochlorococcus,n_count,0.0247706565893
244,Eilat_gDNA_6,,,5.0,Na,BACT,EG06,RS,Eilat_A_6,gi|33239452|ref|NC_005042.1| Prochlorococcus marinus subsp. marinus_CCMP1375 complete genome,Prochlorococcus,n_count,0.355731017108
265,Eilat_gDNA_12,,,5.0,Na,BACT,EG12,RS,Eilat_A_12,"gi|113952711|ref|NC_008319.1| Synechococcus sp. CC9311, complete genome",Synechococcus,n_count,0.0140584846657
272,Eilat_gDNA_12,,,5.0,Na,BACT,EG12,RS,Eilat_A_12,"gi|902974237|ref|NZ_LN847356.1| Synechococcus sp. WH 8103 genome assembly WH8103.1, chromosome : 1",Synechococcus,n_count,0.179580476192
278,Eilat_gDNA_12,,,5.0,Na,BACT,EG12,RS,Eilat_A_12,"gi|564614004|ref|NZ_AZAL01000001.1| Candidatus Pelagibacter ubique HIMB083 Pelub83DRAFT_scaffold_0.1_C, whole genome shotgun sequence",SAR11,n_count,13.0738565452
286,Eilat_gDNA_12,,,5.0,Na,BACT,EG12,RS,Eilat_A_12,"gi|123965234|ref|NC_008817.1| Prochlorococcus marinus_MIT 9515, complete genome",Prochlorococcus,n_count,0.231404999897
296,Eilat_gDNA_12,,,5.0,Na,BACT,EG12,RS,Eilat_A_12,"gi|123967536|ref|NC_008816.1| Prochlorococcus marinus_AS9601, complete genome",Prochlorococcus,n_count,9.73946308773
297,Eilat_gDNA_12,,,5.0,Na,BACT,EG12,RS,Eilat_A_12,"gi|657651831|ref|NZ_JNIU01000001.1| Candidatus Pelagibacter ubique HTCC7217 P773DRAFT_scaffold00001.1_C, whole genome shotgun sequence",SAR11,n_count,1.33941169168
319,Eilat_gDNA_12,,,5.0,Na,BACT,EG12,RS,Eilat_A_12,"gi|78211558|ref|NC_007516.1| Synechococcus sp. CC9605, complete genome",Synechococcus,n_count,1.77404208417
329,Eilat_gDNA_12,,,5.0,Na,BACT,EG12,RS,Eilat_A_12,gi|148241099|ref|NC_009482.1| Synechococcus sp. RCC307 genomic DNA sequence,Synechococcus,n_count,0.0977260926599
331,Eilat_gDNA_12,,,5.0,Na,BACT,EG12,RS,Eilat_A_12,gi|33239452|ref|NC_005042.1| Prochlorococcus marinus subsp. marinus_CCMP1375 complete genome,Prochlorococcus,n_count,0.0381979732429
355,Eilat_gDNA_12,,,5.0,Na,BACT,EG12,RS,Eilat_A_12,"gi|162958048|ref|NC_007335.2| Prochlorococcus marinus_NATL2A, complete genome",Prochlorococcus,n_count,0.0500204108807
371,Eilat_gDNA_12,,,5.0,Na,BACT,EG12,RS,Eilat_A_12,"gi|560891698|ref|NZ_KI421440.1| Candidatus Pelagibacter ubique HTCC8051 genomic scaffold HTC8051_Contig1.1, whole genome shotgun sequence",SAR11,n_count,2.18556451465
380,Eilat_gDNA_12,,,5.0,Na,BACT,EG12,RS,Eilat_A_12,"gi|657650469|ref|NZ_KL370779.1| Candidatus Pelagibacter ubique HTCC7214 genomic scaffold P769DRAFT_scaffold00001.1, whole genome shotgun sequence",SAR11,n_count,3.61633461686
390,Eilat_gDNA_12,,,5.0,Na,BACT,EG12,RS,Eilat_A_12,gi|33860560|ref|NC_005072.1| Prochlorococcus marinus MED4 complete genome,Prochlorococcus,n_count,1.04359611945
391,Eilat_gDNA_12,,,5.0,Na,BACT,EG12,RS,Eilat_A_12,gi|148238336|ref|NC_009481.1| Synechococcus WH7803 complete genome sequence,Synechococcus,n_count,0.0438805405642
414,Eilat_gDNA_12,,,5.0,Na,BACT,EG12,RS,Eilat_A_12,"gi|124021714|ref|NC_008820.1| Prochlorococcus marinus_MIT 9303, complete genome",Prochlorococcus,n_count,0.0191388747108
417,Eilat_gDNA_12,,,5.0,Na,BACT,EG12,RS,Eilat_A_12,"gi|78183584|ref|NC_007513.1| Synechococcus sp. CC9902, complete genome",Synechococcus,n_count,0.0281381230998
440,Eilat_gDNA_12,,,5.0,Na,BACT,EG12,RS,Eilat_A_12,gi|33864539|ref|NC_005070.1| Synechococcus sp. WH 8102 complete genome,Synechococcus,n_count,0.304458270704
465,Eilat_gDNA_12,,,5.0,Na,BACT,EG12,RS,Eilat_A_12,"gi|71082709|ref|NC_007205.1| Candidatus Pelagibacter ubique HTCC1062, complete genome",SAR11,n_count,1.55439494419
470,Eilat_gDNA_12,,,5.0,Na,BACT,EG12,RS,Eilat_A_12,gi|159887716|gb|CP000878.1| Prochlorococcus marinus_MIT 9211 genome,Prochlorococcus,n_count,0.0525155777748
478,Eilat_gDNA_12,,,5.0,Na,BACT,EG12,RS,Eilat_A_12,"gi|211594022|ref|NZ_CH724130.1| Candidatus Pelagibacter ubique HTCC1002 scf_1099314759170 genomic scaffold, whole genome shotgun sequence",SAR11,n_count,2.40236160755
480,Eilat_gDNA_12,,,5.0,Na,BACT,EG12,RS,Eilat_A_12,gi|33862273|ref|NC_005071.1| Prochlorococcus marinus MIT9313 complete genome,Prochlorococcus,n_count,0.0285843260111
499,Eilat_gDNA_12,,,5.0,Na,BACT,EG12,RS,Eilat_A_12,"gi|124024712|ref|NC_008819.1| Prochlorococcus marinus_NATL1A, complete genome",Prochlorococcus,n_count,0.120416756408
502,Eilat_gDNA_12,,,5.0,Na,BACT,EG12,RS,Eilat_A_12,"gi|157412338|ref|NC_009840.1| Prochlorococcus marinus_MIT 9215, complete genome",Prochlorococcus,n_count,62.0806258876
520,Eilat_gDNA_18,,,5.0,Na,BACT,EG18,RS,Eilat_A_18,"gi|78211558|ref|NC_007516.1| Synechococcus sp. CC9605, complete genome",Synechococcus,n_count,3.56122043441
