Station,Region,Fraction,MGII,MGII_virus
Eilat_RNA_12,RS,RNA,110.865729476,0.011929864426
Eilat_RNA_18,RS,RNA,107.400731762,0.0220921557517
Eilat_RNA_24,RS,RNA,187.923986633,0.0294364067913
Eilat_RNA_6,RS,RNA,146.4016687,0.0164426163181
Eilat_gDNA_12,RS,BACT,168.318963308,1.10615882445
Eilat_gDNA_18,RS,BACT,105.26837479,0.875181305471
Eilat_gDNA_24,RS,BACT,66.3113784649,1.36104640013
Eilat_gDNA_6,RS,BACT,116.07489235,1.53556286528
Eilat_vDNA_12,RS,VIRUS,0.517454316802,20.1521162658
Eilat_vDNA_18,RS,VIRUS,0.392055943863,35.2563809453
Eilat_vDNA_24,RS,VIRUS,0.314208087406,39.1730388084
Eilat_vDNA_6,RS,VIRUS,0.318103947032,18.6253593652
TARA_004,NAO,BACT,38.8335065362,0.297638330776
TARA_007,MS,BACT,17.1414271917,2.74911364246
TARA_009,MS,BACT,54.0338731042,0.533549725764
TARA_018,MS,BACT,106.139373594,0.677389322503
TARA_018,MS,VIRUS,1.68408793007,10.3326968873
TARA_022,MS,VIRUS,0.24931909875,12.2870215672
TARA_023,MS,BACT,28.520271412,0.137583885246
TARA_023,MS,VIRUS,0.318154262254,4.44247065539
TARA_025,MS,BACT,16.7884372197,0.405095844686
TARA_025,MS,VIRUS,1.1852645896,5.27897859628
TARA_030,MS,BACT,6.7459557752,0.242597706169
TARA_030,MS,VIRUS,0.0735746875664,1.32250666929
TARA_031,RS,BACT,188.310390418,1.05443582546
TARA_031,RS,VIRUS,2.29092349442,19.312099932
TARA_032,RS,BACT,355.312218473,1.71571958006
TARA_032,RS,VIRUS,1.09162173714,12.4009940023
TARA_033,RS,BACT,123.735710089,0.565287593872
TARA_034,RS,BACT,221.869697918,1.36757387435
TARA_034,RS,VIRUS,8.23054887908,57.2412339814
TARA_036,IO,BACT,81.4713370665,3.19438767527
TARA_036,IO,VIRUS,1.89545094169,28.2663389584
TARA_037,IO,BACT,4.23947696295,0.00280058844649
TARA_037,IO,VIRUS,1.3370265997,0.538700820052
TARA_038,IO,BACT,136.434632685,7.53599893314
TARA_038,IO,VIRUS,2.95559379,119.869752188
TARA_039,IO,BACT,40.2225536394,3.09159847914
TARA_039,IO,VIRUS,2.33604866573,150.017277904
TARA_041,IO,BACT,165.388116566,6.64315950737
TARA_041,IO,VIRUS,5.69403469657,106.19969788
TARA_042,IO,BACT,186.715094087,2.24851841738
TARA_042,IO,VIRUS,2.01107432206,56.0398603933
TARA_045,IO,BACT,42.2880538634,0.11061622815
TARA_046,IO,VIRUS,0.752889093583,61.2311491864
TARA_048,IO,BACT,112.928551827,0.0923538902413
TARA_048,IO,VIRUS,6.22081117545,4.09770099506
TARA_052,IO,BACT,200.01533196,3.06563639179
TARA_052,IO,VIRUS,2.82546284912,14.5614359551
TARA_056,IO,BACT,117.067512282,0.225881092776
TARA_056,IO,VIRUS,3.34267952278,13.9864877634
TARA_057,IO,BACT,76.4298250585,0.24994141656
TARA_058,IO,BACT,72.6373955101,0.31629691268
TARA_062,IO,BACT,101.583691779,0.400803768465
TARA_062,IO,VIRUS,3.30402319094,18.3838195556
TARA_064,IO,BACT,678.380033911,1.699580851
TARA_064,IO,VIRUS,11.1204421876,41.6049360459
TARA_065,IO,BACT,387.693753157,2.13116026725
TARA_065,IO,VIRUS,22.6701033843,128.227840671
TARA_066,SAO,BACT,65.3396648403,1.24532956955
TARA_066,SAO,VIRUS,0.63373514917,40.1513320547
TARA_067,SAO,BACT,5.43345047167,0.514125823654
TARA_067,SAO,VIRUS,0.390090148662,6.20617805971
TARA_068,SAO,BACT,230.613841101,2.83104838345
TARA_068,SAO,VIRUS,1.15247219283,38.6477827715
TARA_070,SAO,BACT,253.388789197,5.59947915757
TARA_070,SAO,VIRUS,0.605774135637,109.285967327
TARA_072,SAO,BACT,205.100132106,6.05359909912
TARA_072,SAO,VIRUS,3.48987921666,28.7174085964
TARA_076,SAO,BACT,240.811914316,1.94932949759
TARA_076,SAO,VIRUS,2.02838980753,17.1860583975
TARA_078,SAO,BACT,173.922350016,3.79972492994
TARA_078,SAO,VIRUS,0.996368362069,17.6766843649
TARA_082,SAO,BACT,14.1427490712,0.0323100556535
TARA_082,SAO,VIRUS,0.0664211235922,0.856058712919
TARA_084,SO,BACT,0.805386312773,0.00273115248559
TARA_085,SO,BACT,25.1694917369,0.0241762038884
TARA_085,SO,VIRUS,0.074221954223,0.362381214377
TARA_093,SPO,BACT,0.451174399626,0.163842192241
TARA_094,SPO,BACT,0.420443692627,0.0104598827643
TARA_096,SPO,BACT,2.35148693891,0.00259832532472
TARA_098,SPO,BACT,97.2851512046,0.0917681667213
TARA_099,SPO,BACT,7.69742761315,0.0198118373835
TARA_100,SPO,BACT,67.1786243068,1.26627827479
TARA_100,SPO,VIRUS,0.654650987053,13.6755749946
TARA_102,SPO,BACT,101.49787128,2.0112750674
TARA_102,SPO,VIRUS,0.0694594531974,3.62800932002
TARA_109,SPO,BACT,180.274926668,1.97063974818
TARA_109,SPO,VIRUS,1.14676691483,89.3884813356
TARA_110,SPO,BACT,96.8301794806,0.834676465367
TARA_111,SPO,BACT,88.3964329317,0.455037782815
TARA_111,SPO,VIRUS,0.361302530561,17.7361158692
TARA_112,SPO,BACT,55.9226112431,0.224311309323
TARA_122,SPO,BACT,409.175383412,0.61309119522
TARA_122,SPO,VIRUS,4.64376025142,10.673975004
TARA_123,SPO,BACT,285.241571501,1.14848797369
TARA_123,SPO,VIRUS,2.63368167228,18.527978799
TARA_124,SPO,BACT,675.044547853,3.1286057543
TARA_124,SPO,VIRUS,9.58653243463,50.2617889878
TARA_125,SPO,BACT,648.746320399,1.84273606423
TARA_125,SPO,VIRUS,5.35916905419,18.8998409153
TARA_128,SPO,BACT,198.560088752,0.995302368679
TARA_132,NPO,BACT,69.3948430281,0.203449375312
TARA_133,NPO,BACT,41.7267816168,0.502044382176
TARA_137,NPO,BACT,53.6805040503,0.825942027039
TARA_137,NPO,VIRUS,0.228739516178,6.39316388924
TARA_138,NPO,BACT,83.8698364572,0.332024371817
TARA_138,NPO,VIRUS,0.0799817388247,7.60557734364
TARA_140,NPO,BACT,23.8497161497,0.762831037584
TARA_141,NAO,BACT,8.41701429576,0.958404073653
TARA_142,NAO,BACT,232.520894313,0.904037173145
TARA_145,NAO,BACT,34.6494965839,0.093242885713
TARA_146,NAO,BACT,59.8491408896,0.490030925798
TARA_148,NAO,BACT,50.241473157,0.502680004337
TARA_148b,NAO,BACT,20.5246172566,0.0803298836562
TARA_149,NAO,BACT,52.7295211296,2.03736105557
TARA_150,NAO,BACT,45.4742145611,3.20591254429
TARA_151,NAO,BACT,56.8123581345,1.20443994372
TARA_152,NAO,BACT,43.3071828851,0.808654021281
