ENA-SAMPLE,Temperature,Region,Depth,Salinity [PSU],Nitrates [umol/L],NO2NO3 [umol/L],Chlorophyll,NO2 [umol/L],Oxygen [umol/kg],PO4 [umol/L],MGII
ERS477931,23.82575,MS,5.0,34.9,20.3,24.4,0.0812,1.2,103.9,1.86,5.76781198697
ERS477953,17.36746,MS,42.0,35.8,4.6,6.2,0.553274,0.14,200.2,0.68,11.3736152047
ERS477979,17.321979,MS,5.0,35.0,6.7,8.2,0.0419,0.31,190.8,0.75,7.91117124455
ERS477998,15.194062,MS,55.0,35.1,10.9,10.7,0.0599,0.41,144.6,0.93,20.6091001674
ERS478007,15.194062,MS,55.0,34.8,34.6,38.1,0.0599,0.0,1.3,2.8,0.318154262254
ERS478017,20.460612,MS,5.0,36.1,2.3,2.8,0.01585,0.1,179.9,0.59,1.70313816788
ERS478040,18.979535,MS,70.0,34.3,29.2,31.46,0.042495,0.01,199.2,2.15,5.04281760732
ERS478052,18.979535,MS,70.0,36.5,-0.9,0.03,0.042495,0.01,202.2,0.14,0.0735746875664
ERS487899,20.5251,NAO,5.0,34.8,21.1,23.9,0.078,0.03,0.7,2.68,21.4692678898
ERS487936,20.408907,NAO,40.0,35.5,1.5,5.7,0.090621,0.16,216.8,0.78,17.3642386464
ERS488119,23.8526,MS,5.0,34.7,11.7,12.6,-0.0247,0.32,206.0,1.0,7.280373883
ERS488147,16.151933,MS,55.0,34.7,40.0,39.2,0.434367,0.01,4.4,2.85,46.7534992212
ERS488330,21.4395,MS,5.0,34.8,33.9,35.3,0.048898,0.02,2.5,2.58,45.2657073759
ERS488340,21.4395,MS,5.0,33.4,1.2,0.9,0.048898,0.04,198.6,0.27,0.314573650936
ERS488346,18.36839,MS,60.0,34.3,3.9,4.6,0.132494,0.11,203.1,0.5,60.8736662186
ERS488354,18.36839,MS,60.0,34.3,3.9,4.6,0.132494,0.11,203.1,0.5,1.36951427914
ERS488448,17.041483,MS,5.0,33.4,1.2,0.9,0.180911,0.04,198.6,0.27,0.24931909875
ERS488486,18.342533,MS,5.0,36.0,2.6,2.68,0.121845,0.04,208.9,0.5,1.05793773285
ERS488499,18.342533,MS,5.0,35.9,0.5,0.02,0.121845,0.0,207.1,0.11,0.0946120523289
ERS488509,15.161277,MS,50.0,35.7,1.4,0.93,0.201016,0.2,211.5,0.44,15.7304994868
ERS488518,15.161277,MS,50.0,34.7,30.4,34.61,0.201016,0.01,3.2,2.73,1.09065253727
ERS488545,25.0621,RS,5.0,36.1,2.3,2.8,0.048898,0.1,179.9,0.59,188.310390418
ERS488558,25.0621,RS,5.0,36.1,2.3,2.8,0.048898,0.1,179.9,0.59,2.29092349442
ERS488569,25.824383,RS,5.0,34.6,42.5,34.63,0.0,0.02,38.1,2.43,229.422196397
ERS488589,25.824383,RS,5.0,34.6,42.5,34.63,0.0,0.02,38.1,2.43,0.372120784915
ERS488599,26.050367,RS,80.0,36.1,2.3,2.8,0.224444,0.1,179.9,0.59,125.890022076
ERS488613,26.050367,RS,80.0,34.6,42.5,34.63,0.224444,0.02,38.1,2.43,0.719500952228
ERS488621,27.329517,RS,5.0,34.6,42.5,34.63,0.163228,0.02,38.1,2.43,123.735710089
ERS488649,27.59865,RS,5.0,35.4,4.0,5.46,0.186697,0.12,186.2,0.57,202.770704934
ERS488658,27.59865,RS,5.0,35.4,4.0,5.46,0.186697,0.12,186.2,0.57,7.78698639612
ERS488673,27.59865,RS,5.0,35.4,3.9,4.9,0.186697,0.14,189.8,0.53,0.242276086539
ERS488685,27.589917,RS,60.0,35.4,4.0,5.46,0.181406,0.12,186.2,0.57,19.0989929838
ERS488701,27.589917,RS,60.0,35.4,4.0,5.46,0.181406,0.12,186.2,0.57,0.20128639642
ERS488714,25.581433,IO,5.0,35.9,5.0,5.43,0.129697,1.47,161.3,0.66,31.9269535293
ERS488722,25.581433,IO,5.0,35.9,5.0,5.43,0.129697,1.47,161.3,0.66,1.8062412523
ERS488737,25.581433,IO,5.0,35.9,5.0,5.43,0.129697,1.47,161.3,0.66,0.0447720510889
ERS488747,25.37395,IO,17.0,35.4,3.9,4.9,0.353707,0.14,189.8,0.53,49.5443835372
ERS488757,25.37395,IO,17.0,35.4,3.9,4.9,0.353707,0.14,189.8,0.53,0.044437638301
ERS488769,12.066048,IO,600.0,35.4,5.1,6.18,0.005649,0.16,190.7,0.63,4.23947696295
ERS488773,12.066048,IO,600.0,35.9,5.0,5.43,0.005649,1.47,161.3,0.66,1.3370265997
ERS488799,26.2314,IO,5.0,35.8,4.5,1.21,0.161808,0.35,175.9,0.49,73.9292118352
ERS488803,26.2314,IO,5.0,35.8,4.5,1.21,0.161808,0.35,175.9,0.49,2.15517437556
ERS488813,26.2314,IO,5.0,35.8,4.5,1.21,0.161808,0.35,175.9,0.49,0.199323277717
ERS488830,25.494408,IO,25.0,35.4,5.1,6.18,0.604752,0.16,190.7,0.63,60.6997832419
ERS488836,25.494408,IO,25.0,35.4,5.1,6.18,0.604752,0.16,190.7,0.63,0.310007316614
ERS488849,14.987618,IO,340.0,35.8,4.5,1.21,0.014107,0.35,175.9,0.49,1.80563760742
ERS488853,14.987618,IO,340.0,35.4,5.1,6.18,0.014107,0.16,190.7,0.63,0.291088820108
