RUN,AMODIS:PAR8d,Chl_a [ugr/l],Chlorophyll,Date,Depth,ENA-SAMPLE,Einsteins/m-2/d-1,Environment (Feature),Lyapunov_exp.,NO2 [umol/L],NO2NO3 [umol/L],Nitrate Sensor,Nitrates [umol/L],Okubo-Weiss,Oxygen Sensor,Oxygen [umol/kg],PO4 [umol/L],POC [ugr/l],Region,SI [umol/L],Salinity Sensor,Salinity [PSU],Sample label [TARA_station#_environmental-feature_size-fraction],Sampling Station,SiOH4 [umol/l],Station,Temperature,grad_SST_adv,Crenarchaeota,Cyanophage,Euryarchaeota,Group_D,Halovirus,MGII,MGII_virus,Prochlorococcus,SAR11,SAR116,SAR116_Phage,SAR11_Phage,Synechococcus
EG06,,0.257,0.348,22/10/2012 9:00,5.0,Eilat_A_6,,,,0.055,,,0.01,,178.0075,,0.022,55.0,RS,,40.8351,,,,0.552,Eilat_A,26.0,,0.000514051529727,64.5724531349,0.00233741262109,0.130244717798,0.0,116.07489235,1.53556286528,89.7898234424,15.6224861922,0.471804032667,0.0196698774381,0.579593097584,4.07478169511
EG12,,0.257,0.348,22/10/2012 9:00,5.0,Eilat_A_12,,,,0.055,,,0.01,,178.0075,,0.022,55.0,RS,,40.8351,,,,0.552,Eilat_A,26.0,,0.000543972931364,66.1055166685,0.000131839749308,0.101129201051,0.0,168.318963308,1.10615882445,73.4039640137,24.1719239201,0.278998314762,0.020449630189,0.506805862956,2.44188407206
EG18,,0.257,0.348,22/10/2012 9:00,5.0,Eilat_A_18,,,,0.055,,,0.01,,178.0075,,0.022,55.0,RS,,40.8351,,,,0.552,Eilat_A,26.0,,0.000273783402397,19.9333632151,0.00043429536955,0.0640635956831,0.0,105.26837479,0.875181305471,107.788521668,20.7348302963,0.272664578299,0.0105925615734,0.415264558311,4.58056712196
EG24,,0.257,0.348,22/10/2012 9:00,5.0,Eilat_A_24,,,,0.055,,,0.01,,178.0075,,0.022,55.0,RS,,40.8351,,,,0.552,Eilat_A,26.0,,0.000403844965421,19.6858949922,0.00097300546163,0.0872744694038,0.0,66.3113784649,1.36104640013,141.915301551,18.0774065882,0.175112562158,0.0111604194746,0.41125877904,6.83737932332
ER06,,0.257,0.348,22/10/2012 9:00,5.0,Eilat_A_6,,,,0.055,,,0.01,,178.0075,,0.022,55.0,RS,,40.8351,,,,0.552,Eilat_A,26.0,,0.177358618316,6.23157998276,0.0805631048625,0.00263954026746,0.0,146.4016687,0.0164426163181,110.278631281,72.7771440459,91.1817286499,0.00131769314662,0.0590442109907,487.231304079
ER12,,0.257,0.348,22/10/2012 9:00,5.0,Eilat_A_12,,,,0.055,,,0.01,,178.0075,,0.022,55.0,RS,,40.8351,,,,0.552,Eilat_A,26.0,,0.039805489366,1.01810204677,0.203412718063,0.00365326074119,0.0,110.865729476,0.011929864426,401.033377223,150.773720557,182.092480832,0.00136781678446,0.0793431393669,55.9079527054
ER18,,0.257,0.348,22/10/2012 9:00,5.0,Eilat_A_18,,,,0.055,,,0.01,,178.0075,,0.022,55.0,RS,,40.8351,,,,0.552,Eilat_A,26.0,,0.0522546479584,1.80643921215,2.30293182163,0.00348622900225,0.0,107.400731762,0.0220921557517,229.699703728,231.527036107,22.2290542856,0.00154699668993,0.0563846870439,439.723227693
ER24,,0.257,0.348,22/10/2012 9:00,5.0,Eilat_A_24,,,,0.055,,,0.01,,178.0075,,0.022,55.0,RS,,40.8351,,,,0.552,Eilat_A,26.0,,0.148152710472,1.18474791713,0.481489833074,0.00193117178787,0.0,187.923986633,0.0294364067913,526.773965355,107.219812549,174.485187212,0.000964066303965,0.0633018707069,36.0975769803
ERR315856,41.8,,0.553274,15/04/2011 13:10,42.0,ERS477953,-0.02,deep chlorophyll maximum layer (ENVO:xxxxxxxx),0.34,0.14,6.2,,4.6,0.05,,200.2,0.68,,MS,1.2,,35.8,TARA_007_DCM_0.22-1.6,TARA_007,,TARA_007,17.36746,8.97,0.0269428528258,200.523847603,0.0022781316242,0.0381594092433,0.0,11.3736152047,2.65177858673,47.6609238471,78.6783907661,2.07812328194,1.05908103172,3.85621539416,16.5540114239
ERR315857,44.4,,0.0812,22/04/2011 19:51,5.0,ERS477931,0.0,surface water (ENVO:00002042) layer,1.8,1.2,24.4,,20.3,0.04,,103.9,1.86,,MS,10.5,37.4911,34.9,TARA_007_SRF_0.22-1.6,TARA_007,,TARA_007,23.82575,3.75,0.0250084129444,60.8731837182,0.000525858344095,0.000819182558822,0.0,5.76781198697,0.0973350557343,25.7280539751,93.5815396774,1.82239047157,0.385718513751,0.586931846129,15.1396444327
ERR315858,47.2,,0.0419,21/05/2011 12:37,5.0,ERS477979,0.02,surface water (ENVO:00002042) layer,0.43,0.31,8.2,,6.7,0.0,221.457208,190.8,0.75,,MS,3.9,38.201396,35.0,TARA_023_SRF_0.22-1.6,TARA_023,,TARA_023,17.321979,7.03,0.0638181588251,2.70209135761,0.00323482019598,0.00145046494706,0.0,4.04098925282,0.0155260361042,14.8725295915,65.8724590356,1.80431128244,0.205641883631,3.17225870764,10.8659177929
ERR315859,46.5,,0.0599,21/05/2011 23:21,55.0,ERS477998,0.02,deep chlorophyll maximum layer (ENVO:xxxxxxxx),0.43,0.41,10.7,,10.9,0.0,224.786708,144.6,0.93,,MS,6.0,38.472729,35.1,TARA_023_DCM_0.22-1.6,TARA_023,,TARA_023,15.194062,7.03,0.248091645977,13.0390548326,0.00411749442108,0.0019489294211,0.0,10.5057157009,0.0519073963132,44.7178032795,65.697884185,2.43883463235,1.27648566558,10.0274946713,15.186172278
ERR315860,46.5,,0.0599,21/05/2011 23:21,55.0,ERS477998,0.02,deep chlorophyll maximum layer (ENVO:xxxxxxxx),0.43,0.41,10.7,,10.9,0.0,224.786708,144.6,0.93,,MS,6.0,38.472729,35.1,TARA_023_DCM_0.22-1.6,TARA_023,,TARA_023,15.194062,7.03,0.253449625871,12.8235389152,0.003411115822,0.000992320491425,0.0,10.1033844665,0.053751855016,44.8421974898,68.0106012531,0.916473759789,1.22259639363,10.0614599109,15.6319299245
