ENA-SAMPLE,Chlorophyll,Temperature,NO2 [umol/L],Oxygen [umol/kg],PO4 [umol/L],MGII_virus,Cyanophage,Depth,Salinity [PSU],SAR116,Nitrates [umol/L],MGII,SAR11,NO2NO3 [umol/L],Prochlorococcus,Synechococcus,Region,Euryarchaeota,Crenarchaeota,Cyanobacteria
ERS477931,0.0812,23.82575,1.2,103.9,1.86,0.0973350557343,60.8731837182,5.0,34.9,1.82239047157,20.3,5.76781198697,93.5815396774,24.4,25.7280539751,15.1396444327,MS,0.000525858344095,0.0250084129444,40.8676984079
ERS477953,0.553274,17.36746,0.14,200.2,0.68,2.65177858673,200.523847603,42.0,35.8,2.07812328194,4.6,11.3736152047,78.6783907661,6.2,47.6609238471,16.5540114239,MS,0.0022781316242,0.0269428528258,64.214935271
ERS477979,0.0419,17.321979,0.31,190.8,0.75,0.0319246339172,5.1345721405,5.0,35.0,4.92425015747,6.7,7.91117124455,136.491025804,8.2,29.7225148419,22.2233357409,MS,0.00537259992497,0.125342335398,51.9458505828
ERS477998,0.0599,15.194062,0.41,144.6,0.93,0.105659251329,25.8625937478,55.0,35.1,3.35530839213,10.9,20.6091001674,133.708485438,10.7,89.5600007692,30.8181022025,MS,0.00752861024308,0.501541271848,120.378102972
ERS478007,0.0599,15.194062,0.0,1.3,2.8,4.44247065539,52.7750381256,55.0,34.8,0.0252549275418,34.6,0.318154262254,0.119703346889,38.1,0.216965131219,0.0738637271387,MS,0.000136505313026,0.000499321690836,0.290828858358
ERS478017,0.01585,20.460612,0.1,179.9,0.59,0.025624932959,7.37508861898,5.0,36.1,2.98213273365,2.3,1.70313816788,125.573064057,2.8,23.6310760557,9.69043463485,MS,0.0017778752021,0.00698454602231,33.3215106906
ERS478040,0.042495,18.979535,0.01,199.2,2.15,0.21697277321,22.4681926201,70.0,34.3,3.71100755745,29.2,5.04281760732,189.821931935,31.46,300.833567047,57.337071461,MS,0.00781179245888,0.00542880571754,358.170638508
ERS478052,0.042495,18.979535,0.01,202.2,0.14,1.32250666929,51.7601357647,70.0,36.5,0.136932078214,-0.9,0.0735746875664,0.51280186548,0.03,0.510852655919,0.460885766616,MS,4.12885165839e-05,6.21887233786e-05,0.971738422535
ERS487899,0.078,20.5251,0.03,0.7,2.68,0.162766599346,188.307733204,5.0,34.8,3.42166143241,21.1,21.4692678898,155.142057134,23.9,232.404147881,17.5770627672,NAO,0.00368228817822,0.00705939866612,249.981210648
ERS487936,0.090621,20.408907,0.16,216.8,0.78,0.13487173143,165.987041862,40.0,35.5,1.54000185494,1.5,17.3642386464,160.395342353,5.7,146.722890914,9.84354686966,NAO,0.061447575208,0.440875931596,156.566437783
ERS488119,-0.0247,23.8526,0.32,206.0,1.0,0.0844680762465,43.2862046214,5.0,34.7,4.6997077633,11.7,7.280373883,149.580858644,12.6,94.9158949955,55.7406247875,MS,0.0219211560356,0.0036180196722,150.656519783
ERS488147,0.434367,16.151933,0.01,4.4,2.85,0.449081649518,173.102355618,55.0,34.7,1.51239205011,40.0,46.7534992212,191.437844175,39.2,81.3670367111,3.90020790395,MS,0.0151280554573,2.96929986816,85.2672446151
ERS488330,0.048898,21.4395,0.02,2.5,2.58,0.340055944284,210.589002601,5.0,34.8,2.23631355201,33.9,45.2657073759,114.592702496,35.3,251.551427967,3.064936838,MS,0.0154232897694,0.184149753853,254.616364805
ERS488340,0.048898,21.4395,0.04,198.6,0.27,1.72954101648,101.681252597,5.0,33.4,0.821548605638,1.2,0.314573650936,1.2029775214,0.9,1.10458673514,0.664958505109,MS,0.000543608127321,0.000102348311415,1.76954524025
ERS488346,0.132494,18.36839,0.11,203.1,0.5,0.337333378218,272.09393214,60.0,34.3,1.29315973617,3.9,60.8736662186,96.0876959732,4.6,288.493319247,4.05149065873,MS,0.0166892017538,0.0120981295161,292.544809906
ERS488354,0.132494,18.36839,0.11,203.1,0.5,8.6031558708,347.263889098,60.0,34.3,0.0616916279167,3.9,1.36951427914,0.479784042848,4.6,0.786255999505,0.130367413362,MS,9.66409620386e-05,2.911207282e-05,0.916623412867
ERS488448,0.180911,17.041483,0.04,198.6,0.27,12.2870215672,74.9432693338,5.0,33.4,0.542691138671,1.2,0.24931909875,1.29407842363,0.9,0.42502205803,0.555692173107,MS,0.000371536679538,0.000502804192778,0.980714231137
ERS488486,0.121845,18.342533,0.04,208.9,0.5,0.0434741877178,6.65000188599,5.0,36.0,4.06497430552,2.6,1.05793773285,123.559106454,2.68,50.1651836039,78.0084446945,MS,0.00209839322104,0.0122558336037,128.173628298
ERS488499,0.121845,18.342533,0.0,207.1,0.11,2.27203934906,20.1712940114,5.0,35.9,0.570296369725,0.5,0.0946120523289,0.148616523342,0.02,0.654916695026,0.446616161978,MS,0.000594642915264,0.000116628639023,1.101532857
ERS488509,0.201016,15.161277,0.2,211.5,0.44,0.361621656968,215.40905824,50.0,35.7,1.13568608178,1.4,15.7304994868,93.685685041,0.93,314.969722297,12.6608955887,MS,0.00719749051389,1.71595195297,327.630617886
ERS488518,0.201016,15.161277,0.01,3.2,2.73,3.00693924722,124.776626764,50.0,34.7,0.73201262158,30.4,1.09065253727,0.127466295808,34.61,0.185218073329,0.0730539641108,MS,0.000366318338858,0.000698196359907,0.25827203744
ERS488545,0.048898,25.0621,0.1,179.9,0.59,1.05443582546,319.635701233,5.0,36.1,2.06718706941,2.3,188.310390418,100.443014477,2.8,443.083409689,22.1178868019,RS,0.00804844082519,0.0120341291583,465.201296491
ERS488558,0.048898,25.0621,0.1,179.9,0.59,19.312099932,502.63638558,5.0,36.1,1.0270079251,2.3,2.29092349442,3.44921868409,2.8,2.05360208643,1.04039479234,RS,0.00197361687476,0.000105132839635,3.09399687877
ERS488569,0.0,25.824383,0.02,38.1,2.43,0.786729140939,1104.97995677,5.0,34.6,1.92658769577,42.5,229.422196397,164.667085694,34.63,628.470518991,16.9241471582,RS,0.00677209612771,0.0104311140643,645.394666149
ERS488589,0.0,25.824383,0.02,38.1,2.43,11.2622836914,399.614131099,5.0,34.6,0.0293971640891,42.5,0.372120784915,0.245716773853,34.63,0.590168785481,0.10425436207,RS,0.0,4.78997677273e-05,0.694423147551
ERS488599,0.224444,26.050367,0.1,179.9,0.59,0.928990439123,49.0527695281,80.0,36.1,1.31965192328,2.3,125.890022076,64.2805856057,2.8,52.8704310401,4.95782643807,RS,0.0404795766153,1.10271058206,57.8282574782
ERS488613,0.224444,26.050367,0.02,38.1,2.43,1.1387103109,10.2522267386,80.0,34.6,0.643579144542,42.5,0.719500952228,2.30009649996,34.63,5.03661136902,1.7349959519,RS,0.00144176765788,0.00638319956934,6.77160732092
ERS488621,0.163228,27.329517,0.02,38.1,2.43,0.565287593872,294.651723761,5.0,34.6,5.28933909463,42.5,123.735710089,212.424627687,34.63,149.071196861,105.207275981,RS,0.0149492431965,0.0975061150765,254.278472842
ERS488649,0.186697,27.59865,0.12,186.2,0.57,0.856313498518,382.135480067,5.0,35.4,3.35050173716,4.0,202.770704934,208.338261577,5.46,86.0814868561,63.5299081618,RS,0.0109614596737,0.132826491582,149.611395018
ERS488658,0.186697,27.59865,0.12,186.2,0.57,11.841164662,551.832676009,5.0,35.4,0.0734018354365,4.0,7.78698639612,7.34653686167,5.46,2.18190158837,1.63183437347,RS,0.0020928999539,0.00568953730879,3.81373596184
ERS488673,0.186697,27.59865,0.14,189.8,0.53,31.5060580737,1064.30568801,5.0,35.4,0.519354973219,3.9,0.242276086539,0.500326279051,4.9,0.971476630041,0.848538351554,RS,0.000341198931,0.000116987605835,1.82001498159
ERS488685,0.181406,27.589917,0.12,186.2,0.57,0.511260375828,48.538771939,60.0,35.4,0.881053998852,4.0,19.0989929838,37.3036241546,5.46,14.6423271435,2.16803378127,RS,0.0293001422468,1.67690457926,16.8103609248
