RUN,Date,ENA-SAMPLE,Station,Depth,Temperature,Chlorophyll,Nitrates [umol/L],NO2 [umol/L],PO4 [umol/L],NO2NO3 [umol/L],SI [umol/L],AMODIS:PAR8d,Einsteins/m-2/d-1,Okubo-Weiss,Lyapunov_exp.,grad_SST_adv,SiOH4 [umol/l],Chl_a [ugr/l],POC [ugr/l],Oxygen Sensor,Salinity Sensor,Nitrate Sensor
EV06,22/10/2012 9:00,Eilat_A_6,Eilat_A,5,26,0.348,0.01,0.055,0.022,Na,Na,Na,Na,Na,Na,Na,0.552,0.257,55,178.0075,40.8351,Na
EV12,22/10/2012 9:00,Eilat_A_12,Eilat_A,5,26,0.348,0.01,0.055,0.022,Na,Na,Na,Na,Na,Na,Na,0.552,0.257,55,178.0075,40.8351,Na
EV18,22/10/2012 9:00,Eilat_A_18,Eilat_A,5,26,0.348,0.01,0.055,0.022,Na,Na,Na,Na,Na,Na,Na,0.552,0.257,55,178.0075,40.8351,Na
EV24,22/10/2012 9:00,Eilat_A_24,Eilat_A,5,26,0.348,0.01,0.055,0.022,Na,Na,Na,Na,Na,Na,Na,0.552,0.257,55,178.0075,40.8351,Na
EG06,22/10/2012 9:00,Eilat_A_6,Eilat_A,5,26,0.348,0.01,0.055,0.022,Na,Na,Na,Na,Na,Na,Na,0.552,0.257,55,178.0075,40.8351,Na
EG12,22/10/2012 9:00,Eilat_A_12,Eilat_A,5,26,0.348,0.01,0.055,0.022,Na,Na,Na,Na,Na,Na,Na,0.552,0.257,55,178.0075,40.8351,Na
EG18,22/10/2012 9:00,Eilat_A_18,Eilat_A,5,26,0.348,0.01,0.055,0.022,Na,Na,Na,Na,Na,Na,Na,0.552,0.257,55,178.0075,40.8351,Na
EG24,22/10/2012 9:00,Eilat_A_24,Eilat_A,5,26,0.348,0.01,0.055,0.022,Na,Na,Na,Na,Na,Na,Na,0.552,0.257,55,178.0075,40.8351,Na
ER06,22/10/2012 9:00,Eilat_A_6,Eilat_A,5,26,0.348,0.01,0.055,0.022,Na,Na,Na,Na,Na,Na,Na,0.552,0.257,55,178.0075,40.8351,Na
ER12,22/10/2012 9:00,Eilat_A_12,Eilat_A,5,26,0.348,0.01,0.055,0.022,Na,Na,Na,Na,Na,Na,Na,0.552,0.257,55,178.0075,40.8351,Na
ER18,22/10/2012 9:00,Eilat_A_18,Eilat_A,5,26,0.348,0.01,0.055,0.022,Na,Na,Na,Na,Na,Na,Na,0.552,0.257,55,178.0075,40.8351,Na
ER24,22/10/2012 9:00,Eilat_A_24,Eilat_A,5,26,0.348,0.01,0.055,0.022,Na,Na,Na,Na,Na,Na,Na,0.552,0.257,55,178.0075,40.8351,Na
