Date_Time(GMT),Station_ID,Depth(m),Temp(deg C),Salinity(ppt),Oxygen(micromol/l),pH,Alkalinity(meq/kg),NH4(nmol/l),NO2(micromol/l),NO3(micromol/l),SiOH4(micromol/l),PO4(micromol/l),Chl_a(microgr/l),Pheo(microgr/l),POC(microgr/l)
16/01/12 07:25,A,80,21.6701,40.759,209.1,8.198,2.5106,26,.267,1.081,.955,.075,.225,,35
16/01/12 07:25,A,100,21.6732,40.7584,210.07,8.201,2.5092,15.28,.266,1.09,1.02,.07,.232,,
16/01/12 07:25,A,120,21.6754,40.7589,209.41,8.186,,6.8,.263,1.05,.953,.075,.238,,
16/01/12 07:25,A,140,21.6779,40.7586,209.07,8.193,,17.27,.271,1.052,.945,.075,.244,,
16/01/12 07:25,A,160,21.6823,40.7592,209.03,8.193,,5.98,.271,1.129,.961,.077,.24,,
16/01/12 07:25,A,180,21.686,40.759,210.2,8.204,,3.99,.27,1.133,.946,.074,.222,,
16/01/12 07:25,A,200,21.6914,40.7598,208.75,8.208,2.5097,6.33,.271,1.079,.943,.073,.227,,43
16/01/12 07:25,A,250,21.7013,40.7596,209.4,8.191,,10.41,.271,1.105,.952,.071,.213,,
16/01/12 07:25,A,300,21.7105,40.7598,209.93,8.199,2.5098,27.08,.267,1.146,.939,.076,.221,,
16/01/12 07:25,A,350,21.7163,40.758,209.13,,,138.59,.266,1.103,1.018,.078,.239,,
16/01/12 07:25,A,400,21.6969,40.7597,208.13,8.189,2.5085,21.68,.25,1.254,1.019,.08,.064,,35
16/01/12 08:58,A,0,21.6551,40.7582,209.61,8.188,2.5103,37.48,.274,1.189,.974,.101,.268,,42
16/01/12 08:58,A,20,21.6584,40.7578,211.65,8.189,2.5094,20.76,.251,1.076,.964,.09,.266,,39
16/01/12 08:58,A,40,21.6621,40.7575,209.28,8.192,2.5104,21.13,.266,1.04,.955,.078,.25,,54
16/01/12 08:58,A,60,21.664,40.7569,209.41,8.192,2.5088,26.9,.267,1.112,.95,.081,.278,,38
16/01/12 10:25,A,450,21.5793,40.7613,195.48,8.174,,31.23,.259,2.657,1.601,.163,,,
16/01/12 10:25,A,500,21.0723,40.7121,169.57,8.144,2.4984,22.31,.082,5.83,2.983,.308,,,
16/01/12 10:25,A,525,21.0558,40.7119,169.52,8.157,,,.072,5.682,3.028,.308,,,
16/01/12 10:25,A,550,21.0531,40.713,168.75,8.15,,18.51,.085,5.641,3.054,.311,,,
16/01/12 10:25,A,575,21.0495,40.7157,169.1,8.155,,,.084,5.574,3.138,.308,,,
16/01/12 10:25,A,600,21.0452,40.7157,169.23,8.158,2.4975,16.93,.059,5.713,3.138,.311,,,21
16/01/12 10:25,A,625,21.0369,40.7177,170.31,8.151,,,.079,5.57,3.216,.315,,,
16/01/12 10:25,A,650,21.0418,40.7175,170.39,8.155,,18.5,.082,5.539,3.243,.316,,,
16/01/12 10:25,A,675,21.0462,40.7173,170.78,8.149,,,.066,5.631,3.258,.309,,,
16/01/12 10:25,A,700,21.0493,40.718,169.64,8.156,2.4957,19.34,.095,5.566,3.267,.313,,,
07/03/12 06:21,A,80,24.0812,40.6136,212.43,8.186,2.5015,13.91,.054,0,.541,.015,.464,,72
07/03/12 06:21,A,100,23.5609,40.6352,207.18,8.188,2.5018,16.23,.188,.766,.542,.055,.121,,55
07/03/12 06:21,A,120,22.8647,40.6209,197.52,8.167,,7.74,.042,1.821,.602,.099,.022,,
07/03/12 06:21,A,140,21.3605,40.7003,195.26,8.164,,18.86,.017,2.249,.778,.118,0,,32
07/03/12 06:21,A,160,21.3354,40.7073,192.63,8.152,,27.93,.014,2.881,1.25,.163,,,
