"Date","Time","Temperature(deg C)","Chl-a(mg/l)","","","","",""
"01/01/12","09:00","21.5","0.225","","","","",""
"02/01/12","08:30","21.4","0.277","","","","",""
"03/01/12","08:40","21.5","0.33","","","","",""
"04/01/12","08:30","21.6","0.334","","","","",""
"05/01/12","08:50","21.5","0.334","","","","",""
"06/01/12","08:30","21.3","0.383","","","","",""
"08/01/12","08:10","21.5","0.431","","","","",""
"09/01/12","08:50","21.5","0.366","","","","",""
"10/01/12","09:05","21.2","0.33","","","","",""
"11/01/12","08:55","21.4","0.369","","","","",""
"12/01/12","08:33","21.1","0.423","","","","",""
"13/01/12","08:45","21.3","0.433","","","","",""
"15/01/12","11:30","21.5","0.278","","","","",""
"16/01/12","09:30","21.4","0.339","","","","",""
"17/01/12","08:30","21.2","0.309","","","","",""
"18/01/12","08:30","21.4","0.266","","","","",""
"19/01/12","08:40","21.3","0.311","","","","",""
"20/01/12","08:10","21.3","0.244","","","","",""
"22/01/12","08:55","21.1","0.236","","","","",""
"23/01/12","08:40","21","0.249","","","","",""
"24/01/12","08:30","21.3","0.24","","","","",""
"25/01/12","08:45","21.3","0.339","","","","",""
"26/01/12","08:50","21.2","0.343","","","","",""
"27/01/12","08:35","21.3","0.285","","","","",""
"29/01/12","08:40","21","0.316","","","","",""
"30/01/12","08:15","21","0.278","","","","",""
"31/01/12","09:00","21.1","0.329","","","","",""
"01/02/12","08:40","21","0.51","","","","",""
"02/02/12","08:25","20.9","0.379","","","","",""
"03/02/12","08:25","21.1","0.368","","","","",""
"05/02/12","08:35","21","0.239","","","","",""
"06/02/12","08:05","21","0.226","","","","",""
"07/02/12","08:40","21","0.21","","","","",""
"08/02/12","08:20","20.8","0.204","","","","",""
"09/02/12","08:05","20.6","0.166","","","","",""
"10/02/12","08:30","20.8","0.175","","","","",""
"12/02/12","09:00","21.2","0.221","","","","",""
"13/02/12","08:30","21.1","0.158","","","","",""
"15/02/12","08:30","21.1","0.382","","","","",""
"16/02/12","08:40","21.1","0.244","","","","",""
"17/02/12","08:00","21.1","0.318","","","","",""
"19/02/12","08:30","20.8","0.239","","","","",""
"20/02/12","07:45","20.7","0.259","","","","",""
"21/02/12","07:45","20.8","0.276","","","","",""
"22/02/12","07:45","20.7","0.23","","","","",""
"23/02/12","08:40","20.9","0.221","","","","",""
"24/02/12","08:00","20.9","0.252","","","","",""
"26/02/12","08:35","20.7","0.269","","","","",""
"27/02/12","08:40","20.9","0.242","","","","",""
"28/02/12","08:30","21","0.431","","","","",""
"29/02/12","08:20","20.8","0.837","","","","",""
"01/03/12","08:50","21","0.5","","","","",""
"02/03/12","09:00","20.8","0.338","","","","",""
"04/03/12","08:40","20.8","0.47","","","","",""
"05/03/12","08:50","20.8","0.298","","","","",""
"06/03/12","08:10","20.8","0.486","","","","",""
"07/03/12","07:40","20.8","0.465","","","","",""
"09/03/12","08:10","20.9","0.417","","","","",""
"11/03/12","08:40","21","0.432","","","","",""
"12/03/12","08:30","21.2","0.469","","","","",""
"13/03/12","08:20","21.1","0.776","","","","",""
"14/03/12","08:30","21.1","0.39","","","","",""
"15/03/12","08:40","21","0.262","","","","",""
"16/03/12","08:40","21","0.616","","","","",""
"18/03/12","08:40","20.9","0.464","","","","",""
"19/03/12","08:30","20.9","0.484","","","","",""
"20/03/12","08:40","20.9","0.364","","","","",""
"21/03/12","08:30","20.9","0.268","","","","",""
"22/03/12","08:40","20.9","0.239","","","","",""
"23/03/12","08:50","20.8","0.296","","","","",""
"25/03/12","08:30","20.9","0.447","","","","",""
"26/03/12","08:10","20.9","0.382","","","","",""
"27/03/12","08:40","21.1","0.443","","","","",""
"28/03/12","08:45","21.3","0.634","","","","",""
"29/03/12","08:25","20.9","0.225","","","","",""
"30/03/12","08:20","20.9","0.746","","","","",""
"01/04/12","08:45","21","0.843","","","","",""
"02/04/12","08:45","21.3","1.147","","","","",""
"03/04/12","09:00","21.2","1.592","","","","",""
"04/04/12","08:30","20.9","0.686","","","","",""
"05/04/12","08:00","21.1","1.632","","","","",""
"06/04/12","08:50","21.3","1.78","","","","",""
"07/04/12","13:20","21.3","0.644","","","","",""
"08/04/12","08:25","21.7","0.762","","","","",""
"09/04/12","08:25","22.5","0.21","","","","",""
"10/04/12","08:50","22.5","0.201","","","","",""
"11/04/12","08:45","22.1","0.185","","","","",""
"12/04/12","08:35","22.1","0.105","","","","",""
"13/04/12","08:40","21.8","0.134","","","","",""
"14/04/12","15:20","21.4","0.256","","","","",""
"15/04/12","08:20","21.5","0.419","","","","",""
"16/04/12","08:50","21.6","0.655","","","","",""
"17/04/12","08:25","21.4","0.485","","","","",""
"18/04/12","08:50","21.4","1.078","","","","",""
"19/04/12","08:00","21.5","1.299","","","","",""
"20/04/12","08:35","21.4","1.175","","","","",""
"22/04/12","09:10","21.3","1.226","","","","",""
"23/04/12","09:00","21.3","1.291","","","","",""
"24/04/12","09:10","21.3","1.322","","","","",""
"25/04/12","09:05","21.3","1.024","","","","",""
"26/04/12","08:14","21.3","1.019","","","","",""
"27/04/12","09:40","21.2","0.894","","","","",""
"28/04/12","08:01","21.3","1.665","","","","",""
"29/04/12","08:50","21.5","1.589","","","","",""
"30/04/12","08:10","21.5","1.668","","","","",""
"01/05/12","08:45","21.7","0.704","","","","",""
"02/05/12","09:00","22","1.105","","","","",""
"03/05/12","08:45","22.6","0.969","","","","",""
"04/05/12","08:00","23.7","0.642","","","","",""
"06/05/12","07:45","23","0.782","","","","",""
"07/05/12","07:45","22.7","0.966","","","","",""
"08/05/12","07:45","22.6","0.794","","","","",""
"09/05/12","07:50","22.5","0.987","","","","",""
"10/05/12","08:45","22.4","1.016","","","","",""
"11/05/12","07:50","22.5","0.645","","","","",""
"12/05/12","07:45","22.7","0.42","","","","",""
"13/05/12","08:10","23.4","0.631","","","","",""
"14/05/12","08:30","23","0.561","","","","",""
"15/05/12","08:50","23","0.766","","","","",""
"16/05/12","08:30","22.9","0.637","","","","",""
"17/05/12","08:30","23.2","0.766","","","","",""
"18/05/12","08:20","23.4","0.539","","","","",""
"19/05/12","07:16","23.6","0.661","","","","",""
"20/05/12","12:30","0","0.263","","","","",""
"21/05/12","08:10","23.2","0.535","","","","",""
"22/05/12","08:30","23.4","0.608","","","","",""
"23/05/12","08:40","23.8","0.473","","","","",""
"24/05/12","08:30","23.6","0.393","","","","",""
"25/05/12","08:40","23.5","0.39","","","","",""
"26/05/12","10:20","23.6","0.534","","","","",""
"27/05/12","07:45","23.4","0.565","","","","",""
"28/05/12","08:45","23.4","0.413","","","","",""
"29/05/12","08:30","24.3","0.309","","","","",""
"30/05/12","08:35","24.1","0.262","","","","",""
"31/05/12","08:40","23.9","0.252","","","","",""
"01/06/12","07:50","24","0.26","","","","",""
"03/06/12","08:55","23.9","0.235","","","","",""
"04/06/12","08:30","24","0.251","","","","",""
"05/06/12","07:30","24","0.351","","","","",""
"06/06/12","08:40","24","0.291","","","","",""
"07/06/12","08:40","23.8","0.415","","","","",""
"08/06/12","08:00","24","0.233","","","","",""
"10/06/12","09:00","24","0.213","","","","",""
"11/06/12","08:30","24.1","0.167","","","","",""
"12/06/12","09:00","24.1","0.186","","","","",""
"13/06/12","09:00","24.3","0.185","","","","",""
"14/06/12","08:20","24.1","0.223","","","","",""
"15/06/12","08:40","24.2","0.256","","","","",""
"17/06/12","08:20","25.1","0.218","","","","",""
"18/06/12","08:20","25.2","0.255","","","","",""
"19/06/12","09:10","25.2","0.211","","","","",""
"20/06/12","08:15","24.5","0.205","","","","",""
"21/06/12","08:55","25.3","0.199","","","","",""
"22/06/12","08:50","25.8","0.299","","","","",""
"24/06/12","08:30","26.5","0.247","","","","",""
"25/06/12","08:40","26.3","0.204","","","","",""
"26/06/12","08:40","26.3","0.251","","","","",""
"27/06/12","08:50","26.7","0.168","","","","",""
"29/06/12","08:30","26.4","0.251","","","","",""
"01/07/12","08:50","26.1","0.184","","","","",""
"02/07/12","09:10","26.5","0.168","","","","",""
"03/07/12","08:30","26.1","0.142","","","","",""
"04/07/12","08:15","25.7","0.248","","","","",""
"05/07/12","08:40","25.6","0.199","","","","",""
"06/07/12","09:10","25.6","0.16","","","","",""
"08/07/12","08:30","26","0.175","","","","",""
"09/07/12","08:30","26.2","0.253","","","","",""
"10/07/12","08:30","26.2","0.311","","","","",""
"11/07/12","08:25","26.9","0.157","","","","",""
"12/07/12","08:35","26.6","0.319","","","","",""
"13/07/12","08:35","26.4","0.224","","","","",""
"15/07/12","08:10","27","0.153","","","","",""
"16/07/12","08:40","27.5","0.139","","","","",""
"17/07/12","08:10","27.4","0.166","","","","",""
"18/07/12","08:20","27.4","0.21","","","","",""
"19/07/12","08:20","27.4","0.164","","","","",""
"20/07/12","08:30","28","0.469","","","","",""
"22/07/12","08:50","27.5","0.217","","","","",""
"23/07/12","09:05","27.7","0.13","","","","",""
"24/07/12","08:50","27.4","0.143","","","","",""
"25/07/12","08:50","27.2","0.143","","","","",""
"26/07/12","08:45","27.2","0.196","","","","",""
"30/07/12","08:06","27.5","0.165","","","","",""
"31/07/12","08:40","28.1","0.152","","","","",""
"01/08/12","07:50","27.5","0.207","","","","",""
"02/08/12","08:20","28.5","0.217","","","","",""
"03/08/12","08:20","28.6","0.355","","","","",""
"05/08/12","08:30","27.9","0.19","","","","",""
"06/08/12","08:30","27.6","0.183","","","","",""
"07/08/12","08:30","27.7","0.142","","","","",""
"08/08/12","08:30","28","0.21","","","","",""
"09/08/12","08:50","28.1","0.202","","","","",""
"12/08/12","08:25","28.1","0.128","","","","",""
"13/08/12","08:25","28.1","0.105","","","","",""
"14/08/12","08:13","28.2","0.118","","","","",""
"15/08/12","09:00","27.9","0.132","","","","",""
"16/08/12","07:50","27.4","0.165","","","","",""
"17/08/12","08:50","27.7","0.146","","","","",""
"19/08/12","08:45","27.6","0.113","","","","",""
"20/08/12","08:45","27.6","0.116","","","","",""
"21/08/12","08:15","27.5","0.138","","","","",""
"22/08/12","08:30","27.1","0.169","","","","",""
"23/08/12","09:10","26.8","0.203","","","","",""
"24/08/12","08:30","26.7","0.119","","","","",""
"26/08/12","08:30","27","0.163","","","","",""
"27/08/12","07:25","27.1","0.155","","","","",""
"28/08/12","09:00","27","0.181","","","","",""
"29/08/12","08:45","27.2","0.199","","","","",""
"30/08/12","09:00","27.5","0.161","","","","",""
"31/08/12","08:00","27.6","0.097","","","","",""
"02/09/12","08:40","27.5","0.16","","","","",""
"03/09/12","08:40","27.2","0.157","","","","",""
"04/09/12","08:40","27.2","0.142","","","","",""
"05/09/12","08:30","26.8","0.135","","","","",""
"06/09/12","08:50","26.6","0.15","","","","",""
"07/09/12","09:00","26.5","0.165","","","","",""
"09/09/12","08:35","26.4","0.181","","","","",""
"10/09/12","09:00","26.7","0.185","","","","",""
"11/09/12","08:15","26.7","0.221","","","","",""
"12/09/12","08:40","26.7","0.176","","","","",""
"13/09/12","08:30","26.7","0.165","","","","",""
"14/09/12","08:40","26.7","0.171","","","","",""
"16/09/12","09:00","26.5","0.153","","","","",""
"20/09/12","08:20","26.5","0.155","","","","",""
"21/09/12","08:15","26.5","0.152","","","","",""
"22/09/12","08:30","26.5","0.179","","","","",""
"23/09/12","08:50","26.3","0.16","","","","",""
"24/09/12","08:00","26.3","0.117","","","","",""
"25/09/12","08:55","26.3","0.152","","","","",""
"27/09/12","08:15","26.1","0.16","","","","",""
"28/09/12","07:35","25.8","0.172","","","","",""
"30/09/12","09:00","26.3","0.166","","","","",""
"02/10/12","09:00","26.2","0.228","","","","",""
"03/10/12","09:00","26","0.243","","","","",""
"04/10/12","09:20","25.9","0.222","","","","",""
"05/10/12","09:00","25.9","0.228","","","","",""
"07/10/12","09:00","26.1","0.191","","","","",""
"09/10/12","09:00","26.1","0.182","","","","",""
"10/10/12","08:30","25.8","0.277","","","","",""
"11/10/12","08:50","26","0.139","","","","",""
"12/10/12","07:10","25.8","0.14","","","","",""
"14/10/12","08:30","25.9","0.265","","","","",""
"16/10/12","08:30","26","0.215","","","","",""
"17/10/12","08:40","26","0.225","","","","",""
"18/10/12","08:40","25.9","0.265","","","","",""
"19/10/12","08:30","26","0.198","","","","",""
"21/10/12","08:00","25.9","0.257","","","","",""
"22/10/12","09:00","26","0.348","","","","",""
"23/10/12","09:00","26.2","0.392","","","","",""
"24/10/12","09:00","26.2","0.279","","","","",""
"25/10/12","09:00","26.1","0.387","","","","",""
"26/10/12","07:30","26.2","0.313","","","","",""
"28/10/12","08:40","26","0.305","","","","",""
"29/10/12","08:50","25.9","0.344","","","","",""
"30/10/12","08:50","25.9","0.317","","","","",""
"31/10/12","08:35","25.8","0.292","","","","",""
"01/11/12","08:50","25.9","0.297","","","","",""
"02/11/12","09:00","26.1","0.33","","","","",""
"04/11/12","08:30","25.9","0.285","","","","",""
"05/11/12","08:35","26.1","0.311","","","","",""
"06/11/12","08:40","26.1","0.307","","","","",""
"07/11/12","08:40","26.1","0.291","","","","",""
"08/11/12","08:45","26.1","0.304","","","","",""
"09/11/12","08:30","26","0.324","","","","",""
"11/11/12","08:35","25.8","0.38","","","","",""
"12/11/12","08:30","25.6","0.349","","","","",""
"13/11/12","08:35","25.5","0.363","","","","",""
"14/11/12","08:35","25.4","0.367","","","","",""
"15/11/12","08:40","25.5","0.348","","","","",""
"16/11/12","08:40","25.5","0.323","","","","",""
"18/11/12","08:50","25.7","0.356","","","","",""
"19/11/12","08:50","25.3","0.404","","","","",""
"20/11/12","07:25","25.1","0.43","","","","",""
"21/11/12","08:55","25.1","0.44","","","","",""
"22/11/12","09:00","25.2","0.417","","","","",""
"23/11/12","08:00","25","0.43","","","","",""
"25/11/12","09:00","25","0.361","","","","",""
"26/11/12","08:30","24.8","0.389","","","","",""
"27/11/12","09:00","24.8","0.418","","","","",""
"28/11/12","08:30","24.7","0.442","","","","",""
"29/11/12","09:00","24.7","0.388","","","","",""
"30/11/12","09:00","24.7","0.353","","","","",""
