Sample label [TARA_station#_environmental-feature_size-fraction],ENA-SAMPLE,Station,Date,Salinity [PSU],Oxygen [umol/kg],Nitrates [umol/L],NO2 [umol/L],PO4 [umol/L],NO2NO3 [umol/L],SI [umol/L],AMODIS:PAR8d,Einsteins/m-2/d-1,Okubo-Weiss,Lyapunov_exp.,grad_SST_adv
TARA_007_SRF_0.22-1.6,ERS477931,TARA_007,22/04/2011 19:51,34.9,103.9,20.3,1.2,1.86,24.4,10.5,44.4,0,0.04,1.8,3.75
TARA_007_DCM_0.22-1.6,ERS477953,TARA_007,15/04/2011 13:10,35.8,200.2,4.6,0.14,0.68,6.2,1.2,41.8,-0.02,0.05,0.34,8.97
TARA_023_SRF_0.22-1.6,ERS477979,TARA_023,21/05/2011 12:37,35,190.8,6.7,0.31,0.75,8.2,3.9,47.2,0.02,0,0.43,7.03
TARA_023_DCM_0.22-1.6,ERS477998,TARA_023,21/05/2011 23:21,35.1,144.6,10.9,0.41,0.93,10.7,6,46.5,0.02,0,0.43,7.03
TARA_023_DCM_<-0.22,ERS478007,TARA_023,22/05/2011 17:56,34.8,1.3,34.6,0,2.8,38.1,35,46.5,0.02,0,0.43,7.03
TARA_030_SRF_0.22-1.6,ERS478017,TARA_030,28/07/2011 19:36,36.1,179.9,2.3,0.1,0.59,2.8,1.8,39.6,0,0.02,NA,8.42
TARA_030_DCM_0.22-1.6,ERS478040,TARA_030,15/06/2011 22:14,34.3,199.2,29.2,0.01,2.15,31.46,20.6,24.5,-0.06,0.03,0.44,17.22
TARA_030_DCM_<-0.22,ERS478052,TARA_030,14/06/2011 16:54,36.5,202.2,-0.9,0.01,0.14,0.03,0.8,27,-0.06,0.03,0.44,17.22
TARA_004_SRF_0.22-1.6,ERS487899,TARA_004,16/04/2011 16:09,34.8,0.7,21.1,0.03,2.68,23.9,19.6,43.1,-0.02,0.05,0.34,8.97
TARA_004_DCM_0.22-1.6,ERS487936,TARA_004,15/04/2011 13:10,35.5,216.8,1.5,0.16,0.78,5.7,1.9,41.8,-0.02,0.05,0.34,8.97
TARA_009_SRF_0.22-1.6,ERS488119,TARA_009,21/04/2011 20:16,34.7,206,11.7,0.32,1,12.6,5,42.1,0,0.04,1.8,3.75
TARA_009_DCM_0.22-1.6,ERS488147,TARA_009,22/04/2011 14:16,34.7,4.4,40,0.01,2.85,39.2,40.6,44.4,0,0.04,1.8,3.75
TARA_018_SRF_0.22-1.6,ERS488330,TARA_018,13/05/2011 19:44,34.8,2.5,33.9,0.02,2.58,35.3,36.3,51.7,0.01,0.02,2.22,11.36
TARA_018_SRF_<-0.22,ERS488340,TARA_018,12/05/2011 13:38,33.4,198.6,1.2,0.04,0.27,0.9,1.7,51.5,0.01,0.02,2.22,11.36
TARA_018_DCM_0.22-1.6,ERS488346,TARA_018,13/05/2011 0:00,34.3,203.1,3.9,0.11,0.5,4.6,3.2,51.7,0.01,0.02,2.22,11.36
TARA_018_DCM_<-0.22,ERS488354,TARA_018,13/05/2011 0:00,34.3,203.1,3.9,0.11,0.5,4.6,3.2,51.7,0.01,0.02,2.22,11.36
TARA_022_SRF_<-0.22,ERS488448,TARA_022,12/05/2011 13:38,33.4,198.6,1.2,0.04,0.27,0.9,1.7,51.5,0.01,0.02,2.22,11.36
TARA_025_SRF_0.22-1.6,ERS488486,TARA_025,31/05/2011 14:12,36,208.9,2.6,0.04,0.5,2.68,1,34.2,-0.05,0,1.04,69.36
TARA_025_SRF_<-0.22,ERS488499,TARA_025,15/06/2011 2:29,35.9,207.1,0.5,0,0.11,0.02,0.7,24.9,-0.06,0.03,0.44,17.22
TARA_025_DCM_0.22-1.6,ERS488509,TARA_025,31/05/2011 21:23,35.7,211.5,1.4,0.2,0.44,0.93,0.9,35.5,-0.05,0,1.04,69.36
TARA_025_DCM_<-0.22,ERS488518,TARA_025,01/06/2011 18:24,34.7,3.2,30.4,0.01,2.73,34.61,26,34.4,-0.05,0,1.04,69.36
TARA_031_SRF_0.22-1.6,ERS488545,TARA_031,28/07/2011 19:36,36.1,179.9,2.3,0.1,0.59,2.8,1.8,39.6,0,0.02,NA,8.42
TARA_031_SRF_<-0.22,ERS488558,TARA_031,28/07/2011 19:36,36.1,179.9,2.3,0.1,0.59,2.8,1.8,39.6,0,0.02,NA,8.42
TARA_032_SRF_0.22-1.6,ERS488569,TARA_032,27/07/2011 23:48,34.6,38.1,42.5,0.02,2.43,34.63,22.49,40.5,0,0.02,NA,8.42
TARA_032_SRF_<-0.22,ERS488589,TARA_032,27/07/2011 23:48,34.6,38.1,42.5,0.02,2.43,34.63,22.49,40.5,0,0.02,NA,8.42
TARA_032_DCM_0.22-1.6,ERS488599,TARA_032,28/07/2011 19:36,36.1,179.9,2.3,0.1,0.59,2.8,1.8,39.6,0,0.02,NA,8.42
TARA_032_DCM_<-0.22,ERS488613,TARA_032,27/07/2011 23:48,34.6,38.1,42.5,0.02,2.43,34.63,22.49,40.5,0,0.02,NA,8.42
TARA_033_SRF_0.22-1.6,ERS488621,TARA_033,27/07/2011 23:48,34.6,38.1,42.5,0.02,2.43,34.63,22.49,40.5,0,0.02,NA,8.42
TARA_034_SRF_0.22-1.6,ERS488649,TARA_034,26/07/2011 17:34,35.4,186.2,4,0.12,0.57,5.46,2.19,40.2,0,0.02,NA,8.42
TARA_034_SRF_0.1-0.22,ERS488658,TARA_034,26/07/2011 17:34,35.4,186.2,4,0.12,0.57,5.46,2.19,40.2,0,0.02,NA,8.42
TARA_034_SRF_<-0.22,ERS488673,TARA_034,31/07/2011 17:24,35.4,189.8,3.9,0.14,0.53,4.9,2.22,45.2,0.02,0.04,NA,0
TARA_034_DCM_0.22-1.6,ERS488685,TARA_034,26/07/2011 17:34,35.4,186.2,4,0.12,0.57,5.46,2.19,40.2,0,0.02,NA,8.42
TARA_034_DCM_<-0.22,ERS488701,TARA_034,26/07/2011 17:34,35.4,186.2,4,0.12,0.57,5.46,2.19,40.2,0,0.02,NA,8.42
TARA_036_SRF_0.22-1.6,ERS488714,TARA_036,01/08/2011 20:13,35.9,161.3,5,1.47,0.66,5.43,1.19,45.2,0.02,0.04,NA,0
TARA_036_SRF_0.1-0.22,ERS488722,TARA_036,01/08/2011 20:13,35.9,161.3,5,1.47,0.66,5.43,1.19,45.2,0.02,0.04,NA,0
TARA_036_SRF_<-0.22,ERS488737,TARA_036,01/08/2011 20:13,35.9,161.3,5,1.47,0.66,5.43,1.19,45.2,0.02,0.04,NA,0
TARA_036_DCM_0.22-1.6,ERS488747,TARA_036,31/07/2011 17:24,35.4,189.8,3.9,0.14,0.53,4.9,2.22,45.2,0.02,0.04,NA,0
TARA_036_DCM_<-0.22,ERS488757,TARA_036,31/07/2011 17:24,35.4,189.8,3.9,0.14,0.53,4.9,2.22,45.2,0.02,0.04,NA,0
TARA_037_MES_0.22-1.6,ERS488769,TARA_037,05/08/2011 0:27,35.4,190.7,5.1,0.16,0.63,6.18,2.52,NA,0.02,0.04,NA,0
TARA_037_MES_0.1-0.22,ERS488773,TARA_037,01/08/2011 20:13,35.9,161.3,5,1.47,0.66,5.43,1.19,45.2,0.02,0.04,NA,0
TARA_038_SRF_0.22-1.6,ERS488799,TARA_038,05/08/2011 19:30,35.8,175.9,4.5,0.35,0.49,1.21,1.47,NA,0.02,0.04,NA,0
TARA_038_SRF_0.1-0.22,ERS488803,TARA_038,05/08/2011 19:30,35.8,175.9,4.5,0.35,0.49,1.21,1.47,NA,0.02,0.04,NA,0
TARA_038_SRF_<-0.22,ERS488813,TARA_038,05/08/2011 19:30,35.8,175.9,4.5,0.35,0.49,1.21,1.47,NA,0.02,0.04,NA,0
TARA_038_DCM_0.22-1.6,ERS488830,TARA_038,05/08/2011 0:27,35.4,190.7,5.1,0.16,0.63,6.18,2.52,NA,0.02,0.04,NA,0
TARA_038_DCM_<-0.22,ERS488836,TARA_038,05/08/2011 0:27,35.4,190.7,5.1,0.16,0.63,6.18,2.52,NA,0.02,0.04,NA,0
TARA_038_MES_0.22-1.6,ERS488849,TARA_038,05/08/2011 19:30,35.8,175.9,4.5,0.35,0.49,1.21,1.47,NA,0.02,0.04,NA,0
TARA_038_MES_0.1-0.22,ERS488853,TARA_038,05/08/2011 0:27,35.4,190.7,5.1,0.16,0.63,6.18,2.52,NA,0.02,0.04,NA,0
TARA_039_SRF_0.1-0.22,ERS488879,TARA_039,09/08/2011 19:06,36.3,160.5,3.7,0.06,0.56,3.15,1.34,NA,-0.01,0,0.14,2.78
TARA_039_SRF_<-0.22,ERS488892,TARA_039,09/08/2011 19:06,36.3,160.5,3.7,0.06,0.56,3.15,1.34,NA,-0.01,0,0.14,2.78
TARA_039_DCM_0.22-1.6,ERS488916,TARA_039,08/08/2011 17:38,35.4,187.3,5,0.19,0.56,3.73,1.8,NA,-0.01,0,0.14,2.78
TARA_039_DCM_<-0.22,ERS488929,TARA_039,08/08/2011 17:38,35.4,187.3,5,0.19,0.56,3.73,1.8,NA,-0.01,0,0.14,2.78
TARA_039_MES_0.22-1.6,ERS488936,TARA_039,08/08/2011 17:38,35.4,187.3,5,0.19,0.56,3.73,1.8,NA,-0.01,0,0.14,2.78
