ENA-RUN,Depth,ENA-BASE-COUNT,ENA-SPOT-COUNT,Layer,LATITUDE,LONGITUDE,Protocol Label,Station,Size Fraction Lower Threshold,Size Fraction Upper Threshold,Temperature,Region
ERR599095,40,40585302868,207091837,deep chlorophyll maximum layer (ENVO:xxxxxxxx),36.5533,-6.5669,BACT_NUC-DNA(100L)_W0.22-1.6,TARA_004,0.22,1.6,20.408907,NAO
ERR599003,5,5460520120,28822442,surface water layer (ENVO:00002042),36.5533,-6.5669,BACT_NUC-DNA(100L)_W0.22-1.6,TARA_004,0.22,1.6,20.5251,NAO
ERR598955,5,34361551651,173346004,surface water layer (ENVO:00002042),36.5533,-6.5669,BACT_NUC-DNA(100L)_W0.22-1.6,TARA_004,0.22,1.6,20.5251,NAO
ERR598950,40,6220650813,31054711,deep chlorophyll maximum layer (ENVO:xxxxxxxx),36.5533,-6.5669,BACT_NUC-DNA(100L)_W0.22-1.6,TARA_004,0.22,1.6,20.408907,NAO
ERR315856,42,18566062320,89259915,deep chlorophyll maximum layer (ENVO:xxxxxxxx),37.0541,1.9478,GIRUS_NUC-DNA-dry(100L)_W0.22-1.6,TARA_007,0.22,1.6,17.36746,MS
ERR315857,5,23001327648,110583306,surface water (ENVO:00002042) layer,37.051,1.9378,GIRUS_NUC-DNA-dry(100L)_W0.22-1.6,TARA_007,0.22,1.6,23.82575,MS
ERR594329,55,35243308181,178517957,deep chlorophyll maximum layer (ENVO:xxxxxxxx),39.0609,5.9422,GIRUS_NUC-dry_W0.22-1.6,TARA_009,0.22,1.6,16.151933,MS
ERR594288,5,28820070308,147450847,surface water layer (ENVO:00002042),39.1633,5.916,GIRUS_NUC-dry_W0.22-1.6,TARA_009,0.22,1.6,23.8526,MS
ERR594316,5,4947000604,24490102,surface water layer (ENVO:00002042),39.1633,5.916,GIRUS_NUC-dry_W0.22-1.6,TARA_009,0.22,1.6,23.8526,MS
ERR594317,5,14296286343,72867764,surface water layer (ENVO:00002042),39.1633,5.916,GIRUS_NUC-dry_W0.22-1.6,TARA_009,0.22,1.6,23.8526,MS
ERR594315,55,6011253360,29758680,deep chlorophyll maximum layer (ENVO:xxxxxxxx),39.0609,5.9422,GIRUS_NUC-dry_W0.22-1.6,TARA_009,0.22,1.6,16.151933,MS
ERR599092,60,33728405941,169336043,deep chlorophyll maximum layer (ENVO:xxxxxxxx),35.7528,14.2765,BACT_NUC-DNA(100L)_W0.22-1.6,TARA_018,0.22,1.6,18.36839,MS
ERR594358,5,8856890136,47508906,surface water layer (ENVO:00002042),35.759,14.2574,VIRUS_NUC-Fe_W<-0.22,TARA_018,<,0.22,21.4395,MS
ERR598993,5,35650309194,179380493,surface water layer (ENVO:00002042),35.759,14.2574,BACT_NUC-DNA(100L)_W0.22-1.6,TARA_018,0.22,1.6,21.4395,MS
ERR599073,60,6883254794,34674548,deep chlorophyll maximum layer (ENVO:xxxxxxxx),35.7528,14.2765,BACT_NUC-DNA(100L)_W0.22-1.6,TARA_018,0.22,1.6,18.36839,MS
ERR599140,5,5417029863,28107661,surface water layer (ENVO:00002042),35.759,14.2574,BACT_NUC-DNA(100L)_W0.22-1.6,TARA_018,0.22,1.6,21.4395,MS
ERR594352,60,7879049008,41756356,deep chlorophyll maximum layer (ENVO:xxxxxxxx),35.7528,14.2765,VIRUS_NUC-Fe_W<-0.22,TARA_018,<,0.22,18.36839,MS
ERR594406,5,5558644064,28580118,surface water layer (ENVO:00002042),39.8386,17.4155,VIRUS_NUC-Fe_W<-0.22,TARA_022,<,0.22,17.041483,MS
ERR594378,5,5627611449,28993123,surface water layer (ENVO:00002042),39.8386,17.4155,VIRUS_NUC-Fe_W<-0.22,TARA_022,<,0.22,17.041483,MS
ERR315861,5,7931520724,37310366,surface water (ENVO:00002042) layer,42.2038,17.715,BACT_NUC-DNA(100L)_W0.22-1.6,TARA_023,0.22,1.6,17.321979,MS
ERR315860,55,7753072838,36515588,deep chlorophyll maximum layer (ENVO:xxxxxxxx),42.1735,17.7252,BACT_NUC-DNA(100L)_W0.22-1.6,TARA_023,0.22,1.6,15.194062,MS
ERR594408,55,8066922311,41387025,deep chlorophyll maximum layer (ENVO:xxxxxxxx),42.1735,17.7252,VIRUS_NUC-DNA-Fe(20L)_W<-0.22,TARA_023,<,0.22,15.194062,MS
ERR315858,5,7906510735,37472639,surface water (ENVO:00002042) layer,42.2038,17.715,BACT_NUC-DNA(100L)_W0.22-1.6,TARA_023,0.22,1.6,17.321979,MS
ERR315859,55,7891005542,37184688,deep chlorophyll maximum layer (ENVO:xxxxxxxx),42.1735,17.7252,BACT_NUC-DNA(100L)_W0.22-1.6,TARA_023,0.22,1.6,15.194062,MS
ERR594396,5,10151737699,52114733,surface water layer (ENVO:00002042),39.3888,19.3905,VIRUS_NUC-Fe_W<-0.22,TARA_025,<,0.22,18.342533,MS
ERR599094,50,32476946351,164146857,deep chlorophyll maximum layer (ENVO:xxxxxxxx),39.3991,19.3997,BACT_NUC-DNA(100L)_W0.22-1.6,TARA_025,0.22,1.6,15.161277,MS
ERR599153,50,5775019368,29167051,deep chlorophyll maximum layer (ENVO:xxxxxxxx),39.3991,19.3997,BACT_NUC-DNA(100L)_W0.22-1.6,TARA_025,0.22,1.6,15.161277,MS
ERR594375,50,10130406202,52556395,deep chlorophyll maximum layer (ENVO:xxxxxxxx),39.3991,19.3997,VIRUS_NUC-Fe_W<-0.22,TARA_025,<,0.22,15.161277,MS
