RUN,Chlorophyll,Depth,ENA-SAMPLE,Environment (Feature),Nitrate Sensor,Oxygen Sensor,Salinity Sensor,Sampling Station,Temperature
ERR315857,0.0812,5,ERS477931,surface water (ENVO:00002042) layer,99999,99999,37.4911,TARA_007,23.82575
ERR315856,0.553274,42,ERS477953,deep chlorophyll maximum layer (ENVO:xxxxxxxx),99999,99999,99999,TARA_007,17.36746
ERR315861,0.0419,5,ERS477979,surface water (ENVO:00002042) layer,99999,221.457208,38.201396,TARA_023,17.321979
ERR315858,0.0419,5,ERS477979,surface water (ENVO:00002042) layer,99999,221.457208,38.201396,TARA_023,17.321979
ERR315860,0.0599,55,ERS477998,deep chlorophyll maximum layer (ENVO:xxxxxxxx),99999,224.786708,38.472729,TARA_023,15.194062
ERR315859,0.0599,55,ERS477998,deep chlorophyll maximum layer (ENVO:xxxxxxxx),99999,224.786708,38.472729,TARA_023,15.194062
ERR594408,0.0599,55,ERS478007,deep chlorophyll maximum layer (ENVO:xxxxxxxx),99999,224.786708,38.472729,TARA_023,15.194062
ERR315863,0.01585,5,ERS478017,surface water (ENVO:00002042) layer,-0.447961,207.738375,39.425208,TARA_030,20.460612
ERR315862,0.01585,5,ERS478017,surface water (ENVO:00002042) layer,-0.447961,207.738375,39.425208,TARA_030,20.460612
ERR318620,0.042495,70,ERS478040,deep chlorophyll maximum layer (ENVO:xxxxxxxx),0.254406,218.132538,39.255952,TARA_030,18.979535
ERR318621,0.042495,70,ERS478040,deep chlorophyll maximum layer (ENVO:xxxxxxxx),0.254406,218.132538,39.255952,TARA_030,18.979535
ERR318619,0.042495,70,ERS478040,deep chlorophyll maximum layer (ENVO:xxxxxxxx),0.254406,218.132538,39.255952,TARA_030,18.979535
ERR318618,0.042495,70,ERS478040,deep chlorophyll maximum layer (ENVO:xxxxxxxx),0.254406,218.132538,39.255952,TARA_030,18.979535
ERR594405,0.042495,70,ERS478052,deep chlorophyll maximum layer (ENVO:xxxxxxxx),0.254406,218.132538,39.255952,TARA_030,18.979535
ERR599003,0.078,5,ERS487899,surface water layer (ENVO:00002042),99999,99999,36.6324,TARA_004,20.5251
ERR598955,0.078,5,ERS487899,surface water layer (ENVO:00002042),99999,99999,36.6324,TARA_004,20.5251
ERR599095,0.090621,40,ERS487936,deep chlorophyll maximum layer (ENVO:xxxxxxxx),99999,99999,36.63313,TARA_004,20.408907
ERR598950,0.090621,40,ERS487936,deep chlorophyll maximum layer (ENVO:xxxxxxxx),99999,99999,36.63313,TARA_004,20.408907
ERR594288,-0.0247,5,ERS488119,surface water layer (ENVO:00002042),99999,99999,37.9751,TARA_009,23.8526
ERR594316,-0.0247,5,ERS488119,surface water layer (ENVO:00002042),99999,99999,37.9751,TARA_009,23.8526
ERR594317,-0.0247,5,ERS488119,surface water layer (ENVO:00002042),99999,99999,37.9751,TARA_009,23.8526
ERR594329,0.434367,55,ERS488147,deep chlorophyll maximum layer (ENVO:xxxxxxxx),99999,99999,37.8232,TARA_009,16.151933
ERR594315,0.434367,55,ERS488147,deep chlorophyll maximum layer (ENVO:xxxxxxxx),99999,99999,37.8232,TARA_009,16.151933
ERR598993,0.048898,5,ERS488330,surface water layer (ENVO:00002042),99999,207.791417,37.89245,TARA_018,21.4395
ERR599140,0.048898,5,ERS488330,surface water layer (ENVO:00002042),99999,207.791417,37.89245,TARA_018,21.4395
ERR594358,0.048898,5,ERS488340,surface water layer (ENVO:00002042),99999,207.791417,37.89245,TARA_018,21.4395
ERR599092,0.132494,60,ERS488346,deep chlorophyll maximum layer (ENVO:xxxxxxxx),99999,237.8893,37.89241,TARA_018,18.36839
ERR599073,0.132494,60,ERS488346,deep chlorophyll maximum layer (ENVO:xxxxxxxx),99999,237.8893,37.89241,TARA_018,18.36839
ERR594352,0.132494,60,ERS488354,deep chlorophyll maximum layer (ENVO:xxxxxxxx),99999,237.8893,37.89241,TARA_018,18.36839
ERR594406,0.180911,5,ERS488448,surface water layer (ENVO:00002042),99999,220.927083,37.759667,TARA_022,17.041483
ERR594378,0.180911,5,ERS488448,surface water layer (ENVO:00002042),99999,220.927083,37.759667,TARA_022,17.041483
ERR598951,0.121845,5,ERS488486,surface water layer (ENVO:00002042),99999,218.016833,38.182917,TARA_025,18.342533
ERR599043,0.121845,5,ERS488486,surface water layer (ENVO:00002042),99999,218.016833,38.182917,TARA_025,18.342533
ERR594396,0.121845,5,ERS488499,surface water layer (ENVO:00002042),99999,218.016833,38.182917,TARA_025,18.342533
ERR599094,0.201016,50,ERS488509,deep chlorophyll maximum layer (ENVO:xxxxxxxx),99999,229.547682,38.475705,TARA_025,15.161277
ERR599153,0.201016,50,ERS488509,deep chlorophyll maximum layer (ENVO:xxxxxxxx),99999,229.547682,38.475705,TARA_025,15.161277
ERR594375,0.201016,50,ERS488518,deep chlorophyll maximum layer (ENVO:xxxxxxxx),99999,229.547682,38.475705,TARA_025,15.161277
ERR599106,0.048898,5,ERS488545,surface water layer (ENVO:00002042),-0.137284,188.763583,39.981867,TARA_031,25.0621
ERR598969,0.048898,5,ERS488545,surface water layer (ENVO:00002042),-0.137284,188.763583,39.981867,TARA_031,25.0621
ERR594410,0.048898,5,ERS488558,surface water layer (ENVO:00002042),-0.137284,188.763583,39.981867,TARA_031,25.0621
ERR594401,0.048898,5,ERS488558,surface water layer (ENVO:00002042),-0.137284,188.763583,39.981867,TARA_031,25.0621
ERR599155,0,5,ERS488569,surface water layer (ENVO:00002042),-0.541919,188.416583,39.74725,TARA_032,25.824383
ERR599116,0,5,ERS488569,surface water layer (ENVO:00002042),-0.541919,188.416583,39.74725,TARA_032,25.824383
ERR599041,0,5,ERS488569,surface water layer (ENVO:00002042),-0.541919,188.416583,39.74725,TARA_032,25.824383
ERR594393,0,5,ERS488589,surface water layer (ENVO:00002042),-0.541919,188.416583,39.74725,TARA_032,25.824383
ERR599097,0.224444,80,ERS488599,deep chlorophyll maximum layer (ENVO:xxxxxxxx),1.201064,179.968,40.196433,TARA_032,26.050367
ERR599061,0.224444,80,ERS488599,deep chlorophyll maximum layer (ENVO:xxxxxxxx),1.201064,179.968,40.196433,TARA_032,26.050367
ERR594360,0.224444,80,ERS488613,deep chlorophyll maximum layer (ENVO:xxxxxxxx),1.201064,179.968,40.196433,TARA_032,26.050367
ERR599134,0.163228,5,ERS488621,surface water layer (ENVO:00002042),-0.000271,182.812167,38.937417,TARA_033,27.329517
ERR599049,0.163228,5,ERS488621,surface water layer (ENVO:00002042),-0.000271,182.812167,38.937417,TARA_033,27.329517
ERR598991,0.186697,5,ERS488649,surface water layer (ENVO:00002042),-0.927087,184.061167,38.646858,TARA_034,27.59865
