EilatYam
Date,Time,Temp,Humidity,Absolute,Barometric,Solar,Wind,Wind,Wind,Level,Temp,PAR,UV
,,2m,,Humidity,Pressure,Radiation,Dir,Speed,Gusts,,Water,,
,,°C,%,g/m³,mb,W/m²,deg,m/s,m/s,cm,°C,micromol/m²/sec,micromol/m²/sec
22/10/12,01:00,-,-,-,-,-,-,-,-,-,-,-,-
22/10/12,02:00,-,-,-,-,-,-,-,-,-,-,-,-
22/10/12,03:00,-,-,-,-,-,-,-,-,-,-,-,-
22/10/12,04:00,-,-,-,-,-,-,-,-,-,-,-,-
22/10/12,05:00,24.8,49,11.1,1011.8,1,4,1.5,1.9,-,25.7,2,0
22/10/12,06:00,24.8,48,11,1012.3,2,12,1.9,3.1,-,25.7,6,0
22/10/12,07:00,24.1,57,12.5,1012.9,84,32,2.6,3.8,-,25.7,168,11
22/10/12,08:00,25.4,48,11.2,1013.4,277,18,3.4,5,-,25.7,556,32
22/10/12,09:00,26.1,44,10.8,1013.4,462,30,4.4,6.4,-,25.7,939,58
22/10/12,10:00,26.4,47,11.7,1013.2,616,40,4,5.1,-,25.8,1266,86
22/10/12,11:00,26.8,48,12.1,1012.4,714,55,2.8,4.5,-,25.9,1476,108
22/10/12,12:00,27.3,47,12.3,1011.5,743,61,1.1,1.9,-,26,1546,116
22/10/12,13:00,27.8,43,11.6,1010.6,483,143,.4,1.2,-,26.1,1028,80
22/10/12,14:00,27.4,44,11.6,1010.3,192,205,1.2,1.7,-,26.1,426,38
22/10/12,15:00,27.9,40,10.8,1010.3,286,207,1.4,2.1,-,26.1,620,45
22/10/12,16:00,27.6,44,11.8,1010.3,47,216,1.3,2.4,-,26.2,115,11
22/10/12,17:00,27.8,48,12.9,1010.5,3,169,.3,1.1,-,26.1,12,1
22/10/12,18:00,28.5,41,11.5,1010.9,0,239,1.1,3.7,-,26,0,0
22/10/12,19:00,27.4,55,14.4,1011.2,0,45,1.1,3.1,-,25.9,0,0
22/10/12,20:00,27.4,50,13.1,1011.5,0,275,.3,1.9,-,26,0,0
22/10/12,21:00,27.9,38,10.4,1011.9,2,310,2.4,5.5,-,26,2,0
22/10/12,22:00,26.9,54,13.9,1012.4,1,31,1.8,3.6,-,25.9,2,0
22/10/12,23:00,26.6,47,11.8,1012.4,2,2,1.4,4.1,-,25.8,2,0
22/10/12,24:00,26,54,13,1012.5,2,4,2.5,5.5,-,25.8,2,0
23/10/12,01:00,24.8,60,13.6,1012.6,2,31,3.2,5.6,-,25.8,2,0
23/10/12,02:00,24.2,59,12.9,1012.7,2,14,2.1,3.7,-,25.8,2,0
23/10/12,03:00,23.8,60,12.8,1012.6,2,18,1.6,2.8,-,25.8,2,0
23/10/12,04:00,23.5,63,13.4,1012.8,0,6,1.3,3,-,25.8,1,0
23/10/12,05:00,23.7,68,14.4,1013,0,22,1.8,3.6,-,25.8,0,0
23/10/12,06:00,23.4,68,14.4,1013.3,1,13,1.8,3.4,-,25.8,5,0
23/10/12,07:00,23.7,67,14.4,1013.6,80,20,1.9,2.9,-,25.8,163,10
23/10/12,08:00,24.4,65,14.5,1014.1,273,28,3.8,5.9,-,25.8,545,30
23/10/12,09:00,25.2,62,14.5,1014.1,463,30,4.4,6.4,-,25.9,950,58
23/10/12,10:00,25.5,62,14.8,1014.1,610,40,5.6,7.1,-,25.9,1274,88
23/10/12,11:00,26.4,59,14.7,1013.6,712,43,5.2,6.6,-,26,1485,109
23/10/12,12:00,27.4,55,14.5,1012.9,746,46,4.1,5.5,-,26.1,1556,118
23/10/12,13:00,28.2,51,14,1012.2,717,50,3.3,4.5,-,26.2,1498,113
23/10/12,14:00,29,45,12.9,1011.6,606,73,2,3.6,-,26.2,1272,92
23/10/12,15:00,29.4,41,12.1,1011.4,442,118,1.6,4.2,-,26.4,934,62
23/10/12,16:00,28.5,51,14.1,1011.2,234,209,2.2,4.7,-,26.4,492,29
23/10/12,17:00,29.2,38,11.1,1011,43,212,1.2,2.2,-,26.4,106,8
23/10/12,18:00,29,38,10.9,1011.1,0,215,1,1.6,-,26.4,1,0
23/10/12,19:00,29.7,32,9.6,1011.6,0,281,1.5,4.9,-,26.3,0,0
23/10/12,20:00,30.1,24,7.2,1011.7,0,321,3.4,5.9,-,26.2,0,0
23/10/12,21:00,29.2,25,7.2,1012.1,0,353,1.9,5.1,-,26.1,0,0
23/10/12,22:00,27.8,39,10.4,1012.1,0,25,3,10.4,-,26.1,0,0
23/10/12,23:00,27.6,39,10.3,1012.3,0,13,2.7,5.8,-,26.1,0,0
23/10/12,24:00,26.4,48,11.8,1012.2,0,34,4.8,7.5,-,26.1,0,0
