"ENA-SAMPLE","Temp","Region","Depth","Salinity","Nitrates","NO2NO3","Chl","NO2","Oxygen","PO4","MGII"
"ERS477931","23.82575","MS","5","34.9","20.3","24.4","0.0812","1.2","103.9","1.86","4.06215915795"
"ERS477953","17.36746","MS","42","35.8","4.6","6.2","0.553274","0.14","200.2","0.68","8.04653877941"
"ERS477979","17.321979","MS","5","35","6.7","8.2","0.0419","0.31","190.8","0.75","4.85038371697"
"ERS477998","15.194062","MS","55","35.1","10.9","10.7","0.0599","0.41","144.6","0.93","12.1065308571"
"ERS478007","15.194062","MS","55","34.8","34.6","38.1","0.0599","0","1.3","2.8","0.0844397967319"
"ERS478017","20.460612","MS","5","36.1","2.3","2.8","0.01585","0.1","179.9","0.59","1.10435070421"
"ERS478040","18.979535","MS","70","34.3","29.2","31.46","0.042495","0.01","199.2","2.15","2.19377301219"
"ERS478052","18.979535","MS","70","36.5","-0.9","0.03","0.042495","0.01","202.2","0.14","0.0633945102081"
"ERS487899","20.5251","NAO","5","34.8","21.1","23.9","0.078","0.03","0.7","2.68","11.6037936175"
"ERS487936","20.408907","NAO","40","35.5","1.5","5.7","0.090621","0.16","216.8","0.78","9.53982521573"
"ERS488119","23.8526","MS","5","34.7","11.7","12.6","-0.0247","0.32","206","1","3.74460341131"
"ERS488147","16.151933","MS","55","34.7","40","39.2","0.434367","0.01","4.4","2.85","26.5508267345"
"ERS488330","21.4395","MS","5","34.8","33.9","35.3","0.048898","0.02","2.5","2.58","25.4853333538"
"ERS488340","21.4395","MS","5","33.4","1.2","0.9","0.048898","0.04","198.6","0.27","0.142959384555"
"ERS488346","18.36839","MS","60","34.3","3.9","4.6","0.132494","0.11","203.1","0.5","34.5679253479"
"ERS488354","18.36839","MS","60","34.3","3.9","4.6","0.132494","0.11","203.1","0.5","0.87711722965"
"ERS488448","17.041483","MS","5","33.4","1.2","0.9","0.180911","0.04","198.6","0.27","0.14182901884"
"ERS488486","18.342533","MS","5","36","2.6","2.68","0.121845","0.04","208.9","0.5","0.796054205815"
"ERS488499","18.342533","MS","5","35.9","0.5","0.02","0.121845","0","207.1","0.11","0.06149266454"
"ERS488509","15.161277","MS","50","35.7","1.4","0.93","0.201016","0.2","211.5","0.44","9.06454568831"
"ERS488518","15.161277","MS","50","34.7","30.4","34.61","0.201016","0.01","3.2","2.73","0.496093987871"
"ERS488545","25.0621","RS","5","36.1","2.3","2.8","0.048898","0.1","179.9","0.59","95.5048137434"
"ERS488558","25.0621","RS","5","36.1","2.3","2.8","0.048898","0.1","179.9","0.59","0.890366474277"
"ERS488569","25.824383","RS","5","34.6","42.5","34.63","0","0.02","38.1","2.43","122.378336012"
"ERS488589","25.824383","RS","5","34.6","42.5","34.63","0","0.02","38.1","2.43","0.424651137196"
"ERS488599","26.050367","RS","80","36.1","2.3","2.8","0.224444","0.1","179.9","0.59","69.8790656823"
"ERS488613","26.050367","RS","80","34.6","42.5","34.63","0.224444","0.02","38.1","2.43","0.102112452062"
"ERS488621","27.329517","RS","5","34.6","42.5","34.63","0.163228","0.02","38.1","2.43","67.7874902193"
"ERS488649","27.59865","RS","5","35.4","4","5.46","0.186697","0.12","186.2","0.57","111.377752266"
"ERS488658","27.59865","RS","5","35.4","4","5.46","0.186697","0.12","186.2","0.57","4.66949634144"
"ERS488673","27.59865","RS","5","35.4","3.9","4.9","0.186697","0.14","189.8","0.53","0.383050800285"
"ERS488685","27.589917","RS","60","35.4","4","5.46","0.181406","0.12","186.2","0.57","12.4689474897"
"ERS488701","27.589917","RS","60","35.4","4","5.46","0.181406","0.12","186.2","0.57","0.320445858303"
"ERS488714","25.581433","IO","5","35.9","5","5.43","0.129697","1.47","161.3","0.66","17.5615583453"
"ERS488722","25.581433","IO","5","35.9","5","5.43","0.129697","1.47","161.3","0.66","1.3327198345"
"ERS488737","25.581433","IO","5","35.9","5","5.43","0.129697","1.47","161.3","0.66","0.215307961847"
"ERS488747","25.37395","IO","17","35.4","3.9","4.9","0.353707","0.14","189.8","0.53","26.7166014801"
"ERS488757","25.37395","IO","17","35.4","3.9","4.9","0.353707","0.14","189.8","0.53","0.202021205476"
"ERS488769","12.066048","IO","600","35.4","5.1","6.18","0.005649","0.16","190.7","0.63","1.8684219955"
"ERS488773","12.066048","IO","600","35.9","5","5.43","0.005649","1.47","161.3","0.66","1.09480606803"
"ERS488799","26.2314","IO","5","35.8","4.5","1.21","0.161808","0.35","175.9","0.49","40.9926323553"
"ERS488803","26.2314","IO","5","35.8","4.5","1.21","0.161808","0.35","175.9","0.49","1.27931421095"
"ERS488813","26.2314","IO","5","35.8","4.5","1.21","0.161808","0.35","175.9","0.49","0.203020676082"
"ERS488830","25.494408","IO","25","35.4","5.1","6.18","0.604752","0.16","190.7","0.63","33.7012905116"
"ERS488836","25.494408","IO","25","35.4","5.1","6.18","0.604752","0.16","190.7","0.63","0.214118836589"
