RUN,AMODIS:PAR8d,Chl_a [ugr/l],Chlorophyll,Date,Depth,ENA-SAMPLE,Einsteins/m-2/d-1,Environment (Feature),Lyapunov_exp.,NO2 [umol/L],NO2NO3 [umol/L],Nitrate Sensor,Nitrates [umol/L],Okubo-Weiss,Oxygen Sensor,Oxygen [umol/kg],PO4 [umol/L],POC [ugr/l],Region,SI [umol/L],Salinity Sensor,Salinity [PSU],Sample label [TARA_station#_environmental-feature_size-fraction],Sampling Station,SiOH4 [umol/l],Station,Temperature,grad_SST_adv,Crenarchaeota,Cyanophage,Euryarchaeota,Halovirus,MGII,MGII_virus,Prochlorococcus,SAR11,SAR116,SAR116_phage,SAR11_Phage,Synechococcus
ERR315856,41.8,,0.553274,15/04/2011 13:10,42.0,ERS477953,-0.02,deep chlorophyll maximum layer (ENVO:xxxxxxxx),0.34,0.14,6.2,,4.6,0.05,,200.2,0.68,,MS,1.2,,35.8,TARA_007_DCM_0.22-1.6,TARA_007,,TARA_007,17.36746,8.97,0.034478689246,124.595755625,0.06811723275,0.0,8.04653877941,4.06200794375,46.2753787008,82.2377499003,0.421800049238,0.857149493242,3.07533188984,14.2380804992
ERR315857,44.4,,0.0812,22/04/2011 19:51,5.0,ERS477931,0.0,surface water (ENVO:00002042) layer,1.8,1.2,24.4,,20.3,0.04,,103.9,1.86,,MS,10.5,37.4911,34.9,TARA_007_SRF_0.22-1.6,TARA_007,,TARA_007,23.82575,3.75,0.0334019639631,29.4449670575,0.0557744160687,0.0,4.06215915795,0.217681188425,24.0269807146,105.268346051,0.349505496805,0.318312060593,0.502648021265,11.4884288116
ERR315858,47.2,,0.0419,21/05/2011 12:37,5.0,ERS477979,0.02,surface water (ENVO:00002042) layer,0.43,0.31,8.2,,6.7,0.0,221.457208,190.8,0.75,,MS,3.9,38.201396,35.0,TARA_023_SRF_0.22-1.6,TARA_023,,TARA_023,17.321979,7.03,0.0648351703591,0.900381138015,0.0352652447473,0.0,2.47818706019,0.0344077285621,12.6775936774,72.0317425054,0.377328220707,0.165939255524,2.51660947932,5.64949465228
ERR315859,46.5,,0.0599,21/05/2011 23:21,55.0,ERS477998,0.02,deep chlorophyll maximum layer (ENVO:xxxxxxxx),0.43,0.41,10.7,,10.9,0.0,224.786708,144.6,0.93,,MS,6.0,38.472729,35.1,TARA_023_DCM_0.22-1.6,TARA_023,,TARA_023,15.194062,7.03,0.243522866656,4.14160473133,0.0223731638887,0.0,6.05906668622,0.0992011547717,40.0433304256,68.3922311715,0.312065769898,0.843944641456,7.76277634527,8.84809880717
ERR315860,46.5,,0.0599,21/05/2011 23:21,55.0,ERS477998,0.02,deep chlorophyll maximum layer (ENVO:xxxxxxxx),0.43,0.41,10.7,,10.9,0.0,224.786708,144.6,0.93,,MS,6.0,38.472729,35.1,TARA_023_DCM_0.22-1.6,TARA_023,,TARA_023,15.194062,7.03,0.247455158792,4.06033949911,0.0344226542319,0.0,6.04746417084,0.115972034894,39.9970565408,68.0851602209,0.311158905107,0.865383846482,7.66817561963,9.5227903297
ERR315861,47.2,,0.0419,21/05/2011 12:37,5.0,ERS477979,0.02,surface water (ENVO:00002042) layer,0.43,0.31,8.2,,6.7,0.0,221.457208,190.8,0.75,,MS,3.9,38.201396,35.0,TARA_023_SRF_0.22-1.6,TARA_023,,TARA_023,17.321979,7.03,0.0634191696376,0.873569759185,0.0269306390163,0.0,2.37219665678,0.0315030206066,12.7610987505,72.4451625949,0.369467344807,0.176407226394,2.45727450613,5.93035309174
ERR315862,39.6,,0.01585,28/07/2011 19:36,5.0,ERS478017,0.0,surface water (ENVO:00002042) layer,,0.1,2.8,-0.447961,2.3,0.02,207.738375,179.9,0.59,,MS,1.8,39.425208,36.1,TARA_030_SRF_0.22-1.6,TARA_030,,TARA_030,20.460612,8.42,0.00307168690315,0.592792464859,0.0126916758987,0.0,0.187225031994,0.011393933354,9.07072468002,67.1171398696,0.0579142313933,0.0810486438257,1.51286587931,0.216163731188
ERR315863,39.6,,0.01585,28/07/2011 19:36,5.0,ERS478017,0.0,surface water (ENVO:00002042) layer,,0.1,2.8,-0.447961,2.3,0.02,207.738375,179.9,0.59,,MS,1.8,39.425208,36.1,TARA_030_SRF_0.22-1.6,TARA_030,,TARA_030,20.460612,8.42,0.0066748908493,3.01120891852,0.0594661802826,0.0,0.917125672211,0.0832209177589,9.85127671433,69.0178164356,0.238661439027,0.278542712248,5.05283641045,2.9681580716
ERR318618,24.5,,0.042495,15/06/2011 22:14,70.0,ERS478040,-0.06,deep chlorophyll maximum layer (ENVO:xxxxxxxx),0.44,0.01,31.46,0.254406,29.2,0.03,218.132538,199.2,2.15,,MS,20.6,39.255952,34.3,TARA_030_DCM_0.22-1.6,TARA_030,,TARA_030,18.979535,17.22,0.00395261580152,3.47679932104,0.0260172606072,0.0,0.894095880243,0.218502479459,74.8772737335,66.1153435937,0.144575488316,0.110440856919,3.6294480286,5.2786619241
ERR318619,24.5,,0.042495,15/06/2011 22:14,70.0,ERS478040,-0.06,deep chlorophyll maximum layer (ENVO:xxxxxxxx),0.44,0.01,31.46,0.254406,29.2,0.03,218.132538,199.2,2.15,,MS,20.6,39.255952,34.3,TARA_030_DCM_0.22-1.6,TARA_030,,TARA_030,18.979535,17.22,0.00453716752797,2.23196787536,0.0747251734428,0.0,0.215997649907,0.0350045750333,4.36956075312,13.658188675,0.101468177696,0.0937939706867,0.872838688106,0.771335640079
