ENA-SAMPLE,Chlorophyll,Temperature,NO2 [umol/L],Oxygen [umol/kg],PO4 [umol/L],MGII_virus,Cyanophage,Depth,Salinity [PSU],SAR116,Nitrates [umol/L],MGII,SAR11,NO2NO3 [umol/L],Prochlorococcus,Synechococcus,Region,Euryarchaeota,Crenarchaeota,Cyanobacteria
ERS477931,0.0812,23.82575,1.2,103.9,1.86,0.217681188425,29.4449670575,5.0,34.9,0.349505496805,20.3,4.06215915795,105.268346051,24.4,24.0269807146,11.4884288116,MS,0.0557744160687,0.0334019639631,35.5154095262
ERS477953,0.553274,17.36746,0.14,200.2,0.68,4.06200794375,124.595755625,42.0,35.8,0.421800049238,4.6,8.04653877941,82.2377499003,6.2,46.2753787008,14.2380804992,MS,0.06811723275,0.034478689246,60.5134592
ERS477979,0.0419,17.321979,0.31,190.8,0.75,0.0659107491687,1.7739508972,5.0,35.0,0.746795565514,6.7,4.85038371697,144.4769051,8.2,25.4386924278,11.579847744,MS,0.0621958837637,0.128254339997,37.0185401718
ERS477998,0.0599,15.194062,0.41,144.6,0.93,0.215173189666,8.20194423044,55.0,35.1,0.623224675005,10.9,12.1065308571,136.477391392,10.7,80.0403869664,18.3708891369,MS,0.0567958181206,0.490978025448,98.4112761032
ERS478007,0.0599,15.194062,0.0,1.3,2.8,9.95904885626,26.8408895495,55.0,34.8,0.00444099307606,34.6,0.0844397967319,0.0653546162953,38.1,0.0745567891513,0.0425413984292,MS,0.00146531486707,0.000258076358169,0.117098187581
ERS478017,0.01585,20.460612,0.1,179.9,0.59,0.0946148511129,3.60400138338,5.0,36.1,0.29657567042,2.3,1.10435070421,136.134956305,2.8,18.9220013943,3.18432180279,MS,0.0721578561813,0.00974657775244,22.1063231971
ERS478040,0.042495,18.979535,0.01,199.2,2.15,0.499836973546,11.4858157953,70.0,34.3,0.484329504062,29.2,2.19377301219,161.03103108,31.46,159.79982241,11.3861223979,MS,0.198228625318,0.0159535401157,171.185944808
ERS478052,0.042495,18.979535,0.01,202.2,0.14,6.96266096641,31.9920057208,70.0,36.5,0.0384476854515,-0.9,0.0633945102081,0.160337484938,0.03,0.0815930407458,0.0506903656881,MS,0.0164297832124,0.000707070140039,0.132283406434
ERS487899,0.078,20.5251,0.03,0.7,2.68,0.186356008429,68.3593556114,5.0,34.8,0.427241948668,21.1,11.6037936175,146.304834725,23.9,203.013390992,11.4909240234,NAO,0.061065212543,0.010137726331,214.504315016
ERS487936,0.090621,20.408907,0.16,216.8,0.78,0.190542377725,55.0937624794,40.0,35.5,0.269803432569,1.5,9.53982521573,153.740193875,5.7,128.794275098,5.85350032813,NAO,0.0991522891134,0.419951804673,134.647775426
