qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	name	start	end	query_contig	subject_contig	subject_start	subject_end
gene_100_contig_155688	gene_33_contig_154566	55.326	291	127	3	9	297	5	294	3.459999999999999e-114	329.0	gene_33_contig_154566	43450	44412	SAMEA2621085_65	SAMEA2619923_17	43450	44412
gene_100_contig_155688	gene_33_contig_154566	55.326	291	127	3	9	297	5	294	3.459999999999999e-114	329.0	gene_33_contig_154566	43450	44412	SAMEA2621085_65	SAMEA2619923_17	43450	44412
gene_19_SAMEA2621085_65	gene_33_contig_154566	72.517	302	82	1	20	320	2	303	6.879999999999997e-162	451.0	gene_33_contig_154566	43450	44412	SAMEA2621085_65	SAMEA2619923_17	43450	44412
gene_94_SAMEA2621151_40	gene_33_contig_154566	62.145	317	116	4	13	326	2	317	1.5999999999999996e-136	386.0	gene_33_contig_154566	43450	44412	SAMEA2621085_65	SAMEA2619923_17	43450	44412
gene_94_SAMEA2621151_40	gene_33_contig_154566	62.145	317	116	4	13	326	2	317	1.5999999999999996e-136	386.0	gene_33_contig_154566	43450	44412	SAMEA2621085_65	SAMEA2619923_17	43450	44412
gene_102_contig_155688	gene_34_contig_154566	70.222	225	67	0	14	238	13	237	5.079999999999998e-127	355.0	gene_34_contig_154566	44693	45406	SAMEA2621085_65	SAMEA2619923_17	44693	45406
gene_71_contig_156409	gene_34_contig_154566	55.702	228	96	3	13	238	12	236	3.739999999999999e-95	275.0	gene_34_contig_154566	44693	45406	SAMEA2621085_65	SAMEA2619923_17	44693	45406
gene_102_contig_155688	gene_34_contig_154566	70.222	225	67	0	14	238	13	237	5.079999999999998e-127	355.0	gene_34_contig_154566	44693	45406	SAMEA2621085_65	SAMEA2619923_17	44693	45406
gene_71_contig_156409	gene_34_contig_154566	55.702	228	96	3	13	238	12	236	3.739999999999999e-95	275.0	gene_34_contig_154566	44693	45406	SAMEA2621085_65	SAMEA2619923_17	44693	45406
gene_15_SAMEA2619923_17	gene_34_contig_154566	66.222	225	76	0	16	240	13	237	3.0299999999999994e-121	341.0	gene_34_contig_154566	44693	45406	SAMEA2621085_65	SAMEA2619923_17	44693	45406
gene_17_SAMEA2621085_65	gene_34_contig_154566	68.142	226	72	0	12	237	12	237	1.5899999999999998e-124	349.0	gene_34_contig_154566	44693	45406	SAMEA2621085_65	SAMEA2619923_17	44693	45406
gene_95_SAMEA2621151_40	gene_34_contig_154566	70.982	224	63	1	13	234	12	235	1.8899999999999997e-125	351.0	gene_34_contig_154566	44693	45406	SAMEA2621085_65	SAMEA2619923_17	44693	45406
gene_95_SAMEA2621151_40	gene_34_contig_154566	70.982	224	63	1	13	234	12	235	1.8899999999999997e-125	351.0	gene_34_contig_154566	44693	45406	SAMEA2621085_65	SAMEA2619923_17	44693	45406
gene_103_contig_155688	gene_35_contig_154566	56.25	80	35	0	1	80	1	80	2.0600000000000002e-26	89.0	gene_35_contig_154566	45416	45673	SAMEA2621085_65	SAMEA2619923_17	45416	45673
gene_103_contig_155688	gene_35_contig_154566	56.25	80	35	0	1	80	1	80	2.0600000000000002e-26	89.0	gene_35_contig_154566	45416	45673	SAMEA2621085_65	SAMEA2619923_17	45416	45673
gene_14_SAMEA2619923_17	gene_35_contig_154566	54.321000000000005	81	33	1	1	81	1	77	1.01e-26	89.7	gene_35_contig_154566	45416	45673	SAMEA2621085_65	SAMEA2619923_17	45416	45673
gene_16_SAMEA2621085_65	gene_35_contig_154566	68.235	85	27	0	1	85	1	85	3.26e-41	126.0	gene_35_contig_154566	45416	45673	SAMEA2621085_65	SAMEA2619923_17	45416	45673
gene_96_SAMEA2621151_40	gene_35_contig_154566	67.949	78	25	0	13	90	3	80	4.889999999999999e-37	116.0	gene_35_contig_154566	45416	45673	SAMEA2621085_65	SAMEA2619923_17	45416	45673
gene_96_SAMEA2621151_40	gene_35_contig_154566	67.949	78	25	0	13	90	3	80	4.889999999999999e-37	116.0	gene_35_contig_154566	45416	45673	SAMEA2621085_65	SAMEA2619923_17	45416	45673
gene_104_contig_155688	gene_36_contig_154566	54.601000000000006	163	68	3	10	168	28	188	6.6e-55	169.0	gene_36_contig_154566	45673	46365	SAMEA2621085_65	SAMEA2619923_17	45673	46365
gene_104_contig_155688	gene_36_contig_154566	54.601000000000006	163	68	3	10	168	28	188	6.6e-55	169.0	gene_36_contig_154566	45673	46365	SAMEA2621085_65	SAMEA2619923_17	45673	46365
gene_13_SAMEA2619923_17	gene_36_contig_154566	57.037	135	55	1	4	135	20	154	2.96e-50	159.0	gene_36_contig_154566	45673	46365	SAMEA2621085_65	SAMEA2619923_17	45673	46365
