name,start,end,strand,orf_annotation,conserved_proteins,col,gene_type,cex,lty,lwd,pch,chr
gene_1_contig_155773,1,78,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_155773
gene_2_contig_155773,322,954,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_155773
gene_3_contig_155773,1050,1292,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_155773
gene_4_contig_155773,1835,2329,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_155773
gene_5_contig_155773,2356,2565,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_155773
gene_6_contig_155773,2818,3045,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_155773
gene_7_contig_155773,3207,3515,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_155773
gene_8_contig_155773,3493,3735,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_155773
gene_9_contig_155773,3732,4022,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_155773
gene_10_contig_155773,4019,4228,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_155773
gene_11_contig_155773,4313,4621,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_155773
gene_12_contig_155773,4614,4913,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_155773
gene_13_contig_155773,4898,5314,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_155773
gene_14_contig_155773,5413,5598,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_155773
gene_15_contig_155773,5648,5818,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_155773
gene_16_contig_155773,5822,6061,+,Domain of Unknown Function with PDB structure (DUF3860). A protein family created to cover PDB:2OD5. 2OD5 is a hypothetical protein (JCVI_PEP_1096688149193) from an environmental metagenome (unidentified marine microbe).,,grey35,arrows,1,1,1,8,contig_155773
gene_17_contig_155773,6087,7979,+,ribonucleoside-triphosphate reductase,,whitesmoke,arrows,1,1,1,8,contig_155773
gene_18_contig_155773,7969,8199,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_155773
gene_19_contig_155773,8181,8393,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_155773
gene_20_contig_155773,8383,8610,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_155773
gene_21_contig_155773,8607,8750,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_155773
gene_22_contig_155773,8747,10150,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_155773
gene_23_contig_155773,10188,10727,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_155773
gene_24_contig_155773,10724,11290,+,ThiF family protein,,whitesmoke,arrows,1,1,1,8,contig_155773
gene_25_contig_155773,11287,11394,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_155773
gene_26_contig_155773,11381,12109,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_155773
gene_27_contig_155773,12148,12462,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_155773
gene_28_contig_155773,12441,12731,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_155773
gene_29_contig_155773,12724,12963,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_155773
gene_30_contig_155773,12963,13157,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_155773
