name,start,end,strand,orf_annotation,conserved_proteins,col,gene_type,cex,lty,lwd,pch,chr
gene_1_SAMEA2619923_17,316,693,+,hypothetical protein,,Gray,arrows,1,1,1,8,SAMEA2619923_17
gene_2_SAMEA2619923_17,674,1261,+,hypothetical protein,,Gray,arrows,1,1,1,8,SAMEA2619923_17
gene_3_SAMEA2619923_17,1264,1521,+,hypothetical protein,,Gray,arrows,1,1,1,8,SAMEA2619923_17
gene_4_SAMEA2619923_17,1556,1930,+,hypothetical protein,,Gray,arrows,1,1,1,8,SAMEA2619923_17
gene_5_SAMEA2619923_17,1935,2471,+,hypothetical protein,,Gray,arrows,1,1,1,8,SAMEA2619923_17
gene_6_SAMEA2619923_17,2461,2616,+,hypothetical protein,,Gray,arrows,1,1,1,8,SAMEA2619923_17
gene_7_SAMEA2619923_17,2647,2970,+,hypothetical protein,,Gray,arrows,1,1,1,8,SAMEA2619923_17
gene_8_SAMEA2619923_17,3000,3173,+,hypothetical protein,,Gray,arrows,1,1,1,8,SAMEA2619923_17
gene_9_SAMEA2619923_17,3166,3429,+,hypothetical protein,,Gray,arrows,1,1,1,8,SAMEA2619923_17
gene_10_SAMEA2619923_17,3422,4267,+,TIM_phosphate_binding superfamily protein,,whitesmoke,arrows,1,1,1,8,SAMEA2619923_17
gene_11_SAMEA2619923_17,4505,5554,-,hypothetical protein,,Gray,arrows,1,1,1,8,SAMEA2619923_17
gene_12_SAMEA2619923_17,5547,7379,-,hypothetical protein,,Gray,arrows,1,1,1,8,SAMEA2619923_17
gene_13_SAMEA2619923_17,7523,8110,+,hypothetical protein,,Gray,arrows,1,1,1,8,SAMEA2619923_17
gene_14_SAMEA2619923_17,8120,8368,+,hypothetical protein,,Gray,arrows,1,1,1,8,SAMEA2619923_17
gene_15_SAMEA2619923_17,8368,9090,+,Ras-like GTPase,,whitesmoke,arrows,1,1,1,8,SAMEA2619923_17
gene_16_SAMEA2619923_17,9149,10156,+,hypothetical protein,,Gray,arrows,1,1,1,8,SAMEA2619923_17
gene_17_SAMEA2619923_17,10167,10856,+,hypothetical protein,,Gray,arrows,1,1,1,8,SAMEA2619923_17
gene_18_SAMEA2619923_17,10858,11118,+,hypothetical protein,,Gray,arrows,1,1,1,8,SAMEA2619923_17
gene_19_SAMEA2619923_17,11418,12149,+,DUF1804 Protein of unknown function (DUF1804),DUF1804 Protein of unknown function (DUF1804),grey35,arrows,1,1,1,8,SAMEA2619923_17
gene_20_SAMEA2619923_17,12151,13395,+,hypothetical protein,,Gray,arrows,1,1,1,8,SAMEA2619923_17
gene_21_SAMEA2619923_17,13395,15359,+,hypothetical protein,,Gray,arrows,1,1,1,8,SAMEA2619923_17
gene_22_SAMEA2619923_17,15352,16455,+,hypothetical protein,,Gray,arrows,1,1,1,8,SAMEA2619923_17
gene_23_SAMEA2619923_17,16459,17949,+,terminase,terminase,whitesmoke,arrows,1,1,1,8,SAMEA2619923_17
gene_24_SAMEA2619923_17,17962,19266,+,UvrD-like helicase/homing endonuclease,UvrD-like helicase/homing endonuclease,whitesmoke,arrows,1,1,1,8,SAMEA2619923_17
gene_25_SAMEA2619923_17,19266,21014,+,phage portal protein,phage portal protein,whitesmoke,arrows,1,1,1,8,SAMEA2619923_17
gene_26_SAMEA2619923_17,21051,21392,+,hypothetical protein,,Gray,arrows,1,1,1,8,SAMEA2619923_17
gene_27_SAMEA2619923_17,21401,21751,+,hypothetical protein,,Gray,arrows,1,1,1,8,SAMEA2619923_17
gene_28_SAMEA2619923_17,21753,22166,+,hypothetical protein,,Gray,arrows,1,1,1,8,SAMEA2619923_17
gene_29_SAMEA2619923_17,22180,27885,+,ATP-dependent DNA ligase,ATP-dependent DNA ligase,whitesmoke,arrows,1,1,1,8,SAMEA2619923_17
