,Station,LONGITUDE,LATITUDE,Depth,Protocol Label,Fraction,RUN,Region,ENA-SAMPLE,genome_name,genome_group,variable,val
43690,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,"gi|932823007|dbj|BBBE01000002.1| Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00002, whole genome shotgun sequence",Euryarchaeota,n_count,0.00149956305417
43691,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,"gi|372217655|ref|NC_016656.1| Cyanophage P-SSP2, complete genome",Cyanophage,n_count,0.00872363272123
43692,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,gi|33239452|ref|NC_005042.1| Prochlorococcus marinus subsp. marinus_CCMP1375 complete genome,Prochlorococcus,n_count,0.0541218275443
43693,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,contig__344836,MGII,n_count,0.0692677318938
43694,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,"gi|157412338|ref|NC_009840.1| Prochlorococcus marinus_MIT 9215, complete genome",Prochlorococcus,n_count,0.0556826210513
43695,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,contig__154592,MGII_virus,n_count,0.00465601959681
43696,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,"gi|326781756|ref|NC_015279.1| Synechococcus phage S-SM2, complete genome",Cyanophage,n_count,0.0520248403768
43697,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,"gi|902974237|ref|NZ_LN847356.1| Synechococcus sp. WH 8103 genome assembly WH8103.1, chromosome : 1",Synechococcus,n_count,0.028465574081
43698,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,SAMEA2619791_458 /station=TARA_025 /depth=50 /filter=0-0.22,Cyanophage,n_count,0.0289436731774
43699,TARA_148b,,,250.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598958,NAO,ERS494374,"gi|326783443|ref|NC_015286.1| Synechococcus phage Syn19, complete genome",Cyanophage,n_count,0.00900394536045
