orf_name,start,end,Unnamed: 5,orf_annotation,conserved_proteins,col,gene_type,cex,lty,lwd,pch,chr
gene_1_871648617_complete,2,1957,-,hypothetical protein,,Gray,arrows,1,1,1,8,871648617_complete
gene_2_871648617_complete,1957,3009,-,hypothetical protein,,Gray,arrows,1,1,1,8,871648617_complete
gene_3_871648617_complete,3019,3759,-,hypothetical protein,,Gray,arrows,1,1,1,8,871648617_complete
gene_4_871648617_complete,3761,5224,-,hypothetical protein,,Gray,arrows,1,1,1,8,871648617_complete
gene_5_871648617_complete,5229,5399,-,hypothetical protein,,Gray,arrows,1,1,1,8,871648617_complete
gene_6_871648617_complete,5438,5800,-,tail assembly chaperone ,,whitesmoke,arrows,1,1,1,8,871648617_complete
gene_7_871648617_complete,6014,8140,-,hypothetical protein,,Gray,arrows,1,1,1,8,871648617_complete
gene_8_871648617_complete,8162,8668,-,hypothetical protein,,Gray,arrows,1,1,1,8,871648617_complete
gene_9_871648617_complete,8658,8873,-,hypothetical protein,,Gray,arrows,1,1,1,8,871648617_complete
gene_10_871648617_complete,8875,9972,-,hypothetical protein,,Gray,arrows,1,1,1,8,871648617_complete
gene_11_871648617_complete,9965,11770,-,hypothetical protein,,Gray,arrows,1,1,1,8,871648617_complete
gene_12_871648617_complete,11780,12511,-,hypothetical protein,,Gray,arrows,1,1,1,8,871648617_complete
gene_13_871648617_complete,12504,13175,-,hypothetical protein,,Gray,arrows,1,1,1,8,871648617_complete
gene_14_871648617_complete,13237,13905,-,Arf-like small GTPase,,whitesmoke,arrows,1,1,1,8,871648617_complete
gene_15_871648617_complete,13919,14137,-,hypothetical protein,,Gray,arrows,1,1,1,8,871648617_complete
gene_16_871648617_complete,14146,14562,-,Protein of unknown function (DUF3106),,grey35,arrows,1,1,1,8,871648617_complete
gene_17_871648617_complete,14574,14960,-,hypothetical protein,,Gray,arrows,1,1,1,8,871648617_complete
gene_18_871648617_complete,15005,15451,-,hypothetical protein,,Gray,arrows,1,1,1,8,871648617_complete
gene_19_871648617_complete,15516,15869,-,hypothetical protein,,Gray,arrows,1,1,1,8,871648617_complete
gene_20_871648617_complete,15881,17272,-,major capsid protein,major capsid protein,whitesmoke,arrows,1,1,1,8,871648617_complete
gene_21_871648617_complete,17278,18471,-,phage prohead protease,phage prohead protease,whitesmoke,arrows,1,1,1,8,871648617_complete
gene_22_871648617_complete,18523,21036,-,ATP-dependent DNA ligase,ATP-dependent DNA ligase,whitesmoke,arrows,1,1,1,8,871648617_complete
gene_23_871648617_complete,21039,21254,-,hypothetical protein,,Gray,arrows,1,1,1,8,871648617_complete
gene_24_871648617_complete,21254,21499,-,hypothetical protein,,Gray,arrows,1,1,1,8,871648617_complete
gene_25_871648617_complete,21492,21836,-,hypothetical protein,,Gray,arrows,1,1,1,8,871648617_complete
gene_26_871648617_complete,21833,23350,-,hypothetical protein,,Gray,arrows,1,1,1,8,871648617_complete
gene_27_871648617_complete,23360,23578,-,hypothetical protein,,Gray,arrows,1,1,1,8,871648617_complete
gene_28_871648617_complete,23575,24168,-,hypothetical protein,,Gray,arrows,1,1,1,8,871648617_complete
gene_29_871648617_complete,24165,25895,-,phage portal protein,phage portal protein,whitesmoke,arrows,1,1,1,8,871648617_complete
gene_30_871648617_complete,25867,27174,-,UvrD-like helicase/homing endonuclease,UvrD-like helicase/homing endonuclease,whitesmoke,arrows,1,1,1,8,871648617_complete
