	qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
113	gene_100_SAMEA2621151_40	gene_10_SAMEA2621085_65	62.222	135	47	1	89	219	171	305	2.32e-50	162.0
115	gene_100_SAMEA2621151_40	gene_37_contig_154566	81.111	90	17	0	127	216	180	269	4.199999999999999e-37	130.0
118	gene_100_SAMEA2621151_40	gene_105_contig_155688	73.913	92	24	0	123	214	908	999	1.4199999999999998e-31	117.0
186	gene_100_contig_155688	gene_16_SAMEA2619923_17	62.5	280	103	1	4	283	13	290	5.259999999999999e-136	385.0
187	gene_100_contig_155688	gene_94_SAMEA2621151_40	60.825	291	114	0	2	292	9	299	8.679999999999998e-122	348.0
188	gene_100_contig_155688	gene_19_SAMEA2621085_65	60.0	290	113	3	5	293	20	307	4.4099999999999995e-120	344.0
189	gene_100_contig_155688	gene_33_contig_154566	55.326	291	127	3	9	297	5	294	3.459999999999999e-114	329.0
376	gene_101_contig_154566	gene_59_SAMEA2621151_40	55.085	118	30	4	619	723	404	511	3.22e-25	109.0
700	gene_102_contig_155688	gene_17_SAMEA2621085_65	73.932	234	61	0	5	238	4	237	4.8599999999999995e-132	368.0
701	gene_102_contig_155688	gene_34_contig_154566	70.222	225	67	0	14	238	13	237	5.079999999999998e-127	355.0
702	gene_102_contig_155688	gene_15_SAMEA2619923_17	66.667	234	78	0	5	238	7	240	1.9599999999999995e-123	346.0
703	gene_102_contig_155688	gene_95_SAMEA2621151_40	68.22	236	73	1	1	236	1	234	1.2899999999999997e-121	342.0
704	gene_102_contig_155688	gene_71_contig_156409	53.75	240	106	3	1	237	1	238	1.8699999999999996e-95	275.0
857	gene_103_contig_154566	gene_4_contig_156409	54.688	128	50	3	174	294	131	257	1.34e-27	112.0
923	gene_103_contig_155688	gene_70_contig_156409	61.538000000000004	78	30	0	1	78	1	78	1.65e-31	102.0
925	gene_103_contig_155688	gene_16_SAMEA2621085_65	56.626999999999995	83	36	0	1	83	1	83	1.05e-28	94.7
926	gene_103_contig_155688	gene_35_contig_154566	56.25	80	35	0	1	80	1	80	2.0600000000000002e-26	89.0
927	gene_103_contig_155688	gene_96_SAMEA2621151_40	53.086000000000006	81	38	0	3	83	13	93	4.6399999999999995e-26	88.6
928	gene_103_contig_155688	gene_14_SAMEA2619923_17	52.174	69	33	0	1	69	1	69	1.5e-23	81.6
1152	gene_104_contig_155688	gene_13_SAMEA2619923_17	55.696000000000005	158	61	2	6	163	8	156	4.1799999999999984e-59	179.0
1153	gene_104_contig_155688	gene_36_contig_154566	54.601000000000006	163	68	3	10	168	28	188	6.6e-55	169.0
1155	gene_104_contig_155688	gene_15_SAMEA2621085_65	58.475	118	47	1	9	124	11	128	5.709999999999999e-44	141.0
1324	gene_105_contig_155688	gene_100_SAMEA2621151_40	73.913	92	24	0	908	999	123	214	1.6199999999999998e-38	139.0
1325	gene_105_contig_155688	gene_10_SAMEA2621085_65	69.149	94	29	0	906	999	207	300	3.33e-36	135.0
1326	gene_105_contig_155688	gene_37_contig_154566	78.495	93	20	0	910	1002	178	270	1.83e-31	124.0
