	qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
857	gene_103_contig_154566	gene_4_contig_156409	54.688	128	50	3	174	294	131	257	1.34e-27	112.0
1441	gene_106_contig_154566	gene_63_contig_155688	53.846000000000004	104	48	0	10	113	1	104	4.76e-43	133.0
3975	gene_11_contig_154566	gene_76_contig_155688	58.172	569	187	12	1	559	1	528	0.0	633.0
5031	gene_12_contig_154566	gene_78_contig_155688	65.079	63	22	0	36	98	21	83	3.01e-30	99.4
5579	gene_13_contig_156409	gene_91_contig_155688	80.435	92	18	0	3	94	10	101	3.0599999999999996e-50	151.0
5997	gene_14_contig_156409	gene_93_contig_155688	95.652	46	2	0	1	46	7	52	2.56e-26	86.3
6453	gene_15_contig_156409	gene_40_contig_154566	82.69200000000001	104	18	0	3	106	156	259	2.7299999999999998e-56	171.0
6454	gene_15_contig_156409	gene_66_contig_155688	80.952	105	15	1	2	106	13	112	7.019999999999999e-54	160.0
7267	gene_17_contig_154566	gene_83_contig_155688	80.637	377	62	3	1	377	1	366	0.0	613.0
7268	gene_17_contig_154566	gene_88_contig_156409	69.531	384	107	6	1	377	1	381	0.0	555.0
7711	gene_18_contig_154566	gene_84_contig_155688	59.17	458	160	11	13	460	17	457	3.729999999999999e-173	490.0
7713	gene_18_contig_154566	gene_87_contig_156409	51.163000000000004	473	188	11	12	460	17	470	4.679999999999998e-146	422.0
7833	gene_18_contig_156409	gene_60_contig_155688	51.244	201	93	2	1	197	21	220	3.219999999999999e-76	224.0
8667	gene_1_contig_154566	gene_67_contig_155688	51.472	781	341	18	4434	5206	4822	5572	0.0	743.0
8668	gene_1_contig_154566	gene_67_contig_155688	52.316	367	165	6	1	364	370	729	2.3299999999999997e-102	368.0
10339	gene_23_contig_154566	gene_89_contig_155688	65.541	592	191	5	1	579	1	592	0.0	800.0
10341	gene_23_contig_154566	gene_82_contig_156409	56.457	604	223	9	1	574	1	594	0.0	685.0
11125	gene_25_contig_154566	gene_94_contig_155688	73.482	494	124	2	4	493	3	493	0.0	779.0
13645	gene_30_contig_154566	gene_98_contig_155688	60.273999999999994	219	86	1	1	218	6	224	3.3699999999999995e-99	284.0
