chr	name	start	end	length	strand	orf_annotation	conserved_proteins
contig_155057	gene_1_contig_155057	1	1962	654_aa	-	hypothetical protein	
contig_155057	gene_2_contig_155057	1998	2234	78_aa	-	Helix-turn-helix domain	
contig_155057	gene_3_contig_155057	2355	3500	381_aa	-	DNA methylase	
contig_155057	gene_4_contig_155057	3490	3807	105_aa	-	 hypothetical protein	
contig_155057	gene_5_contig_155057	3931	4773	280_aa	-	 hypothetical protein	
contig_155057	gene_6_contig_155057	4770	5009	79_aa	-	 hypothetical protein	
contig_155057	gene_7_contig_155057	5009	5944	311_aa	-	radB-like recombinase	radB-like recombinase
contig_155057	gene_8_contig_155057	5987	7477	496_aa	-	GroupA: Archaeal cpn60 chaperonin family (gene16, thermosome); other groups: GroEL_like type I chaperonin (bacterial and organelar)	GroupA: Archaeal cpn60 chaperonin family (gene16, thermosome); other groups: GroEL_like type I chaperonin (bacterial and organelar)
contig_155057	gene_9_contig_155057	7461	7706	81_aa	-	 hypothetical protein	
contig_155057	gene_10_contig_155057	7703	8917	404_aa	-	putative DNA-binding protein, gene29	putative DNA-binding protein, gene29
contig_155057	gene_11_contig_155057	8970	9893	307_aa	-	Replication factor C small subunit, gene30	Replication factor C small subunit, gene30
contig_155057	gene_12_contig_155057	10011	10226	71_aa	-	 hypothetical protein	
contig_155057	gene_13_contig_155057	10348	10749	133_aa	-	 hypothetical protein	
contig_155057	gene_14_contig_155057	10746	10913	55_aa	-	 hypothetical protein	
contig_155057	gene_15_contig_155057	10910	11083	57_aa	-	 hypothetical protein	
contig_155057	gene_16_contig_155057	11086	11313	75_aa	-	 hypothetical protein	
contig_155057	gene_17_contig_155057	11364	11771	135_aa	-	 hypothetical protein	
contig_155057	gene_18_contig_155057	11815	12015	66_aa	-	 hypothetical protein	
contig_155057	gene_19_contig_155057	12048	12722	224_aa	-	 hypothetical protein	
contig_155057	gene_20_contig_155057	12972	13601	209_aa	-	DUF1804 Protein of unknown function (DUF1804)	DUF1804 Protein of unknown function (DUF1804)
contig_155057	gene_21_contig_155057	13712	15040	442_aa	-	DNA replicative helicase, gene19	DNA replicative helicase, gene19
contig_155057	gene_22_contig_155057	15031	15792	253_aa	-	 hypothetical protein	
contig_155057	gene_23_contig_155057	15789	16145	118_aa	-	 hypothetical protein	
contig_155057	gene_24_contig_155057	16437	17099	220_aa	-	 hypothetical protein	
contig_155057	gene_25_contig_155057	17272	17580	102_aa	-	 hypothetical protein	
contig_155057	gene_26_contig_155057	17583	17999	138_aa	-	 hypothetical protein	
contig_155057	gene_27_contig_155057	18445	18630	61_aa	-	 hypothetical protein	
contig_155057	gene_28_contig_155057	18692	19204	170_aa	-	 hypothetical protein	
contig_155057	gene_29_contig_155057	19188	19349	53_aa	-	 hypothetical protein	
contig_155057	gene_30_contig_155057	19346	19624	92_aa	-	 hypothetical protein	
contig_155057	gene_31_contig_155057	19621	19887	88_aa	-	 hypothetical protein	
contig_155057	gene_32_contig_155057	19884	20171	95_aa	-	 hypothetical protein	
contig_155057	gene_33_contig_155057	20171	20713	180_aa	-	 hypothetical protein	
contig_155057	gene_34_contig_155057	20777	21013	78_aa	-	 hypothetical protein	
contig_155057	gene_35_contig_155057	21010	21171	53_aa	-	 hypothetical protein	
contig_155057	gene_36_contig_155057	21343	21459	38_aa	-	 hypothetical protein	
contig_155057	gene_37_contig_155057	21459	21587	42_aa	-	 hypothetical protein	
contig_155057	gene_38_contig_155057	21584	22039	151_aa	-	 hypothetical protein	
contig_155057	gene_39_contig_155057	22036	22326	96_aa	-	 hypothetical protein	
