name,start,end,strand,orf_annotation,conserved_proteins,col,gene_type,cex,lty,lwd,pch,chr
gene_1_SAMEA2620879_23,2,4957,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8,SAMEA2620879_23
gene_2_SAMEA2620879_23,4957,6072,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8,SAMEA2620879_23
gene_3_SAMEA2620879_23,6082,7098,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8,SAMEA2620879_23
gene_4_SAMEA2620879_23,7098,8891,-,Primosomal replication  priC-like protein,,whitesmoke,arrows,1,1,1,8,SAMEA2620879_23
gene_5_SAMEA2620879_23,8896,9009,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8,SAMEA2620879_23
gene_6_SAMEA2620879_23,9102,9467,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8,SAMEA2620879_23
gene_7_SAMEA2620879_23,9498,10085,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8,SAMEA2620879_23
gene_8_SAMEA2620879_23,10111,10503,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8,SAMEA2620879_23
gene_9_SAMEA2620879_23,10509,12836,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8,SAMEA2620879_23
gene_10_SAMEA2620879_23,12859,13491,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8,SAMEA2620879_23
gene_11_SAMEA2620879_23,13484,13717,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8,SAMEA2620879_23
gene_12_SAMEA2620879_23,13714,13971,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8,SAMEA2620879_23
gene_13_SAMEA2620879_23,13964,15064,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8,SAMEA2620879_23
gene_14_SAMEA2620879_23,15064,17997,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8,SAMEA2620879_23
gene_15_SAMEA2620879_23,18008,18427,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8,SAMEA2620879_23
gene_16_SAMEA2620879_23,18449,18739,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8,SAMEA2620879_23
gene_17_SAMEA2620879_23,18817,19176,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8,SAMEA2620879_23
gene_18_SAMEA2620879_23,19209,20513,-,major capsid protein,major capsid protein,whitesmoke,arrows,1,1,1,8,SAMEA2620879_23
gene_19_SAMEA2620879_23,20536,21834,-,phage prohead protease,phage prohead protease,whitesmoke,arrows,1,1,1,8,SAMEA2620879_23
gene_20_SAMEA2620879_23,21877,24639,-,ATP-dependent DNA ligase,ATP-dependent DNA ligase,whitesmoke,arrows,1,1,1,8,SAMEA2620879_23
gene_21_SAMEA2620879_23,24701,25492,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8,SAMEA2620879_23
gene_22_SAMEA2620879_23,25492,25734,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8,SAMEA2620879_23
gene_23_SAMEA2620879_23,25731,28919,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8,SAMEA2620879_23
gene_24_SAMEA2620879_23,28928,29143,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8,SAMEA2620879_23
gene_25_SAMEA2620879_23,29148,30791,-,phage portal protein,phage portal protein,whitesmoke,arrows,1,1,1,8,SAMEA2620879_23
gene_26_SAMEA2620879_23,30791,32338,-,UvrD-like helicase/homing endonuclease,UvrD-like helicase/homing endonuclease,whitesmoke,arrows,1,1,1,8,SAMEA2620879_23
gene_27_SAMEA2620879_23,32325,33746,-,terminase,terminase,whitesmoke,arrows,1,1,1,8,SAMEA2620879_23
gene_28_SAMEA2620879_23,33746,34405,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8,SAMEA2620879_23
gene_29_SAMEA2620879_23,34407,35276,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8,SAMEA2620879_23
gene_30_SAMEA2620879_23,35276,35518,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8,SAMEA2620879_23
gene_31_SAMEA2620879_23,35515,38109,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8,SAMEA2620879_23
gene_32_SAMEA2620879_23,38106,40385,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8,SAMEA2620879_23
gene_33_SAMEA2620879_23,40382,40597,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8,SAMEA2620879_23
gene_34_SAMEA2620879_23,40599,40880,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8,SAMEA2620879_23
gene_35_SAMEA2620879_23,40892,41074,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8,SAMEA2620879_23
gene_36_SAMEA2620879_23,41080,41400,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8,SAMEA2620879_23
gene_37_SAMEA2620879_23,41400,41636,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8,SAMEA2620879_23
gene_38_SAMEA2620879_23,41633,42022,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8,SAMEA2620879_23
gene_39_SAMEA2620879_23,42027,42230,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8,SAMEA2620879_23
gene_40_SAMEA2620879_23,42227,42889,-,DUF1804 Protein of unknown function (DUF1804),DUF1804 Protein of unknown function (DUF1804),grey35,arrows,1,1,1,8,SAMEA2620879_23
gene_41_SAMEA2620879_23,42879,43970,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8,SAMEA2620879_23
gene_42_SAMEA2620879_23,43967,44278,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8,SAMEA2620879_23
gene_43_SAMEA2620879_23,44275,45126,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8,SAMEA2620879_23
gene_44_SAMEA2620879_23,45123,45563,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8,SAMEA2620879_23
gene_45_SAMEA2620879_23,45568,45909,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8,SAMEA2620879_23
gene_46_SAMEA2620879_23,45912,46178,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8,SAMEA2620879_23
gene_47_SAMEA2620879_23,46249,46449,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8,SAMEA2620879_23
gene_48_SAMEA2620879_23,46449,47594,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8,SAMEA2620879_23
gene_49_SAMEA2620879_23,47596,47865,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8,SAMEA2620879_23
gene_50_SAMEA2620879_23,47862,48221,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8,SAMEA2620879_23
gene_51_SAMEA2620879_23,48203,48481,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8,SAMEA2620879_23
gene_52_SAMEA2620879_23,48487,48648,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8,SAMEA2620879_23
gene_53_SAMEA2620879_23,48653,49072,-,Acetyltransferase (GNAT) domain,,whitesmoke,arrows,1,1,1,8,SAMEA2620879_23
gene_54_SAMEA2620879_23,49074,49481,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8,SAMEA2620879_23
