	qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
113	gene_100_SAMEA2621151_40	gene_10_SAMEA2621085_65	62.222	135	47	1	89	219	171	305	2.32e-50	162.0
114	gene_100_SAMEA2621151_40	gene_10_SAMEA2621061_122	67.021	94	31	0	121	214	517	610	2.25e-38	136.0
115	gene_100_SAMEA2621151_40	gene_37_contig_154566	81.111	90	17	0	127	216	180	269	4.2e-37	130.0
118	gene_100_SAMEA2621151_40	gene_105_contig_155688	73.913	92	24	0	123	214	908	999	1.42e-31	117.0
185	gene_100_contig_155688	gene_15_SAMEA2621061_122	64.36	289	100	1	18	303	20	308	6.51e-147	412.0
186	gene_100_contig_155688	gene_16_SAMEA2619923_17	62.5	280	103	1	4	283	13	290	5.26e-136	385.0
187	gene_100_contig_155688	gene_94_SAMEA2621151_40	60.825	291	114	0	2	292	9	299	8.68e-122	348.0
188	gene_100_contig_155688	gene_19_SAMEA2621085_65	60.0	290	113	3	5	293	20	307	4.41e-120	344.0
189	gene_100_contig_155688	gene_33_contig_154566	55.326	291	127	3	9	297	5	294	3.46e-114	329.0
329	gene_101_SAMEA2621085_65	gene_102_SAMEA2621061_122	51.63	184	73	3	598	781	20	187	7.19e-54	181.0
376	gene_101_contig_154566	gene_59_SAMEA2621151_40	55.085	118	30	4	619	723	404	511	3.22e-25	109.0
556	gene_102_SAMEA2621061_122	gene_2_contig_155688	53.927	191	80	2	3	187	653	841	6.92e-68	218.0
557	gene_102_SAMEA2621061_122	gene_56_contig_154566	56.647	173	75	0	18	190	469	641	3.14e-64	205.0
558	gene_102_SAMEA2621061_122	gene_101_SAMEA2621085_65	51.63	184	73	3	20	187	598	781	1.78e-54	181.0
559	gene_102_SAMEA2621061_122	gene_83_SAMEA2619923_17	51.553	161	76	2	18	176	487	647	4.53e-54	178.0
699	gene_102_contig_155688	gene_13_SAMEA2621061_122	75.732	239	56	1	1	237	1	239	5.51e-141	391.0
700	gene_102_contig_155688	gene_17_SAMEA2621085_65	73.932	234	61	0	5	238	4	237	4.86e-132	368.0
701	gene_102_contig_155688	gene_34_contig_154566	70.222	225	67	0	14	238	13	237	5.08e-127	355.0
702	gene_102_contig_155688	gene_15_SAMEA2619923_17	66.667	234	78	0	5	238	7	240	1.96e-123	346.0
703	gene_102_contig_155688	gene_95_SAMEA2621151_40	68.22	236	73	1	1	236	1	234	1.29e-121	342.0
704	gene_102_contig_155688	gene_71_contig_156409	53.75	240	106	3	1	237	1	238	1.87e-95	275.0
857	gene_103_contig_154566	gene_4_contig_156409	54.688	128	50	3	174	294	131	257	1.34e-27	112.0
923	gene_103_contig_155688	gene_70_contig_156409	61.538	78	30	0	1	78	1	78	1.65e-31	102.0
924	gene_103_contig_155688	gene_12_SAMEA2621061_122	53.659	82	37	1	1	81	1	82	2.21e-29	96.7
925	gene_103_contig_155688	gene_16_SAMEA2621085_65	56.627	83	36	0	1	83	1	83	1.05e-28	94.7
926	gene_103_contig_155688	gene_35_contig_154566	56.25	80	35	0	1	80	1	80	2.06e-26	89.0
927	gene_103_contig_155688	gene_96_SAMEA2621151_40	53.086	81	38	0	3	83	13	93	4.64e-26	88.6
928	gene_103_contig_155688	gene_14_SAMEA2619923_17	52.174	69	33	0	1	69	1	69	1.5e-23	81.6
972	gene_103_contig_156409	gene_49_SAMEA2621061_122	53.744	227	66	4	1420	1612	1767	1988	1.71e-64	242.0
973	gene_103_contig_156409	gene_49_SAMEA2621061_122	50.0	114	39	3	3017	3130	4008	4103	1.42e-24	110.0
1151	gene_104_contig_155688	gene_11_SAMEA2621061_122	61.714	175	61	2	4	172	14	188	3.68e-78	228.0
1152	gene_104_contig_155688	gene_13_SAMEA2619923_17	55.696	158	61	2	6	163	8	156	4.18e-59	179.0
1153	gene_104_contig_155688	gene_36_contig_154566	54.601	163	68	3	10	168	28	188	6.6e-55	169.0
1155	gene_104_contig_155688	gene_15_SAMEA2621085_65	58.475	118	47	1	9	124	11	128	5.71e-44	141.0
1324	gene_105_contig_155688	gene_100_SAMEA2621151_40	73.913	92	24	0	908	999	123	214	1.62e-38	139.0
1325	gene_105_contig_155688	gene_10_SAMEA2621085_65	69.149	94	29	0	906	999	207	300	3.33e-36	135.0
1326	gene_105_contig_155688	gene_37_contig_154566	78.495	93	20	0	910	1002	178	270	1.83e-31	124.0
1327	gene_105_contig_155688	gene_10_SAMEA2621061_122	68.605	86	26	1	916	1000	526	611	5.14e-31	126.0
1328	gene_105_contig_155688	gene_11_SAMEA2619923_17	58.586	99	40	1	901	999	243	340	1.12e-28	114.0
1439	gene_106_contig_154566	gene_62_SAMEA2621151_40	64.035	114	41	0	1	114	1	114	3.33e-57	169.0
1440	gene_106_contig_154566	gene_52_SAMEA2621085_65	59.13	115	46	1	1	114	1	115	1.71e-48	147.0
1441	gene_106_contig_154566	gene_63_contig_155688	53.846	104	48	0	10	113	1	104	4.76e-43	133.0
2149	gene_10_SAMEA2621061_122	gene_100_SAMEA2621151_40	67.021	94	31	0	517	610	121	214	6.94e-38	136.0
2150	gene_10_SAMEA2621061_122	gene_37_contig_154566	59.292	113	35	1	506	618	174	275	1.74e-30	120.0
2151	gene_10_SAMEA2621061_122	gene_10_SAMEA2621085_65	61.905	84	32	0	527	610	217	300	1.97e-28	112.0
2153	gene_10_SAMEA2621061_122	gene_105_contig_155688	68.605	86	26	1	526	611	916	1000	9.73e-24	102.0
2167	gene_10_SAMEA2621085_65	gene_100_SAMEA2621151_40	62.222	135	47	1	171	305	89	219	3.22e-50	162.0
2168	gene_10_SAMEA2621085_65	gene_105_contig_155688	69.149	94	29	0	207	300	906	999	3.94e-32	122.0
2170	gene_10_SAMEA2621085_65	gene_37_contig_154566	66.316	95	32	0	209	303	176	270	7.48e-31	115.0
2171	gene_10_SAMEA2621085_65	gene_11_SAMEA2619923_17	59.794	97	38	1	209	305	250	345	2.3e-30	113.0
2173	gene_10_SAMEA2621085_65	gene_10_SAMEA2621061_122	61.905	84	32	0	217	300	527	610	1.01e-28	112.0
3837	gene_11_SAMEA2619923_17	gene_10_SAMEA2621085_65	59.794	97	38	1	250	345	209	305	2.64e-30	113.0
3840	gene_11_SAMEA2619923_17	gene_37_contig_154566	60.417	96	37	1	249	343	175	270	5.49e-24	97.8
3843	gene_11_SAMEA2619923_17	gene_105_contig_155688	58.586	99	40	1	243	340	901	999	5.04e-22	93.6
3901	gene_11_SAMEA2621061_122	gene_104_contig_155688	61.714	175	61	2	14	188	4	172	4.34e-78	228.0
3972	gene_11_contig_154566	gene_41_SAMEA2621085_65	61.002	559	179	9	1	559	1	520	0.0	680.0
3973	gene_11_contig_154566	gene_41_SAMEA2619923_17	62.791	559	169	9	1	559	1	520	0.0	673.0
3974	gene_11_contig_154566	gene_74_SAMEA2621151_40	60.885	565	177	13	1	559	1	527	0.0	655.0
3975	gene_11_contig_154566	gene_76_contig_155688	58.172	569	187	12	1	559	1	528	0.0	633.0
3976	gene_11_contig_154566	gene_40_SAMEA2621061_122	56.483	563	200	8	1	559	1	522	0.0	611.0
4983	gene_12_SAMEA2621061_122	gene_103_contig_155688	53.659	82	37	1	1	82	1	81	2.24e-29	96.7
4984	gene_12_SAMEA2621061_122	gene_16_SAMEA2621085_65	56.098	82	35	1	1	82	1	81	1.47e-25	87.0
4985	gene_12_SAMEA2621061_122	gene_14_SAMEA2619923_17	61.429	70	26	1	1	70	1	69	1.89e-25	86.7
4986	gene_12_SAMEA2621061_122	gene_35_contig_154566	53.086	81	37	1	1	81	1	80	1.53e-23	82.0
4998	gene_12_SAMEA2621085_65	gene_40_contig_154566	92.308	104	8	0	3	106	156	259	6.39e-65	193.0
4999	gene_12_SAMEA2621085_65	gene_15_contig_156409	86.792	106	14	0	1	106	1	106	2.53e-62	181.0
5000	gene_12_SAMEA2621085_65	gene_98_SAMEA2621151_40	84.906	106	14	1	1	106	35	138	6.49e-59	174.0
5001	gene_12_SAMEA2621085_65	gene_7_SAMEA2621061_122	87.234	94	12	0	13	106	124	217	6.26e-53	161.0
5002	gene_12_SAMEA2621085_65	gene_66_contig_155688	85.106	94	14	0	13	106	19	112	1.46e-51	154.0
5027	gene_12_contig_154566	gene_39_SAMEA2621085_65	59.341	91	37	0	1	91	1	91	1.81e-39	123.0
5029	gene_12_contig_154566	gene_39_SAMEA2619923_17	55.682	88	39	0	7	94	6	93	4.58e-34	109.0
5030	gene_12_contig_154566	gene_75_SAMEA2621151_40	50.505	99	47	2	1	99	1	97	3.69e-33	107.0
5031	gene_12_contig_154566	gene_78_contig_155688	65.079	63	22	0	36	98	21	83	3.01e-30	99.4
5334	gene_13_SAMEA2619923_17	gene_104_contig_155688	55.696	158	61	2	8	156	6	163	4.65e-59	179.0
5336	gene_13_SAMEA2619923_17	gene_36_contig_154566	57.037	135	55	1	4	135	20	154	2.96e-50	159.0
5338	gene_13_SAMEA2619923_17	gene_15_SAMEA2621085_65	59.664	119	46	1	10	126	10	128	9.38e-44	141.0
5390	gene_13_SAMEA2621061_122	gene_102_contig_155688	75.732	239	56	1	1	239	1	237	5.56e-141	391.0
5391	gene_13_SAMEA2621061_122	gene_34_contig_154566	72.687	227	60	1	13	239	12	236	3.4e-128	358.0
5392	gene_13_SAMEA2621061_122	gene_17_SAMEA2621085_65	70.638	235	67	1	5	239	4	236	1.87e-125	352.0
5393	gene_13_SAMEA2621061_122	gene_95_SAMEA2621151_40	68.487	238	71	2	1	238	1	234	5.75e-123	345.0
5394	gene_13_SAMEA2621061_122	gene_15_SAMEA2619923_17	64.407	236	82	1	5	240	7	240	4.99e-117	330.0
5395	gene_13_SAMEA2621061_122	gene_71_contig_156409	55.0	240	105	2	1	239	1	238	3.98e-98	282.0
5417	gene_13_SAMEA2621085_65	gene_93_contig_155688	92.5	40	3	0	1	40	1	40	9.07e-24	80.1
5578	gene_13_contig_156409	gene_6_SAMEA2621061_122	81.25	96	18	0	1	96	6	101	2.03e-53	158.0
5579	gene_13_contig_156409	gene_91_contig_155688	80.435	92	18	0	3	94	10	101	3.06e-50	151.0
5580	gene_13_contig_156409	gene_14_SAMEA2621085_65	78.351	97	20	1	2	97	8	104	6.9e-48	144.0
5805	gene_14_SAMEA2619923_17	gene_16_SAMEA2621085_65	61.765	68	26	0	1	68	1	68	3.1e-28	93.6
5806	gene_14_SAMEA2619923_17	gene_35_contig_154566	54.321	81	33	1	1	81	1	77	1.01e-26	89.7
5807	gene_14_SAMEA2619923_17	gene_12_SAMEA2621061_122	61.429	70	26	1	1	69	1	70	1.82e-25	86.7
5808	gene_14_SAMEA2619923_17	gene_96_SAMEA2621151_40	56.716	67	29	0	3	69	13	79	1.17e-23	82.4
5809	gene_14_SAMEA2619923_17	gene_103_contig_155688	52.174	69	33	0	1	69	1	69	1.46e-23	81.6
5856	gene_14_SAMEA2621085_65	gene_91_contig_155688	83.333	102	15	2	1	101	1	101	1.55e-55	165.0
5857	gene_14_SAMEA2621085_65	gene_6_SAMEA2621061_122	85.263	95	13	1	9	103	8	101	3.44e-51	153.0
5858	gene_14_SAMEA2621085_65	gene_13_contig_156409	78.351	97	20	1	8	104	2	97	7.39e-48	144.0
5891	gene_14_contig_154566	gene_38_SAMEA2621085_65	93.548	93	6	0	1	93	1	93	3.44e-59	172.0
5997	gene_14_contig_156409	gene_93_contig_155688	95.652	46	2	0	1	46	7	52	2.56e-26	86.3
5998	gene_14_contig_156409	gene_13_SAMEA2621085_65	97.778	45	0	1	2	45	8	52	6.53e-25	82.8
6201	gene_15_SAMEA2619923_17	gene_102_contig_155688	66.667	234	78	0	7	240	5	238	1.97e-123	346.0
6202	gene_15_SAMEA2619923_17	gene_34_contig_154566	66.222	225	76	0	16	240	13	237	3.03e-121	341.0
6203	gene_15_SAMEA2619923_17	gene_95_SAMEA2621151_40	63.983	236	83	1	3	238	1	234	1.55e-120	339.0
6204	gene_15_SAMEA2619923_17	gene_17_SAMEA2621085_65	62.553	235	88	0	5	239	2	236	2.5e-119	336.0
6205	gene_15_SAMEA2619923_17	gene_13_SAMEA2621061_122	64.407	236	82	1	7	240	5	240	4.99e-117	330.0
6206	gene_15_SAMEA2619923_17	gene_71_contig_156409	59.583	240	92	3	3	239	1	238	2.7e-109	311.0
6259	gene_15_SAMEA2621061_122	gene_100_contig_155688	64.164	293	102	1	16	308	14	303	1.58e-148	416.0
6260	gene_15_SAMEA2621061_122	gene_16_SAMEA2619923_17	61.566	281	106	1	15	295	22	300	3.8e-136	385.0
6261	gene_15_SAMEA2621061_122	gene_19_SAMEA2621085_65	65.505	287	97	2	10	295	22	307	2.81e-135	383.0
6262	gene_15_SAMEA2621061_122	gene_33_contig_154566	62.199	291	107	3	10	298	4	293	1.47e-130	371.0
6263	gene_15_SAMEA2621061_122	gene_94_SAMEA2621151_40	63.423	298	105	1	1	294	2	299	3.21e-128	365.0
6264	gene_15_SAMEA2621061_122	gene_72_contig_156409	50.417	240	112	3	39	277	1	234	9.28e-83	248.0
6283	gene_15_SAMEA2621085_65	gene_97_SAMEA2621151_40	50.99	202	83	5	10	208	3	191	3.03e-59	181.0
6285	gene_15_SAMEA2621085_65	gene_104_contig_155688	58.475	118	47	1	11	128	9	124	6.85e-44	141.0
6286	gene_15_SAMEA2621085_65	gene_13_SAMEA2619923_17	59.664	119	46	1	10	128	10	126	1.01e-43	141.0
6413	gene_15_contig_155688	gene_84_SAMEA2621061_122	63.291	79	26	2	1	76	1	79	5.59e-31	100.0
6414	gene_15_contig_155688	gene_85_SAMEA2619923_17	62.903	62	23	0	10	71	4	65	7.18e-26	87.0
6451	gene_15_contig_156409	gene_12_SAMEA2621085_65	86.792	106	14	0	1	106	1	106	2.53e-62	181.0
6452	gene_15_contig_156409	gene_98_SAMEA2621151_40	85.849	106	13	1	1	106	35	138	7.56e-59	173.0
6453	gene_15_contig_156409	gene_40_contig_154566	82.692	104	18	0	3	106	156	259	2.73e-56	171.0
6454	gene_15_contig_156409	gene_66_contig_155688	80.952	105	15	1	2	106	13	112	7.02e-54	160.0
6455	gene_15_contig_156409	gene_7_SAMEA2621061_122	88.298	94	11	0	13	106	124	217	2.48e-53	162.0
6635	gene_16_SAMEA2619923_17	gene_100_contig_155688	62.5	280	103	1	13	290	4	283	5.7e-136	385.0
6636	gene_16_SAMEA2619923_17	gene_15_SAMEA2621061_122	61.957	276	103	1	27	300	20	295	2.24e-134	381.0
6637	gene_16_SAMEA2619923_17	gene_94_SAMEA2621151_40	57.475	301	123	3	1	298	1	299	7.37e-118	340.0
6638	gene_16_SAMEA2619923_17	gene_19_SAMEA2621085_65	60.727	275	106	2	18	291	23	296	3.5e-117	338.0
6694	gene_16_SAMEA2621085_65	gene_35_contig_154566	68.235	85	27	0	1	85	1	85	3.26e-41	126.0
6695	gene_16_SAMEA2621085_65	gene_96_SAMEA2621151_40	71.951	82	23	0	3	84	13	94	1.76e-39	122.0
6696	gene_16_SAMEA2621085_65	gene_103_contig_155688	56.627	83	36	0	1	83	1	83	1.06e-28	94.7
6697	gene_16_SAMEA2621085_65	gene_14_SAMEA2619923_17	61.765	68	26	0	1	68	1	68	3.21e-28	93.6
6698	gene_16_SAMEA2621085_65	gene_12_SAMEA2621061_122	56.098	82	35	1	1	81	1	82	1.47e-25	87.0
6712	gene_16_SAMEA2621151_40	gene_95_SAMEA2621061_122	63.277	177	63	2	3	179	11	185	2.33e-76	239.0
6714	gene_16_SAMEA2621151_40	gene_52_contig_154566	52.381	189	78	4	1	178	53	240	3.48e-60	196.0
6809	gene_16_contig_155688	gene_81_SAMEA2621085_65	54.46	213	80	6	7	207	18	225	4.88e-69	207.0
6810	gene_16_contig_155688	gene_34_SAMEA2621151_40	52.885	208	87	4	7	207	41	244	1.77e-62	191.0
7204	gene_17_SAMEA2621085_65	gene_102_contig_155688	73.932	234	61	0	4	237	5	238	4.83e-132	368.0
7205	gene_17_SAMEA2621085_65	gene_95_SAMEA2621151_40	69.658	234	69	1	2	235	3	234	4.21e-130	363.0
7206	gene_17_SAMEA2621085_65	gene_13_SAMEA2621061_122	70.638	235	67	1	4	236	5	239	1.85e-125	352.0
7207	gene_17_SAMEA2621085_65	gene_34_contig_154566	68.142	226	72	0	12	237	12	237	1.59e-124	349.0
7208	gene_17_SAMEA2621085_65	gene_15_SAMEA2619923_17	62.553	235	88	0	2	236	5	239	2.47e-119	336.0
7209	gene_17_SAMEA2621085_65	gene_71_contig_156409	54.393	239	104	3	1	236	2	238	1.01e-98	284.0
7263	gene_17_contig_154566	gene_35_SAMEA2621085_65	86.207	377	51	1	1	377	1	376	0.0	671.0
7264	gene_17_contig_154566	gene_78_SAMEA2621151_40	77.551	392	72	5	1	377	1	391	0.0	630.0
7265	gene_17_contig_154566	gene_31_SAMEA2619923_17	77.215	395	71	5	1	377	1	394	0.0	627.0
7266	gene_17_contig_154566	gene_33_SAMEA2621061_122	78.608	388	72	3	1	377	1	388	0.0	623.0
7267	gene_17_contig_154566	gene_83_contig_155688	80.637	377	62	3	1	377	1	366	0.0	613.0
7268	gene_17_contig_154566	gene_88_contig_156409	69.531	384	107	6	1	377	1	381	0.0	555.0
7628	gene_18_SAMEA2621061_122	gene_22_SAMEA2621085_65	68.571	210	66	0	16	225	5	214	9.41e-114	321.0
7630	gene_18_SAMEA2621061_122	gene_98_contig_155688	64.22	218	77	1	16	232	6	223	4.49e-106	302.0
7631	gene_18_SAMEA2621061_122	gene_91_SAMEA2621151_40	66.0	200	68	0	29	228	2	201	3.47e-103	294.0
7632	gene_18_SAMEA2621061_122	gene_30_contig_154566	63.256	215	79	0	16	230	1	215	4.07e-101	289.0
7633	gene_18_SAMEA2621061_122	gene_19_SAMEA2619923_17	54.506	233	104	2	5	237	5	235	7.57e-91	264.0
7708	gene_18_contig_154566	gene_32_SAMEA2621061_122	65.063	478	121	9	6	462	9	461	0.0	581.0
7709	gene_18_contig_154566	gene_79_SAMEA2621151_40	63.226	465	157	9	1	459	8	464	0.0	546.0
7710	gene_18_contig_154566	gene_34_SAMEA2621085_65	65.605	471	126	8	8	460	14	466	0.0	535.0
7711	gene_18_contig_154566	gene_84_contig_155688	59.17	458	160	11	13	460	17	457	3.73e-173	490.0
7712	gene_18_contig_154566	gene_30_SAMEA2619923_17	54.219	474	182	9	1	460	7	459	1.81e-156	448.0
7713	gene_18_contig_154566	gene_87_contig_156409	51.163	473	188	11	12	460	17	470	4.68e-146	422.0
7833	gene_18_contig_156409	gene_60_contig_155688	51.244	201	93	2	1	197	21	220	3.22e-76	224.0
7834	gene_18_contig_156409	gene_55_SAMEA2621061_122	56.061	198	82	3	5	197	1	198	1.88e-75	221.0
7835	gene_18_contig_156409	gene_62_SAMEA2621085_65	52.709	203	90	4	1	197	1	203	3.87e-75	221.0
7836	gene_18_contig_156409	gene_54_SAMEA2621151_40	50.99	202	94	3	1	197	1	202	2.79e-74	219.0
7837	gene_18_contig_156409	gene_56_SAMEA2619923_17	54.545	198	86	2	4	197	3	200	1.62e-73	217.0
8029	gene_19_SAMEA2619923_17	gene_18_SAMEA2621061_122	54.506	233	104	2	5	235	5	237	7.76e-91	264.0
8030	gene_19_SAMEA2619923_17	gene_22_SAMEA2621085_65	55.869	213	93	1	12	223	2	214	2.84e-88	257.0
8031	gene_19_SAMEA2619923_17	gene_30_contig_154566	56.279	215	93	1	16	229	2	216	4.24e-88	256.0
8032	gene_19_SAMEA2619923_17	gene_98_contig_155688	55.708	219	95	2	10	226	1	219	3.28e-87	254.0
8033	gene_19_SAMEA2619923_17	gene_91_SAMEA2621151_40	54.0	200	91	1	28	226	2	201	4.52e-80	236.0
8135	gene_19_SAMEA2621085_65	gene_33_contig_154566	72.517	302	82	1	20	320	2	303	6.88e-162	451.0
8136	gene_19_SAMEA2621085_65	gene_15_SAMEA2621061_122	66.667	276	90	2	35	309	23	297	1.67e-143	404.0
8137	gene_19_SAMEA2621085_65	gene_94_SAMEA2621151_40	67.742	310	92	3	19	321	12	320	4.51e-141	398.0
8138	gene_19_SAMEA2621085_65	gene_100_contig_155688	60.345	290	113	2	23	311	9	297	1.36e-131	373.0
8139	gene_19_SAMEA2621085_65	gene_16_SAMEA2619923_17	60.727	275	106	2	23	296	18	291	3.42e-127	363.0
8664	gene_1_contig_154566	gene_64_SAMEA2621151_40	50.192	4939	2043	112	448	5206	799	5500	0.0	4479.0
8667	gene_1_contig_154566	gene_67_contig_155688	51.472	781	341	18	4434	5206	4822	5572	0.0	743.0
8668	gene_1_contig_154566	gene_67_contig_155688	52.316	367	165	6	1	364	370	729	2.33e-102	368.0
8670	gene_1_contig_154566	gene_50_SAMEA2621085_65	50.506	1483	615	32	3751	5205	4151	5542	0.0	1371.0
8675	gene_1_contig_154566	gene_49_SAMEA2621061_122	50.644	776	342	13	4443	5204	5493	6241	0.0	758.0
9038	gene_20_SAMEA2621061_122	gene_28_contig_154566	50.0	152	64	6	1	143	1	149	2.56e-21	92.8
9040	gene_20_SAMEA2621061_122	gene_24_SAMEA2621085_65	50.685	146	67	2	1	143	1	144	5.32e-24	100.0
