chr,orf_name,start,end,length,strand,orf_annotation,conserved_proteins,col,gene_type,cex,lty,lwd,pch
contig_155773,gene_1_contig_155773,1,78,25_aa,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_2_contig_155773,322,954,210_aa,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_3_contig_155773,1050,1292,80_aa,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_4_contig_155773,1835,2329,164_aa,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_5_contig_155773,2356,2565,69_aa,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_6_contig_155773,2818,3045,75_aa,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_7_contig_155773,3207,3515,102_aa,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_8_contig_155773,3493,3735,80_aa,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_9_contig_155773,3732,4022,96_aa,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_10_contig_155773,4019,4228,69_aa,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_11_contig_155773,4313,4621,102_aa,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_12_contig_155773,4614,4913,99_aa,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_13_contig_155773,4898,5314,138_aa,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_14_contig_155773,5413,5598,61_aa,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_15_contig_155773,5648,5818,56_aa,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_16_contig_155773,5822,6061,79_aa,+,Domain of Unknown Function with PDB structure (DUF3860). A protein family created to cover PDB:2OD5. 2OD5 is a hypothetical protein (JCVI_PEP_1096688149193) from an environmental metagenome (unidentified marine microbe).,,grey35,arrows,1,1,1,8
contig_155773,gene_17_contig_155773,6087,7979,630_aa,+,ribonucleoside-triphosphate reductase,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_18_contig_155773,7969,8199,76_aa,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_19_contig_155773,8181,8393,70_aa,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_20_contig_155773,8383,8610,75_aa,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_21_contig_155773,8607,8750,47_aa,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8
contig_155773,gene_22_contig_155773,8747,10150,467_aa,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8
