qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	query_start	query_end	subject_start	subject_end	query_contig	subject_contig
gene_100_SAMEA2621151_40	gene_10_SAMEA2621085_65	62.222	135	47	1	89	219	171	305	2.32e-50	162.0	106067	106726	5160	6077	SAMEA2621151_40	SAMEA2621085_65
gene_100_SAMEA2621151_40	gene_10_SAMEA2621061_122	67.021	94	31	0	121	214	517	610	2.25e-38	136.0	106067	106726	6346	8370	SAMEA2621151_40	SAMEA2621061_122
gene_100_SAMEA2621151_40	gene_37_contig_154566	81.111	90	17	0	127	216	180	269	4.2e-37	130.0	106067	106726	46349	47575	SAMEA2621151_40	contig_154566
gene_100_SAMEA2621151_40	gene_105_contig_155688	73.913	92	24	0	123	214	908	999	1.42e-31	117.0	106067	106726	96549	99557	SAMEA2621151_40	contig_155688
gene_100_contig_155688	gene_15_SAMEA2621061_122	64.36	289	100	1	18	303	20	308	6.51e-147	412.0	93618	94547	10323	11285	contig_155688	SAMEA2621061_122
gene_100_contig_155688	gene_16_SAMEA2619923_17	62.5	280	103	1	4	283	13	290	5.26e-136	385.0	93618	94547	9149	10156	contig_155688	SAMEA2619923_17
gene_100_contig_155688	gene_94_SAMEA2621151_40	60.825	291	114	0	2	292	9	299	8.68e-122	348.0	93618	94547	102084	103067	contig_155688	SAMEA2621151_40
gene_100_contig_155688	gene_19_SAMEA2621085_65	60.0	290	113	3	5	293	20	307	4.41e-120	344.0	93618	94547	9905	10879	contig_155688	SAMEA2621085_65
gene_100_contig_155688	gene_33_contig_154566	55.326	291	127	3	9	297	5	294	3.46e-114	329.0	93618	94547	43450	44412	contig_155688	contig_154566
gene_101_SAMEA2621085_65	gene_102_SAMEA2621061_122	51.63	184	73	3	598	781	20	187	7.19e-54	181.0	100147	102519	101477	102067	SAMEA2621085_65	SAMEA2621061_122
gene_101_contig_154566	gene_59_SAMEA2621151_40	55.085	118	30	4	619	723	404	511	3.22e-25	109.0	91263	94295	39877	48426	contig_154566	SAMEA2621151_40
gene_102_SAMEA2621061_122	gene_2_contig_155688	53.927	191	80	2	3	187	653	841	6.92e-68	218.0	101477	102067	1259	3811	SAMEA2621061_122	contig_155688
gene_102_SAMEA2621061_122	gene_56_contig_154566	56.647	173	75	0	18	190	469	641	3.14e-64	205.0	101477	102067	61205	63175	SAMEA2621061_122	contig_154566
