	genome_group	genome_hash	count	n_count	Fraction	dataset	Station	Latitude	Longitude	Depth	PE_read_count	genome_name	genome_size
0	Cyanophage	c84cc511d5c752080560170a686fbd8d	11799	2.040508343	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	gi|326783659|ref|NC_015287.1| Synechococcus phage S-SSM7, complete genome	232878
1	Euryarchaeota	790dffecf0995b43d78fa92e5cd1e364	0	0.0	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	gi|932822996|dbj|BBBE01000013.1| Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00013, whole genome shotgun sequence	71728
2	Euryarchaeota	e3085b25fedc1064bd16b67cc16c723c	0	0.0	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	gi|932822980|dbj|BBBE01000029.1| Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00029, whole genome shotgun sequence	2100
3	MGII	374d112a90d61db8c233e986d45061dd	4322	2.56242508715	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	contig__157656	67929
4	Cyanophage	ec6bc2d0a8055d648d0cde3779f38377	85	0.0893173306751	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	gi|472340512|ref|NC_020847.1| Cyanophage MED4-184 genomic sequence	38327
5	Prochlorococcus	0eb9432d2d6360d1e041fa144d9b6c11	5189	0.122628343633	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	gi|123965234|ref|NC_008817.1| Prochlorococcus marinus_MIT 9515, complete genome	1704176
6	MGII_virus	a4337bdf71da69dc3ef2f03e1f2f937f	31	0.0121636091203	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	SAMEA2621085_65	102641
7	Cyanophage	e1d3fceac37b1441f116eb9865b8eb84	3186	0.508353727966	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	gi|265525079|gb|GU071092.1| Prochlorococcus phage P-SSM2, complete genome	252407
8	Cyanophage	b091c6d83853c37ee83293845ba5e048	41	0.00863632470356	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	gi|326783979|ref|NC_015288.1| Prochlorococcus phage Syn1, complete genome	191195
9	Euryarchaeota	29ee5fcd9c3443fee940f1b271aec5dc	0	0.0	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	gi|932822997|dbj|BBBE01000012.1| Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00012, whole genome shotgun sequence	74625
10	Cyanophage	a1a4484522e7f197e93087a5e39ad10b	59	0.393532440883	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	SAMEA2620812_6831 /station=TARA_064 /depth=5 /filter=0-0.22	6038
11	Uncultured_phage	1720ce7f2bdc976e6eb702ea762b0a67	2242	1.8726130774	BACT	EG06	Eilat	34.97	29.53	5.0	24830094.0	contig__156190_phage	48218
