name,start,end,strand,orf_annotation,conserved_proteins,col,gene_type,cex,lty,lwd,pch,chr
gene_1_contig_172037,469,963,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_172037
gene_2_contig_172037,2106,2351,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_172037
gene_3_contig_172037,2624,2821,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_172037
gene_4_contig_172037,3287,3622,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_172037
gene_5_contig_172037,4460,4975,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_172037
gene_6_contig_172037,5291,6568,-,terminase,terminase,whitesmoke,arrows,1,1,1,8,contig_172037
gene_7_contig_172037,6917,8275,-,UvrD-like helicase/homing endonuclease,UvrD-like helicase/homing endonuclease,whitesmoke,arrows,1,1,1,8,contig_172037
gene_8_contig_172037,8569,10050,+,phage portal protein,phage portal protein,whitesmoke,arrows,1,1,1,8,contig_172037
gene_9_contig_172037,10077,10478,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_172037
gene_10_contig_172037,10478,11410,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_172037
gene_11_contig_172037,11415,12869,+,phage prohead protease,phage prohead protease,whitesmoke,arrows,1,1,1,8,contig_172037
gene_12_contig_172037,12881,13333,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_172037
gene_13_contig_172037,13350,14261,+,major capsid protein,major capsid protein,whitesmoke,arrows,1,1,1,8,contig_172037
gene_14_contig_172037,14438,14764,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_172037
gene_15_contig_172037,14761,15213,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_172037
gene_16_contig_172037,15219,16691,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_172037
gene_17_contig_172037,16868,17062,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_172037
gene_18_contig_172037,17055,17207,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_172037
gene_19_contig_172037,17278,17856,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_172037
gene_20_contig_172037,18015,18593,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_172037
gene_21_contig_172037,18593,19645,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_172037
gene_22_contig_172037,19733,20737,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_172037
gene_23_contig_172037,21095,21460,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_172037
gene_24_contig_172037,21471,21644,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_172037
gene_25_contig_172037,21619,21975,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_172037
gene_26_contig_172037,21981,22256,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_172037
gene_27_contig_172037,22296,25952,+,Phage-related minor tail protein,,whitesmoke,arrows,1,1,1,8,contig_172037
gene_28_contig_172037,25960,32787,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_172037
gene_29_contig_172037,32869,33588,-,"ERCC4-type nuclease, gene20","ERCC4-type nuclease, gene20",whitesmoke,arrows,1,1,1,8,contig_172037
gene_30_contig_172037,33862,34878,-,"Primase AE_Prim_S, gene21","Primase AE_Prim_S, gene21",whitesmoke,arrows,1,1,1,8,contig_172037
