	start1	end1	start2	end2
0	1	473	1	473
1	127	155	63	91
2	284	337	420	467
3	359	409	7	57
4	142	162	99	119
5	33	110	963	1040
6	1	404	1	404
7	1	404	1	407
8	2	404	7	413
9	1	403	1	411
10	3	404	8	421
11	1	388	1	394
12	1	404	23	429
13	1	400	14	418
14	1	404	1	419
15	1	387	19	414
16	1	381	4	392
17	20	150	55	177
18	67	308	102	345
19	77	342	94	361
20	139	364	171	400
21	68	128	69	130
22	1	371	1	373
23	9	217	7	229
24	2	45	824	868
25	1	78	68	153
26	290	321	91	122
27	1	100	1	100
28	8	70	1	55
29	67	92	505	530
30	32	77	20	65
31	9	88	49	130
32	35	57	9	30
33	1	35	1	35
34	1	35	7	41
35	7	33	914	941
36	5	26	208	229
37	6	32	2687	2712
38	9	28	34	53
39	7	19	393	405
40	4	22	21	39
41	14	27	337	350
42	11	34	202	225
43	1	51	1	51
44	5	46	1	42
45	20	51	16	46
46	18	35	101	118
47	21	41	611	631
48	5	42	412	441
49	5	50	548	592
50	35	45	696	706
51	24	40	422	438
52	11	33	627	649
53	32	39	49	56
54	17	34	355	372
55	1	88	1	88
56	4	66	29	90
57	59	77	127	145
58	29	62	44	81
59	7	39	18	50
60	70	79	156	165
61	20	43	316	335
62	36	88	11	61
63	1	159	1	159
64	9	81	221	284
65	122	144	45	67
66	95	135	1035	1075
67	96	122	198	222
68	94	115	236	256
69	95	136	620	666
70	14	67	149	207
71	10	50	124	162
72	25	50	136	159
73	104	122	3697	3715
74	82	94	4361	4373
75	1	697	1	697
76	45	697	169	832
77	10	125	18	140
78	84	696	289	919
79	10	110	3	110
80	13	687	2	677
81	99	693	233	832
82	10	110	23	130
83	88	697	221	859
84	10	82	23	97
85	99	693	232	831
86	10	38	22	50
87	99	695	237	863
88	10	82	23	97
89	88	390	1404	1674
90	24	406	1544	1887
91	88	406	1349	1635
92	102	473	1414	1759
93	77	406	1380	1674
94	104	302	1445	1614
95	34	305	1302	1543
96	116	327	205	416
97	124	325	218	421
98	126	337	215	425
99	124	328	217	426
100	130	314	216	399
101	126	353	219	438
102	125	351	224	436
103	121	327	192	394
104	122	323	212	417
105	117	371	215	456
106	412	514	194	289
107	367	476	79	204
108	470	558	85	167
109	316	371	79	147
110	435	452	31	48
111	193	229	375	406
112	1	219	1	219
113	89	219	171	305
114	121	214	517	610
115	127	216	180	269
116	83	219	215	345
117	112	138	167	193
118	123	214	908	999
119	99	138	249	290
120	126	158	266	299
121	121	138	128	145
122	121	137	472	488
123	116	137	187	206
124	125	137	190	202
125	35	111	447	538
126	125	172	129	182
127	159	216	162	213
128	1	192	1	192
129	1	188	1	182
130	6	182	8	183
131	10	183	11	194
132	55	137	2834	2906
133	71	146	641	708
134	147	192	136	181
135	1	865	1	865
136	1	864	1	858
137	1	863	1	833
138	10	863	10	834
139	15	861	10	828
140	187	865	258	920
141	22	219	2	197
142	237	863	99	695
143	23	97	10	82
144	220	853	74	675
145	26	53	2	29
146	242	530	1417	1674
147	240	543	1414	1690
148	236	546	1357	1638
149	240	546	1401	1674
150	239	546	1610	1887
151	227	441	1434	1614
152	243	441	1370	1540
153	236	466	189	416
154	191	462	138	408
155	259	449	215	400
156	262	545	195	482
157	262	449	223	405
158	262	456	213	403
159	259	449	211	404
160	261	465	216	420
161	257	369	217	336
162	609	643	787	821
163	369	440	215	286
164	32	96	200	262
165	262	465	217	417
166	404	420	11	27
167	660	686	207	234
168	692	721	210	239
169	1	268	1	268
170	12	268	1	260
171	3	256	1	258
172	1	268	13	286
173	1	242	11	254
174	1	262	12	273
175	1	246	10	260
176	1	267	10	275
177	1	257	10	269
178	1	257	9	267
179	209	238	1415	1443
180	242	263	29	50
181	59	98	117	155
182	162	193	5	37
183	59	97	114	151
184	1	309	1	309
185	18	303	20	308
186	4	283	13	290
187	2	292	9	299
188	5	293	20	307
189	9	297	5	294
190	38	293	2	260
191	161	223	79	147
192	165	225	179	228
193	73	180	46	120
194	161	180	99	118
195	260	305	20	65
196	161	180	100	119
197	185	209	10	34
198	101	140	17	56
199	85	114	30	59
200	195	243	254	307
201	274	304	30	60
202	1	553	1	553
203	290	381	847	938
204	4	64	68	125
205	62	99	158	189
206	310	384	3	77
207	472	535	436	486
208	179	220	1	40
209	293	328	110	145
210	94	141	276	321
211	72	116	100	136
212	22	63	97	138
213	107	146	292	334
214	1	42	1	42
215	1	36	203	241
216	24	39	35	50
217	32	40	67	75
218	6	34	338	366
219	1	51	1	51
220	12	51	37	75
221	8	51	36	78
222	12	51	60	98
223	2	51	1	53
224	1	11	1	11
225	24	49	159	184
226	18	31	484	497
227	2	22	153	173
228	1	20	4	23
229	1	17	1	17
230	1	14	1	14
231	10	32	438	460
232	1	15	1	15
233	7	44	105	141
234	12	32	1289	1309
235	13	31	696	712
236	15	47	476	508
237	11	24	146	159
238	4	28	578	602
239	15	29	357	371
240	2	32	70	100
