bitscore	end_contig_154566	end_contig_155688	end_contig_156409	evalue	gapopen	length	mismatch	name1_contig_154566	name1_contig_155688	name1_contig_156409	name2_contig_154566	name2_contig_155688	pident	qend	qseqid	qstart	send	sseqid	sstart	start_contig_154566	start_contig_155688	start_contig_156409	query_contig	subject_contig
133.0	101140	42127.0	NA	4.76e-43	0	104	48	gene_106_contig_154566	NA	NA	NA	gene_63_contig_155688	53.846000000000004	113	gene_106_contig_154566	10	104	gene_63_contig_155688	1	100796	41810.0	NA	contig_154566	contig_155688
633.0	21562	69149.0	NA	0.0	12	569	187	gene_11_contig_154566	NA	NA	NA	gene_76_contig_155688	58.172	559	gene_11_contig_154566	1	528	gene_76_contig_155688	1	19880	67560.0	NA	contig_154566	contig_155688
99.4	21861	70030.0	NA	3.01e-30	0	63	22	gene_12_contig_154566	NA	NA	NA	gene_78_contig_155688	65.079	98	gene_12_contig_154566	36	83	gene_78_contig_155688	21	21562	69776.0	NA	contig_154566	contig_155688
613.0	24456	72507.0	NA	0.0	3	377	62	gene_17_contig_154566	NA	NA	NA	gene_83_contig_155688	80.637	377	gene_17_contig_154566	1	366	gene_83_contig_155688	1	23323	71407.0	NA	contig_154566	contig_155688
490.0	25847	73904.0	NA	3.729999999999999e-173	11	458	160	gene_18_contig_154566	NA	NA	NA	gene_84_contig_155688	59.17	460	gene_18_contig_154566	13	457	gene_84_contig_155688	17	24459	72525.0	NA	contig_154566	contig_155688
743.0	102800	61177.0	NA	0.0	18	781	341	gene_1_contig_154566	NA	NA	NA	gene_67_contig_155688	51.472	5206	gene_1_contig_154566	4434	5572	gene_67_contig_155688	4822	1	44459.0	NA	contig_154566	contig_155688
368.0	102800	61177.0	NA	2.3299999999999997e-102	6	367	165	gene_1_contig_154566	NA	NA	NA	gene_67_contig_155688	52.316	364	gene_1_contig_154566	1	729	gene_67_contig_155688	370	1	44459.0	NA	contig_154566	contig_155688
800.0	34319	82944.0	NA	0.0	5	592	191	gene_23_contig_154566	NA	NA	NA	gene_89_contig_155688	65.541	579	gene_23_contig_154566	1	592	gene_89_contig_155688	1	32577	81163.0	NA	contig_154566	contig_155688
779.0	37019	86702.0	NA	0.0	2	494	124	gene_25_contig_154566	NA	NA	NA	gene_94_contig_155688	73.482	493	gene_25_contig_154566	4	493	gene_94_contig_155688	3	35538	85221.0	NA	contig_154566	contig_155688
284.0	42494	92450.0	NA	3.3699999999999995e-99	1	219	86	gene_30_contig_154566	NA	NA	NA	gene_98_contig_155688	60.273999999999994	218	gene_30_contig_154566	1	224	gene_98_contig_155688	6	41835	91770.0	NA	contig_154566	contig_155688
