qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	query_contig	subject_contig	query_start	query_end	subject_start	subject_end
gene_103_contig_154566	gene_4_contig_156409	54.688	128	50	3	174	294	131	257	1.34e-27	112.0	contig_154566	contig_156409	96497	97951	4487	7084
gene_106_contig_154566	gene_63_contig_155688	53.846000000000004	104	48	0	10	113	1	104	4.76e-43	133.0	contig_154566	contig_155688	100796	101140	41810	42127
gene_11_contig_154566	gene_76_contig_155688	58.172	569	187	12	1	559	1	528	0.0	633.0	contig_154566	contig_155688	19880	21562	67560	69149
gene_12_contig_154566	gene_78_contig_155688	65.079	63	22	0	36	98	21	83	3.01e-30	99.4	contig_154566	contig_155688	21562	21861	69776	70030
gene_13_contig_156409	gene_91_contig_155688	80.435	92	18	0	3	94	10	101	3.0599999999999996e-50	151.0	contig_156409	contig_155688	17274	17573	84268	84672
gene_14_contig_156409	gene_93_contig_155688	95.652	46	2	0	1	46	7	52	2.56e-26	86.3	contig_156409	contig_155688	17785	17925	84872	85030
gene_15_contig_156409	gene_40_contig_154566	82.69200000000001	104	18	0	3	106	156	259	2.7299999999999998e-56	171.0	contig_156409	contig_154566	17973	18293	48586	49365
gene_15_contig_156409	gene_66_contig_155688	80.952	105	15	1	2	106	13	112	7.019999999999999e-54	160.0	contig_156409	contig_155688	17973	18293	44124	44462
gene_17_contig_154566	gene_83_contig_155688	80.637	377	62	3	1	377	1	366	0.0	613.0	contig_154566	contig_155688	23323	24456	71407	72507
gene_17_contig_154566	gene_88_contig_156409	69.531	384	107	6	1	377	1	381	0.0	555.0	contig_154566	contig_156409	23323	24456	91376	92521
gene_18_contig_154566	gene_84_contig_155688	59.17	458	160	11	13	460	17	457	3.729999999999999e-173	490.0	contig_154566	contig_155688	24459	25847	72525	73904
gene_18_contig_154566	gene_87_contig_156409	51.163000000000004	473	188	11	12	460	17	470	4.679999999999998e-146	422.0	contig_154566	contig_156409	24459	25847	89952	91373
gene_18_contig_156409	gene_60_contig_155688	51.244	201	93	2	1	197	21	220	3.219999999999999e-76	224.0	contig_156409	contig_155688	20273	20866	36584	37249
