name,start,end,strand,orf_annotation,conserved_proteins,col,gene_type,cex,lty,lwd,pch,chr
gene_1_SAMEA2621151_104_ext,1,1458,+,,,whitesmoke,arrows,1,1,1,8,SAMEA2621151_104_ext
gene_2_SAMEA2621151_104_ext,1439,2452,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,SAMEA2621151_104_ext
gene_3_SAMEA2621151_104_ext,2483,2692,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,SAMEA2621151_104_ext
gene_4_SAMEA2621151_104_ext,2689,2844,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,SAMEA2621151_104_ext
gene_5_SAMEA2621151_104_ext,2849,3325,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,SAMEA2621151_104_ext
gene_6_SAMEA2621151_104_ext,3322,4002,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,SAMEA2621151_104_ext
gene_7_SAMEA2621151_104_ext,3992,4243,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,SAMEA2621151_104_ext
gene_8_SAMEA2621151_104_ext,4308,4916,-,"DnaQ-like 3'-5' exonuclease, gene18","DnaQ-like 3'-5' exonuclease, gene18",whitesmoke,arrows,1,1,1,8,SAMEA2621151_104_ext
gene_9_SAMEA2621151_104_ext,4909,6435,-,"DNA replicative helicase, gene19","DNA replicative helicase, gene19",whitesmoke,arrows,1,1,1,8,SAMEA2621151_104_ext
gene_10_SAMEA2621151_104_ext,6435,7130,-,"ERCC4-type nuclease, gene20","ERCC4-type nuclease, gene20",whitesmoke,arrows,1,1,1,8,SAMEA2621151_104_ext
gene_11_SAMEA2621151_104_ext,7127,8140,-,"Primase AE_Prim_S, gene21","Primase AE_Prim_S, gene21",whitesmoke,arrows,1,1,1,8,SAMEA2621151_104_ext
gene_12_SAMEA2621151_104_ext,8155,8589,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8,SAMEA2621151_104_ext
gene_13_SAMEA2621151_104_ext,8576,9439,-,"Cas4_I-A_I-B_I-C_I-D_II-B Superfamily, gene24","Cas4_I-A_I-B_I-C_I-D_II-B Superfamily, gene24",whitesmoke,arrows,1,1,1,8,SAMEA2621151_104_ext
gene_14_SAMEA2621151_104_ext,9475,9975,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8,SAMEA2621151_104_ext
gene_15_SAMEA2621151_104_ext,9977,12427,-,DNA polymerase family B,DNA polymerase family B,Blue,arrows,1,1,1,8,SAMEA2621151_104_ext
gene_16_SAMEA2621151_104_ext,12369,12680,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8,SAMEA2621151_104_ext
gene_17_SAMEA2621151_104_ext,12674,12904,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8,SAMEA2621151_104_ext
gene_18_SAMEA2621151_104_ext,12906,13160,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8,SAMEA2621151_104_ext
gene_19_SAMEA2621151_104_ext,13160,13390,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8,SAMEA2621151_104_ext
gene_20_SAMEA2621151_104_ext,13387,14145,-,"DNA polymerase sliding clamp, gene27","DNA polymerase sliding clamp, gene27",whitesmoke,arrows,1,1,1,8,SAMEA2621151_104_ext
