qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	query_start	query_end	subject_start	subject_end	query_contig	subject_contig
gene_10_766270197_ext	gene_12_contig_172037	52.98	151	58	3	1	140	2	150	8.84e-45	140.0	9833	10255	12881	13333	766270197_ext	contig_172037
gene_10_766270197_ext	gene_15_contig_154940	51.493	134	61	2	7	140	6	135	2.61e-40	128.0	9833	10255	15404	15811	766270197_ext	contig_154940
gene_10_766270197_ext	gene_65_contig_155057	54.074	135	60	2	6	140	6	138	3.87e-40	127.0	9833	10255	39713	40129	766270197_ext	contig_155057
gene_10_contig_154940	gene_65_778722464	50.0	386	190	2	14	399	14	396	7.99e-146	416.0	9133	10359	50628	51821	contig_154940	778722464
gene_10_contig_172037	gene_14_contig_154940	59.945	362	87	6	1	310	1	356	4.09e-135	399.0	10478	11410	12862	15396	contig_172037	contig_154940
gene_10_contig_172037	gene_64_contig_155057	73.913	161	42	0	46	206	459	619	4.72e-76	244.0	10478	11410	37315	39711	contig_172037	contig_155057
gene_10_contig_172037	gene_64_contig_155057	79.775	89	17	1	215	303	51	138	1.41e-44	157.0	10478	11410	37315	39711	contig_172037	contig_155057
gene_10_contig_172037	gene_71_778722464	63.212	193	56	1	1	193	1	178	6.19e-75	241.0	10478	11410	55059	57554	contig_172037	778722464
gene_10_contig_172037	gene_71_778722464	68.966	116	35	1	192	307	239	353	1.28e-46	164.0	10478	11410	55059	57554	contig_172037	778722464
gene_10_contig_172037	gene_9_775118401_ext	71.717	99	20	2	205	303	26	116	1.98e-41	148.0	10478	11410	8245	10170	contig_172037	775118401_ext
gene_10_contig_172037	gene_9_766270197_ext	67.391	92	29	1	212	303	54	144	6.3e-37	135.0	10478	11410	7942	9831	contig_172037	766270197_ext
gene_11_766270197_ext	gene_21_786772955	76.721	305	71	0	2	306	1	305	3.58e-180	495.0	10260	11180	26938	27855	766270197_ext	786772955
gene_11_766270197_ext	gene_66_contig_155057	73.377	308	73	1	6	304	2	309	3.76e-173	478.0	10260	11180	40160	41092	766270197_ext	contig_155057
gene_11_766270197_ext	gene_11_775118401_ext	70.455	308	85	2	4	305	1	308	1.95e-162	451.0	10260	11180	10587	11513	766270197_ext	775118401_ext
gene_11_766270197_ext	gene_73_778722464	65.347	303	99	2	6	306	2	300	6.12e-148	414.0	10260	11180	58016	58918	766270197_ext	778722464
gene_11_766270197_ext	gene_13_contig_172037	64.262	305	104	2	1	304	3	303	3.68e-145	407.0	10260	11180	13350	14261	766270197_ext	contig_172037
gene_11_766270197_ext	gene_16_contig_154940	62.866	307	108	2	2	306	3	305	2.3e-144	405.0	10260	11180	15825	16742	766270197_ext	contig_154940
gene_11_775118401_ext	gene_21_786772955	78.431	306	60	2	3	308	5	304	1.69e-176	486.0	10587	11513	26938	27855	775118401_ext	786772955
gene_11_775118401_ext	gene_66_contig_155057	69.032	310	89	2	3	307	2	309	2.78e-158	440.0	10587	11513	40160	41092	775118401_ext	contig_155057
gene_11_775118401_ext	gene_11_766270197_ext	70.455	308	85	2	1	308	4	305	2.79e-156	435.0	10587	11513	10260	11180	775118401_ext	766270197_ext
gene_11_775118401_ext	gene_16_contig_154940	59.609	307	112	3	3	307	7	303	3.07e-135	382.0	10587	11513	15825	16742	775118401_ext	contig_154940
gene_11_775118401_ext	gene_13_contig_172037	62.338	308	105	3	1	307	6	303	1.25e-133	377.0	10587	11513	13350	14261	775118401_ext	contig_172037
gene_11_775118401_ext	gene_73_778722464	58.306	307	116	3	3	307	2	298	3.32e-130	369.0	10587	11513	58016	58918	775118401_ext	778722464
gene_11_778722464	gene_1_786772955	58.427	89	37	0	1125	1213	1026	1114	7.33e-27	116.0	9129	16127	2	6301	778722464	786772955
gene_11_778722464	gene_29_766270197_ext	52.809	89	42	0	1125	1213	1132	1220	2.68e-26	114.0	9129	16127	22329	29801	778722464	766270197_ext
gene_11_contig_154940	gene_62_contig_155057	57.556	450	180	2	7	453	7	448	0.0	533.0	10795	12159	35520	36893	contig_154940	contig_155057
gene_11_contig_154940	gene_5_766270197_ext	59.434	424	167	3	33	451	29	452	0.0	528.0	10795	12159	4268	5665	contig_154940	766270197_ext
