name,start,end,strand,orf_annotation,conserved_proteins,col,gene_type,cex,lty,lwd,pch,chr
gene_1_contig_154676,173,712,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_154676
gene_2_contig_154676,869,1120,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_154676
gene_3_contig_154676,1120,1248,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_154676
gene_4_contig_154676,1248,1943,-, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_154676
gene_5_contig_154676,2811,3278,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_154676
gene_6_contig_154676,3514,3762,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_154676
gene_7_contig_154676,4222,5655,+,UvrD/REP helicase,,whitesmoke,arrows,1,1,1,8,contig_154676
gene_8_contig_154676,5665,5853,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_154676
gene_9_contig_154676,6100,6327,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_154676
gene_10_contig_154676,6311,6472,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_154676
gene_11_contig_154676,6469,7125,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_154676
gene_12_contig_154676,7240,7503,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_154676
gene_13_contig_154676,7503,7811,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_154676
gene_14_contig_154676,7984,8355,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_154676
gene_15_contig_154676,8352,8606,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_154676
gene_16_contig_154676,8609,9919,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_154676
gene_17_contig_154676,9916,10029,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_154676
gene_18_contig_154676,10062,10286,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_154676
gene_19_contig_154676,10374,10760,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_154676
gene_20_contig_154676,10763,12628,+,Ribonucleotide reductase,,whitesmoke,arrows,1,1,1,8,contig_154676
gene_21_contig_154676,12618,13016,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_154676
gene_22_contig_154676,13006,13143,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_154676
gene_23_contig_154676,13148,14317,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_154676
gene_24_contig_154676,14283,15149,+,transcription factor TFIIB,,whitesmoke,arrows,1,1,1,8,contig_154676
gene_25_contig_154676,15151,15474,+,Nucleoside Triphosphate Pyrophosphohydrolase (EC 3.6.1.8) MazG-like domain,,whitesmoke,arrows,1,1,1,8,contig_154676
gene_26_contig_154676,15484,15744,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_154676
gene_27_contig_154676,15747,16307,+,ThiF family protein,,whitesmoke,arrows,1,1,1,8,contig_154676
gene_28_contig_154676,16321,17358,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_154676
gene_29_contig_154676,17360,17959,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_154676
gene_30_contig_154676,17956,18081,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,contig_154676
gene_31_contig_154676,18078,18353,+,hypothetical protein,,Gray,arrows,1,1,1,8,contig_154676
gene_32_contig_154676,18350,18676,+,hypothetical protein,,Gray,arrows,1,1,1,8,contig_154676
gene_33_contig_154676,18673,18891,+,hypothetical protein,,Gray,arrows,1,1,1,8,contig_154676
