,0
0,"n_CM001443.1 uncultured marine group II euryarchaeote chromosome, whole genome shotgun sequence."
1,"n_Candidatus Pelagibacter ubique HIMB083 Pelub83DRAFT_scaffold_0.1_C, whole genome shotgun sequence"
2,"n_Candidatus Pelagibacter ubique HTCC1002 scf_1099314759170 genomic scaffold, whole genome shotgun sequence"
3,"n_Candidatus Pelagibacter ubique HTCC1062, complete genome"
4,"n_Candidatus Pelagibacter ubique HTCC7214 genomic scaffold P769DRAFT_scaffold00001.1, whole genome shotgun sequence"
5,"n_Candidatus Pelagibacter ubique HTCC7217 P773DRAFT_scaffold00001.1_C, whole genome shotgun sequence"
6,"n_Candidatus Pelagibacter ubique HTCC8051 genomic scaffold HTC8051_Contig1.1, whole genome shotgun sequence"
7,"n_Candidatus Puniceispirillum marinum IMCC1322, complete genome"
8,n_Cyanophage MED4-117 genomic sequence
9,n_Cyanophage MED4-184 genomic sequence
10,"n_Cyanophage MED4-213, complete genome"
11,"n_Cyanophage NATL1A-7, complete genome"
12,n_Cyanophage P-RSM6 genomic sequence
13,"n_Cyanophage P-SSP2, complete genome"
14,"n_Cyanophage P-TIM40, complete genome"
15,"n_Cyanophage S-TIM5, complete genome"
16,"n_Cyanophage Syn5, complete genome"
17,"n_Desulfurococcus amylolyticus Z-533 genomic scaffold scaffold1, whole genome shotgun sequence"
18,n_Eury_MGII_archaea
19,n_Eury_contig__182440
20,"n_Ferroglobus placidus DSM 10642, complete genome"
21,n_Haloquadratum walsbyi C23 complete genome
22,"n_Halovirus HCTV-1, complete genome"
23,"n_Halovirus HCTV-5, complete genome"
24,"n_Halovirus HRTV-7, complete genome"
25,"n_Halovirus HSTV-1, complete genome"
26,"n_Halovirus HVTV-1, complete genome"
27,"n_Methanobacterium formicicum genome assembly DSM1535, chromosome : chrI"
28,"n_Methanoculleus marisnigri JR1, complete genome"
29,"n_NZ_AFXB01000000 SAR116 cluster alpha proteobacterium HIMB100, whole genome shotgun sequencing project"
30,"n_Nitrosopumilus maritimus SCM1, complete genome"
31,"n_Pelagibacter phage HTVC008M, complete genome"
32,"n_Pelagibacter phage HTVC010P, complete genome"
33,"n_Pelagibacter phage HTVC011P, complete genome"
34,"n_Pelagibacter phage HTVC019P, complete genome"
35,n_Prochlorococcus marinus MED4 complete genome
36,n_Prochlorococcus marinus MIT9313 complete genome
37,n_Prochlorococcus marinus subsp. marinus_CCMP1375 complete genome
38,"n_Prochlorococcus marinus_AS9601, complete genome"
39,n_Prochlorococcus marinus_MIT 9211 genome
40,"n_Prochlorococcus marinus_MIT 9215, complete genome"
41,"n_Prochlorococcus marinus_MIT 9303, complete genome"
42,"n_Prochlorococcus marinus_MIT 9515, complete genome"
43,"n_Prochlorococcus marinus_NATL1A, complete genome"
44,"n_Prochlorococcus marinus_NATL2A, complete genome"
45,"n_Prochlorococcus phage P-HM1, complete genome"
46,"n_Prochlorococcus phage P-RSM4, complete genome"
47,"n_Prochlorococcus phage P-SSM2, complete genome"
48,"n_Prochlorococcus phage P-SSM4, complete genome"
49,"n_Prochlorococcus phage P-SSP7, complete genome"
50,"n_Prochlorococcus phage P-TIM68, complete genome"
51,"n_Prochlorococcus phage Syn1, complete genome"
52,"n_Prochlorococcus phage Syn33, complete genome"
53,"n_Puniceispirillum phage HMO-2011, complete genome"
54,"n_Pyrolobus fumarii 1A, complete genome"
55,"n_Roseobacter phage SIO1, complete genome"
56,n_SAMEA2591132_39
57,n_SAMEA2619686_1031
58,n_SAMEA2619686_19
59,n_SAMEA2619791_458
60,n_SAMEA2619791_5652
61,n_SAMEA2619791_70
62,n_SAMEA2619888_18
63,n_SAMEA2619888_3130
64,n_SAMEA2619888_5466
65,n_SAMEA2619903_161
66,n_SAMEA2619903_3744
67,n_SAMEA2619903_78
68,n_SAMEA2619923_17
69,n_SAMEA2619935_167
70,n_SAMEA2619950_102
71,n_SAMEA2619950_1649
