name,start,end,strand,orf_annotation,conserved_proteins,col,gene_type,cex,lty,lwd,pch,chr
gene_1_777660975_ext,50,1204,+,terminase,terminase,whitesmoke,arrows,1,1,1,8,777660975_ext
gene_2_777660975_ext,1219,2535,+,UvrD-like helicase/homing endonuclease,UvrD-like helicase/homing endonuclease,whitesmoke,arrows,1,1,1,8,777660975_ext
gene_3_777660975_ext,2538,4190,+,phage portal protein,phage portal protein,whitesmoke,arrows,1,1,1,8,777660975_ext
gene_4_777660975_ext,4190,4855,+,putative phage head fiber protein,,whitesmoke,arrows,1,1,1,8,777660975_ext
gene_5_777660975_ext,4870,4992,+,hypothetical protein,,Gray,arrows,1,1,1,8,777660975_ext
gene_6_777660975_ext,4985,5197,+,hypothetical protein,,Gray,arrows,1,1,1,8,777660975_ext
gene_7_777660975_ext,5200,7485,+,hypothetical protein,,Gray,arrows,1,1,1,8,777660975_ext
gene_8_777660975_ext,7478,8029,+,hypothetical protein,,Gray,arrows,1,1,1,8,777660975_ext
gene_9_777660975_ext,8029,8373,+,hypothetical protein,,Gray,arrows,1,1,1,8,777660975_ext
gene_10_777660975_ext,8357,8605,+,hypothetical protein,,Gray,arrows,1,1,1,8,777660975_ext
gene_11_777660975_ext,8607,8846,+,hypothetical protein,,Gray,arrows,1,1,1,8,777660975_ext
gene_12_777660975_ext,8848,11361,+,ATP-dependent DNA ligase,ATP-dependent DNA ligase,whitesmoke,arrows,1,1,1,8,777660975_ext
gene_13_777660975_ext,11401,12645,+,phage prohead protease,phage prohead protease,whitesmoke,arrows,1,1,1,8,777660975_ext
gene_14_777660975_ext,12651,14012,+,major capsid protein,major capsid protein,whitesmoke,arrows,1,1,1,8,777660975_ext
gene_15_777660975_ext,14024,14377,+,hypothetical protein,,Gray,arrows,1,1,1,8,777660975_ext
gene_16_777660975_ext,14448,14852,+,hypothetical protein,,Gray,arrows,1,1,1,8,777660975_ext
gene_17_777660975_ext,14865,15158,+,hypothetical protein,,Gray,arrows,1,1,1,8,777660975_ext
gene_18_777660975_ext,15167,15571,+,Protein of unknown function (DUF3106),,grey35,arrows,1,1,1,8,777660975_ext
gene_19_777660975_ext,15576,15797,+,hypothetical protein,,Gray,arrows,1,1,1,8,777660975_ext
gene_20_777660975_ext,15816,16475,+,Arf-like small GTPase,,whitesmoke,arrows,1,1,1,8,777660975_ext
gene_21_777660975_ext,16540,17214,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,777660975_ext
gene_22_777660975_ext,17216,17938,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,777660975_ext
gene_23_777660975_ext,18071,19834,+,hypothetical protein,,Gray,arrows,1,1,1,8,777660975_ext
gene_24_777660975_ext,19827,20939,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,777660975_ext
gene_25_777660975_ext,20984,21193,+,hypothetical protein,,Gray,arrows,1,1,1,8,777660975_ext
gene_26_777660975_ext,21183,21731,+, hypothetical protein,,whitesmoke,arrows,1,1,1,8,777660975_ext
gene_27_777660975_ext,21744,23303,+,hypothetical protein,,Gray,arrows,1,1,1,8,777660975_ext
gene_28_777660975_ext,23285,23875,+,tail assembly chaperone ,,whitesmoke,arrows,1,1,1,8,777660975_ext
gene_29_777660975_ext,23974,24087,+,hypothetical protein,,Gray,arrows,1,1,1,8,777660975_ext
gene_30_777660975_ext,24087,25517,+,hypothetical protein,,Gray,arrows,1,1,1,8,777660975_ext
gene_31_777660975_ext,25519,26256,+,hypothetical protein,,Gray,arrows,1,1,1,8,777660975_ext
gene_32_777660975_ext,26265,29009,+,hypothetical protein,,Gray,arrows,1,1,1,8,777660975_ext
gene_33_777660975_ext,29009,35833,+,hypothetical protein,,Gray,arrows,1,1,1,8,777660975_ext
gene_34_777660975_ext,35830,36177,+,hypothetical protein,,Gray,arrows,1,1,1,8,777660975_ext
gene_35_777660975_ext,36177,43643,+,hypothetical protein,,Gray,arrows,1,1,1,8,777660975_ext
gene_36_777660975_ext,43648,43926,+,Phage tail assembly chaperone protein,,whitesmoke,arrows,1,1,1,8,777660975_ext
gene_37_777660975_ext,44374,44505,-,hypothetical protein,,Gray,arrows,1,1,1,8,777660975_ext
gene_38_777660975_ext,44541,45137,-,"DnaQ-like 3'-5' exonuclease, gene18","DnaQ-like 3'-5' exonuclease, gene18",whitesmoke,arrows,1,1,1,8,777660975_ext
gene_39_777660975_ext,45143,45235,-,hypothetical protein,,Gray,arrows,1,1,1,8,777660975_ext
gene_40_777660975_ext,45235,45444,-,hypothetical protein,,Gray,arrows,1,1,1,8,777660975_ext
gene_41_777660975_ext,45449,46930,-,"DNA replicative helicase, gene19","DNA replicative helicase, gene19",whitesmoke,arrows,1,1,1,8,777660975_ext
gene_42_777660975_ext,46927,47607,-,"ERCC4-type nuclease, gene20","ERCC4-type nuclease, gene20",whitesmoke,arrows,1,1,1,8,777660975_ext
gene_43_777660975_ext,47699,47833,-,hypothetical protein,,Gray,arrows,1,1,1,8,777660975_ext
gene_44_777660975_ext,47830,48771,-,"Primase AE_Prim_S, gene21","Primase AE_Prim_S, gene21",whitesmoke,arrows,1,1,1,8,777660975_ext
gene_45_777660975_ext,48746,49105,-,hypothetical protein,,Gray,arrows,1,1,1,8,777660975_ext
